post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwkbfy,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",fans chanting sec going nice surprise look schedule next year
16awtio,jza06o5,former president trump attend saturdays,removed,"['michigan', 'fau']","['iowastate', 'espnplus']",came 2015 people cared really wasnt big shit show showed lots started
17adji1,k5ccp6x,fit schools fanbase stereotypes,involved greek life never done cocaine religious im certainly minority among tcu alumsfans fan doesnt golf fan doesnt love world war ii history duke fan doesnt care basketball stanford fan bad math wisconsin fan doesnt drink alcohol,['tcu'],"['iowastate', 'espnplus']",well complain refs constantly drunk shitpost threads make fun teams constantly dont reciprocate dont care
18uo86j,kfmhgr0,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southalabama', 'espnplus']",well hope future potential millionaires fun miami talented teammates nothing getting getting shit kicked
16keh7j,k0w4uo1,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'espnplus']",damn drive crazy didnt know allowed throw ball past line scrimmage
1621ag8,jxuya0w,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['iowastate', 'espnplus']",mitoma good areola insane saves today motm
1621ag8,jxuz8cg,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['southalabama', 'espnplus']",starts right west ham correct get confused streaming sports
1621ag8,jxv6t2c,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['iowastate', 'espnplus']",know best part soccer lack commercials adjustment
171e59y,k3rs5gy,since im sucker nostalgia schools team played,nebraska 1st place long time year kstate take 1 currently 1a 1b nebraska kstate 106 meetings 2 mizzou 104 meetings 3 kansas 102 meetings 4 89 meetings 5 70 meetings 6 colorado 65 meetings 7 58 meetings,"['iowastate', 'big8']","['georgia', 'espnplus']",bonus fun fact still played clemson times tennessee
17yjuvx,k9u7pra,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",campbell needs learn get play sub literally entire crowd yelling snap lol
17yjuvx,k9ujryz,800,location statefiowastate jack trice time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",needed give big lead could get back
16kehcu,k0voe4j,western 330,western iowafiowaiowa location iowafiowa kinnick time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",watching im glad options watch teams play better offense
16qgjo5,k1xn9cr,washington 700,washington location washington martin time 700 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",catch sex ill drink busch light
182v9ux,kalaygo,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",brock actually completed pass kittle last night
182v9ux,kalbt50,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",far ahead nebraska able come back
1896p8u,kbp9fyh,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",big 12 really leaning region thing arent
1896p8u,kbp9p2w,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",really say dont need another 911 lmao
1896p8u,kbpdml9,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southalabama', 'espnplus']",watched cowboys play us ucf well least well enough go 93 go title
183xb4n,karxz94,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",baby breece opened first play run td back back games manhattan
183xb4n,kasdgcu,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",whats farthest weve started play lol
183xb4n,kasl0zw,kansas 800,kansas location kansas bill snyder family time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",ive never watched thought teams dominating blown time
16doerv,jzr1egr,illinois kansas 730,location kansasfkansas david booth kansas memorial time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['kansas', 'washington']","['iowastate', 'espnplus']",kansas needs stop scheduling big ten west teams detrimental strength schedule
18mhqd2,ke4pqdi,frisco bowl marshall utsa 900,utsafutsautsa location toyota time 900 watch tv espnlespn espnlespn odds spread utsa 125 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southalabama', 'espnplus']",4 teams added fbs 2012 south umass utsa still yet win bowl going combined 07 utsa 04 south 03 utsa obviously chance first member 2012 club tonight need figure something quick 66 south gets chance 66 eastern dec 23rd 68ventures bowl front home crowd 75 compete first ever bowl 66 rice first responder bowl december 26th umass minutemen team
15sbd21,jwdlnyi,people much username even specific immediately recognize whatever reason,mine limited udogwoodmaple ucoogs35 ubigdickwitt ucumassault ubakonydraco ucoolingvent ualstark89,"['stonehill', 'sickos']","['iowastate', 'espnplus']",oh god really much mine rsoccer frenemy usoupbowl69 theres barca people well
17myplv,k7o3f4x,team watchcheer zero connection,dad tennessee alum thats obviously main team talking day mentioned surfs rice message boards fun kind surprising know rice message boards also watches service academies whenever served personally love kansas even leipold liked logo uniforms liked rooting underdog white helmet favorite,"['mississippistate', 'santamonica']","['iowastate', 'espnplus']",none fuck em ok im rooting wazzu orsu yr
16qcc5c,k1wr2d3,400,location statefiowastate jack trice time 400 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",entire life never heard roughing snapper
16qcc5c,k1x4ch9,400,location statefiowastate jack trice time 400 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",4th short gotta trigger warning osu fans
167l7hn,jyr1k1u,tech louisville 730,tech location mercedesbenz time 730 watch tv espnlespn odds spread lou 8 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['georgiatech'],"['southalabama', 'espnplus']",espn halftime shows used shit literally watched 20 minutes commercials interrupted times espn telling us networks tomorrow smh
16k9nah,k0uudv3,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",much practice shallow crossers always go 4th 1
16k9nah,k0v69aw,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",doubled first half rush yards first play
16k9nah,k0vam0v,ohio 1200,ohiofohioohio location ohiofohio peden time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",fans probably watching feeling great win last week
180k3c6,ka69ax9,thankful year concerning flairs,buffs developing identity leadership yes people hate sentiments oh well also thankful wins two big rivals nebraska csu wins memorable long time gopherswell mediocrity isnt distracting guess oh beat nebraska thats cool,"['colorado', 'minnesota']","['iowastate', 'espnplus']",winning conference record year 5 starters got suspended 2022 current starters underclassmen
15y76an,jx9ydf8,whats schools embarrassing record,ugas zeke bratowski threw 68 interceptions 734 pass attempts 19511953 honestly feels like unbreakable bad record,[],"['iowastate', 'espnplus']",hmm lets see 1886 nebraska 779 ou 50 year first round pick drought first bowl win 2000 never 10 games season
16we4hf,k2x5ut4,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",auburn likely lead end able win
165rm7h,jyfoyrb,honest still mentally team,go 2019 fiesta bowl clemson top controversial targeting fumble call wont even go one dagger probably took 10 years life arguably best osu team talent wise ive seen lifetime even make championship make argument 2015 team well dont know could beat insane lsu team hoping would play season barely came short however definitely made mistakes well shout trevor lawrence insane 67 yard run td,['ohiostate3'],"['iowastate', 'espnplus']",shit program one single loss guess 2020 ccg happy
16ecyt5,jzvherq,330,iowafiowaiowa location statefiowastate jack trice time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",im rooting score another td keep brian ferentz
16ecyt5,jzvlxb6,330,iowafiowaiowa location statefiowastate jack trice time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",matt campbell elite making bad games look closer
15kk8lm,jv6n9zo,team team always comically bad,one team always number year year ill go first theres couple possibilities first one spings mind nebraska cornhuskers beaten cyclones 86 times 105 games however purely going statistics 88 games two schools 7 seven winning percentage 091,"['upperiowa', 'iowastate']","['iowastate', 'espnplus']",ou nub comically good entire big 8 comically goodliest us
16we4il,k2wx7g4,nebraska 330,location memorial lincoln ne time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",nebraska score points win
16we4il,k2wxv5i,nebraska 330,location memorial lincoln ne time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",im imagining life together bartender im bad
15wrauu,jx2xymd,scale 110 excited season,feel like wait around august start grew watching ohio im fan sport whole love entirety season highlights last year 4 team playoff end pac12 recognize new additions big12 big questions top programs qb battles osu bama clemson new oc new qb usual pac12 slugfest ou contention big12 one last time whole lot im personally pretty excited see everything shakes year know things changing im going sit back enjoy ride im giving season 810 reasons although know could end pretty mundane also excited early season matchups nola last year fsu lsu blast thats going good one sure feel free chime things looking season progresses,"['ohiostate', 'miamioh']","['iowastate', 'espnplus']",1010 im ready hurt drunk shitpost threads
18w0xpg,kfvkhun,citrus bowl tennessee 100,iowafiowaiowa location camping world time 100 watch tv abclabc odds spread tenn 55 overunder 355 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",sad think lost strawberry 5 days ago
18w0xpg,kfvkvuu,citrus bowl tennessee 100,iowafiowaiowa location camping world time 100 watch tv abclabc odds spread tenn 55 overunder 355 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",qb got hit pretty good head end
16wj7oa,k2xjbbo,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",ok best run best big 12 like
16wj7oa,k2xmq6i,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",going weird playing ou yea us historically arguably lopsided series time big 8 schools tornado connections reed timmer man
16wj7oa,k2xo0w4,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",worst run team country along oksu fuck going
16wj7oa,k2xpk58,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",ou flairs getting complaining refs battle luckily blue bloods sense
16wj7oa,k2xq1tw,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",campbell teams get called random penalties ever like last week roughing snapper ive never heard called
16wj7oa,k2xq32o,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",daniel jackson definitely scared getting hit middle lol
16wj7oa,k2xw8mn,700,location memorial norman ok time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",im play siege thanks fun yall ou fans guys little crazy tonight miss
177rgr5,k4v99d8,cincinnati 1200,location nippert time 1200 watch tv fox sports 1lfs1 odds spread cin 5 overunder 470 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",im tell sober
17d92jq,k5w2wyj,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",always seem leave key details trophy happened
16kkodv,k0wkwby,postgame defeats south carolina 2414,box score provided team 1 2 3 4 south made rcfb,['rcfb'],"['georgia', 'espnplus']",thought chance thought going 08 sec believed
17ijw4c,k6v7zbe,baylor 330,location baylorfbaylor mclane time 330 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",know talk turnovers time team optimistic
17ijw4c,k6vdb4x,baylor 330,location baylorfbaylor mclane time 330 watch tv big 12lbig12 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowastate', 'espnplus']",well thatll big loss least happened first half hes suspended ku
16o2a6c,k1i69te,whats painful loss teams history,2018 national championship rutgers every saturday,"['georgia', 'rutgers']","['iowastate', 'espnplus']",flairs dont need even say loss know nu wvu oksu bama else
16o2a6c,k1ixku2,whats painful loss teams history,2018 national championship rutgers every saturday,"['georgia', 'rutgers']","['georgia', 'espnplus']",probably national title loss bama still 2012 sec title loss
