post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwg8yi,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'fau']",announce holding calls called given
16ei5hq,jzwh9la,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'fau']",figure holding wasnt rules anymore
16ptc9b,k1t1ebz,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['florida', 'fau']",never seen team try harder lose va final 2 minutes
18wbuu4,kfx40nq,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",rooting washington better send pac matchup rose bowl shouldve
18wbuu4,kfx531c,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",penix absolute dime las vegas meet new franchise qb
18wbuu4,kfx7d1j,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",hood attached back johnsons jersey
18wbuu4,kfx887q,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",borrow term chess sarkisian deep prep
18wbuu4,kfxbph7,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",good special teams b1g forbidden unless youre washington adapting new culture
18wbuu4,kfxfwhq,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",stupid standard rule feet line illegal
18wbuu4,kfxm151,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",think bring base running coach baseball team around teach qbs slide
18wbuu4,kfxo7fs,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",love everyone forgotten kicks tonight
18wbuu4,kfxpdvh,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",im sure hes well adjusted reasonable person irl archs face looks like practices saying know mirror wakes every morning
18wbuu4,kfxs1zs,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",sec reigning king sec newcomer beaten first round means
18wbuu4,kfxup1d,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['fau', 'michigan']",either penix odunze telepathic ability footballs explanation
