post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvsoch,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'faulkner']",sure love bryantdenny last years batch graduates hellen keller referee school blind deaf
18wbuu4,kfxva99,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['faulkner', 'kentucky']",hahaha going lose waste 1 good year past 15 seasons
16qbmww,k1watkq,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'faulkner']",like last week hopped exercise bike bama scored get back opponent scores last week biking 122 miles getting time 14
17nxpm2,k7v8ahf,lsu 745,lsuflsulsu location alabamafalabama bryantdenny time 745 watch tv cbslcbs odds spread ala 45 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'faulkner']",burns popped back like nothing wrong even little pep step something done fake injuries
16z2cw9,k3gmpi6,people 12 team playoff,maybe im biased penn fan whose team would made 59 12 team playoffs far existed great way let teams get redeeming shot one two closequality losses youre best 4 teams still get bye road 4 team nfl less fun playoffs college basketball absolutely sport dont see downsides gives clear path 8 good compete still lets top 4 teams better chance getting championship,"['maryland', 'pennstate']","['faulkner', 'alabama']",extra blowouts team play 17 games theoretically
183xgmh,karoowu,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['faulkner', 'alabama']",take new mexico would beat shit bama
183xgmh,kastf83,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],['faulkner'],makes tua throw natty look suspect 4th 31
169eu9x,jz1sypl,bestworst experience away fan,im wyoming fan wyomingtexas tech last night always try hospitable possible away fans many friendly conversations tech fans even im curious best worst experiences youve away fan,"['wyoming', 'nebraska']","['faulkner', 'alabama']",went mom wore julio jersey bama people yelling kinda expected people throwing ice popcorn ive ever wasnt fan either team
168fx6x,jyvoshj,middle tennessee 730,middle tennessee location alabamafalabama bryantdenny time 730 watch tv sec networklsecn odds spread ala 39 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['alabama', 'faulkner']",love got new job may first ive attended since 2016 wonderful time year
168fx6x,jyw2vms,middle tennessee 730,middle tennessee location alabamafalabama bryantdenny time 730 watch tv sec networklsecn odds spread ala 39 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['alabama', 'faulkner']",never want read another thing bama paying refs
191zla4,kgza2yv,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgiasouthern', 'faulkner']",fun fact national anthem written john america shortly invented america 1492
191zla4,kgzqoct,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgiasouthern', 'faulkner']",extremely surprised way first quarter went figured would 4114 point
191zla4,kh00b81,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgiasouthern', 'faulkner']",jags fan screens swing passes wondering press taylor teams oc
