post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172dawp,k3wrnez,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'ferrisstate']",disclaimer wife purdue alum agrees card dog water
18wbuu4,kfx54eh,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'ferrisstate']",dog fight want everyone good stay healthy fun
1728e91,k3vzshz,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'ferrisstate']",josh gattis worst broyles award winner ever
17d9q9a,k5w0hqg,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'ferrisstate']",boo refs uh scores anyway also love isnt 1 joe manjack 4
17d9q9a,k5w1pyk,houston 400,location houstonfhouston tdecu time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'ferrisstate']",dog fight refs stripes turning burnt orange
18uo86j,kfm4lsu,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'ferrisstate']",jake butt nfl career ruined playing bowl fsu people wanna blame guys opting getting snubbed
18uo86j,kfmbkgc,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'ferrisstate']",walk moon throwback im anna sun always hit nostalgia strings
17esjzd,k65p3f4,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['westernontario', 'ferrisstate']",ever watched show wire lester used say follow money
16jq8ru,k0rzp28,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'ferrisstate']",make score bug bigger wouldnt able see
16jq8ru,k0s0pg2,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'ferrisstate']",shoulda hit taunt db burnt toast
16jq8ru,k0s21yl,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'ferrisstate']",vikings gonna draft drop fits perfect offense
16jq8ru,k0s7okv,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'ferrisstate']",gattis winning broyles award definition putting name group project
18581f9,kazyq33,axelrod correct ohio promoted day two years removed fired nfl qbs coach carry momentum tresselmeyer eras two years reality caught osu crossroads comes deciding whether wants remain elite program,nan,"['ohiostate2', 'mountunion']","['michigan', 'ferrisstate']",good coach going go school fires 567 11 win cfpnational champion runner right mind would tolerate sort pressure
18w6kt1,kfw9ph9,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'ferrisstate']",hell get away kicker ball
18w6kt1,kfwqil7,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'ferrisstate']",michigans getting gassed offense cant stay
18w6kt1,kfwr5gx,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'ferrisstate']",way let walk right offense going nothing fucking quarter
