post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qd8l6,k1wdndn,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['floridastate', 'floridaam']",okay okay copium still overrated comments
16ptc9b,k1tawbl,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['ohiostate', 'floridaam']",virginia 75 stressful hell lord damn qb
18wbuu4,kfxobej,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",10 points hit im worried especially way penix slanging rock
16q6omx,k1v3nhp,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",trey benson needs show today importantly defense needs stop 3rd long
16q6omx,k1vcxra,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",first drive shake jitters play one drive time go noles
16q6omx,k1vf3i9,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",jesus cant tackle ends need play honest shipley
16q6omx,k1vfm1q,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",offense sustained drives cannot let get gassed lose
16q6omx,k1vg974,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",defense barely got rest going cost us later pattern continues 100 guarantee loss
16q6omx,k1vhclx,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",im gonna accept losing way enjoy afternoon
16q6omx,k1vidjw,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",adam fuller isnt fired season questions need asked hasnt good 4 fucking years
16q6omx,k1vj1ny,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",yes pass 1st run 2nd get 3rd fucking long
16q6omx,k1vk0yz,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",travis visibly hurt still hope makes
16q6omx,k1vod7j,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",good ending half get ball time go play bobby bowden ball
16q6omx,k1vpjsb,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",whos coach colorado dont think ive heard
16q6omx,k1vwj9d,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",bet clemson runs 15 slant plays fsu still line way
16q6omx,k1vwjtg,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",really dont see norvell ad see adam fuller really dont see really stunned decision keep dc
16q6omx,k1vzc2g,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",feels like clemsons hasnt 3rd long long time
16q6omx,k1vzdir,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",huge stop need jt big drive
16q6omx,k1w08zj,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",gonna win time expiring drive arent
16q6omx,k1w0dt3,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",really need stop running 2nd 10
16q6omx,k1w4wpy,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",wow really gonna win expiring drive arent
17h2hhf,k6mbmom,michigans signstealing scandal really big deal,nan,['georgia'],"['floridastate', 'floridaam']",like big deal like regular size deal liter cola sized deal large farva deal
17t1stj,k8u1xxu,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",time time time time go noles
17t1stj,k8uew32,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'floridaam']",stopped say kid throwing dimes nice
17t1stj,k8ug68b,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",looks like 2nd half jordan travis gonna show cause aside run mediocre best
17t1stj,k8uhd5n,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'floridaam']",2nd half fsu always show like always im alarmed
