post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17ijw3d,k6vg6r9,virginia miami 330,location miamifmiami hard rock time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'floridatech']",kinchens really showing impact best safety country
17d4h7c,k5vefqx,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'floridatech']",ucf 2pt conversion play call dumbest thing ive ever seen go end zone man
183mtar,kaqs1il,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['floridatech'],man going like ucf fan level annoying isnt
16ecys3,jzvj1ex,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['miami', 'floridatech']",thats breaking talent waiting see breshard dude absolute dog
16ecys3,jzvt9h1,miami 330,amftexasamtexas location miamifmiami hard rock time 330 watch tv abclabc odds spread tam 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'alabama']","['miami', 'floridatech']",jacolby talented hopefully helps gain confidence
16a716p,jz6oxbh,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['miami', 'floridatech']",announcers talking clemsons mistakes reason scored duke mistake
166pzdt,jym6nd2,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['miami', 'floridatech']",im surprised utah really dominating offensive line fuck calls screen play
16aczkc,jz6qmes,postgame duke defeats clemson 287,box score provided team 1 2 3 4 made rcfb,"['stanford', 'presscorps']","['clemson', 'floridatech']",run went 20152020 amazing passed dabo point many inside hires hanging onto coaches cant hang grisham transfers question adjust continue status quo
1780tc3,k4x0riw,miami north carolina 730,north carolina location north kenan time 730 watch tv abclabc odds spread unc 35 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miami', 'floridatech']",many penalties think combine 35
16754si,jyo5c9h,thamel sources acc presidents chancellors voted morning extend invitations stanford california smu push league 18 teams,,"['collegecharleston', 'southcarolina']","['floridatech', 'clemson2']",alright new acc rivalries stanford duke wannabee ivy bowl gt cal nerd bowl smu bc daddy paid trophy bowl
