post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfx55l5,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",purple team jumps early lead sugar bowl hey ive seen one
16ktcfe,k0z955c,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['nebraska', 'forthaysstate']",completely unbiased nebraska fan id like say cant wait cu get smacked next weekend
16uiinz,k2lqxv9,college team finishing move ala mortal kombat,would teams teams would cancel would funniest example floridas finishing move home swamp flooded turned actual swamp think oregons ducks wouldnt fazed standford would one giant tree come nowhere states beavers would win easily one would want play miami due extensive hurricane damage endures etc,"['georgia', 'transferportal']","['nebraska', 'forthaysstate']",nebraska pretty much fatalities last drive turnovers hopefully ends soon
17ny5nn,k7vza42,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['kansasstate', 'forthaysstate']",im said ksu couldnt win final big 12 matchup osu beating ou sweet
18akxkb,kbydp5k,star qb dillon gabriel enter transfer portal,,['lsu'],"['kansasstate', 'forthaysstate']",portal renamed black hole sucking everything
17nng69,k7ty1xv,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",well wanted lose kicked
17807ox,k4wp9k7,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",cant one plays go way
17807ox,k4wsr4h,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",anyone clip color commentator said fill hole pull head im smart enough stuff thought world needs see
17807ox,k4x9470,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",want say something nice tech fans experiencing unexpected stress favorite school forever
17807ox,k4x9gcx,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",joey joey buddy keep throwing ball surely would work time right
18581f9,kb09oa7,axelrod correct ohio promoted day two years removed fired nfl qbs coach carry momentum tresselmeyer eras two years reality caught osu crossroads comes deciding whether wants remain elite program,nan,"['ohiostate2', 'mountunion']","['nebraska', 'forthaysstate']",guys lost 1 fucking guys fight make bowl worst conference talk elite
18w6kt1,kfwx9n9,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['forthaysstate', 'kansasstate']",start clock final play
18lfr8y,kdxqjcj,famous toastery bowl old dominion wku 230,old dominion wkufwkuwku location jerry richardson time 230 watch tv espnlespn espnlespn odds spread odu 65 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",many shots get kicked famous toastery
18lfr8y,kdyazvh,famous toastery bowl old dominion wku 230,old dominion wkufwkuwku location jerry richardson time 230 watch tv espnlespn espnlespn odds spread odu 65 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansasstate', 'forthaysstate']",kind bread best used toast ive watched hours gotten answer
15zjqpr,jxi2lj8,rivalries seem fake forced,nebraskaiowa really nebraskas big10 games matter grew husker fan border states omaha carter lake ia remember interacting hawkeye fans daily basis loved trash talk nebraska seemed relish programs downward spiral dont like losing otherwise dont negative feelings towards program dont rise level historic adversary like feel hatred towards like colorado anything id interested mizzou id probably put even less stock trophy wisconsin partially onesided also theres even less natural inclination meaning two programs examples forced fake even onesided rivalries yalls favorite programs,"['ncstate', 'nebraska']","['kansas', 'forthaysstate']",really rivalry team joins conference gets forced rivalry zero tradition
16s9nct,k2bd756,honest scale one 10 satisfied teams current logo,penn 5 logo forever brand wish would branch experiment alternates except paw print dont talk paw print 8 love tigerhawk im fan variation gold tigerhawk black circle,"['pennstate2', 'iowa']","['kansas', 'forthaysstate']",8 complaint need go back block ku trejan whatever font trash
17w30ir,k9f2zs5,classes athletes school like,sorry distract coaching drama offseason style discussion go ive seen plenty stories players goofy parties dorms around campus im curious acted classes specifically studious never show treated like gods among men normal students happened great shape,"['michigan3', 'american']","['kansas', 'forthaysstate']",300 level class dude literally put headphones slept
17imm0u,k6vdq6q,postgame kansas defeats 3833,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['kansas', 'forthaysstate']",1 think lost 3 years life 2 ngl jason bean looked like gonna vomit end
