post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzuspvh,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'fortlewis']",glad see chris good switching slot team dude
16cmkp9,jzklh0b,greatest cfb comebacks time,byu fan taught 1980 holiday bowl dubbed miracle bowl greatest comeback time familiar link highlights unfortunately couldnt find version scores screen though saw 14 byus prostyle pass oriented offense pitted 19 smus pony express explosive running byu trailed resulting grandma leaving living room go knit four minutes left cougars 2545 fans began leave byu quarterback jim mcmahon screamed wasnt mcmahon backed throwing 14 yard touchdown pass byu recovered onside kick quickly made way culminating 1 yard touchdown run leaving score 3945 smu forced punt next possession byu blocked punt taking possession 41 yard line 13 seconds left 3rd 10 mcmahon launched 41 yard hail mary touchdown pass extra point sealing cougars win 4645 cougars scored 21 points last 233 secure first ever bowl win said sadly unfamiliar great comeback stories would like know candidates best comeback time,['byu'],"['notredame', 'fortlewis']",1988 wazzu 21 third 1 ucla rosebowl
16apjlo,jz9fkgx,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['notredame', 'fortlewis']",dude duke team going end someones magic year good team 17 returning starters lot 94 team
168o9xp,jyytnnq,chip kelly espn halftime new rules crazy four drives first half hope guys selling lot commercials,,"['michigan', 'fau']","['notredame', 'fortlewis']",ucla also gave multiple 14 play drives like make stops
1638uhj,jy1o09t,colorado good scale 15,1 absolute garbage 2 win maybe two games lackluster performance 3 win games mediocre best 4 win 5 6 games better anticipated 5 actually really good shocking cfb world answer opinion comments,"['oregon', 'georgefox']","['notredame', 'fortlewis']",1 buffs already 5 prime moves shtick runs course valued coaches want right big names coaching exactly lining work saying cant change right recruits know oc dc working right get next level right thats colorado
1675cdu,jyonqdf,mcmurphy acc add stanford cal smu 2024 sources told leagues presidents got required 12 15 votes expand accs membership 17 schools smu receive media rights revenue 1st 7 years stanford cal receive reduced shares,,"['florida2', 'rutgers']","['notredame', 'fortlewis']",whats crazy phase 2 realignment still phase 3 4 thanos arrives
15y76an,jxaquz2,whats schools embarrassing record,ugas zeke bratowski threw 68 interceptions 734 pass attempts 19511953 honestly feels like unbreakable bad record,[],"['notredame', 'fortlewis']",talking bowl droughts 1974 usc 55 nd 24 anthony davis went scorched earth irish pat hayden helm 55 unanswered rivalry
173dfgq,k434aax,ea still plans release ea sports college summer 2024 despite ongoing lawsuits playing new sticking ncaa 2014,grew ncaa games since ncaa 06 always favored madden cautiously optimistic excited return college know ea poor track record recent years comes buy,"['georgia', 'cfp']","['notredame', 'fortlewis']",ill play new doubt long ill get couch games old buddies refuse jump back ps3 ill go back enjoy 14
16g6ufo,k065gma,auerbach suspended coach mel tucker released statement lawyer,,"['georgia2', 'awardfestival']","['notredame', 'fortlewis']",damn give lawyers years heisman caleb already one
16g6ufo,k065mbj,auerbach suspended coach mel tucker released statement lawyer,,"['georgia2', 'awardfestival']","['notredame', 'fortlewis']",cfb law firm power ranking week yet
16hxs91,k0hk37b,unpopular opinion team,whats opinion team fan base fans team would disagree mine id like keep playing land feet think hatred thats increased offseason would make games fun watch,['oregonstate'],"['notredame', 'fortlewis']",fans idea far winning national championship depth 1 myriad restraints jack insured 12 team playoff keep us relevant
16o2a6c,k1imfdh,whats painful loss teams history,2018 national championship rutgers every saturday,"['georgia', 'rutgers']","['notredame', 'fortlewis']",bush push pain boston college lowest one could go week
