post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ecz62,jzvjbnz,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan2', 'franceteam']",im sorry sec bros couldnt imagine living two years
18w6kt1,kfwioxp,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'franceteam']",fuck settle 1310 play entire ballet
18w6kt1,kfwkams,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'franceteam']",dishes know chicken white sauce right
183xgmh,karoq1i,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['michigan2', 'franceteam']",whoever thought rushing two spy fourth goal 30 never another job
177218h,k4qocn7,rodak sec yet officially decide 8game schedule 7 rotating 1 permanent 9game 6 rotating 3 permanent 2025 beyond,nick saban radio show thursday night spoke solely 8game model saying way gonna 7 team rotation 1 team fixed think youre gonna play everybody every four years almost every guy school going play every team conference think great well link sabans comments around 59 minute mark,"['nebraska', 'northerniowa']","['franceteam', 'oklahomastate']",feels like nobrainer hey know
16x7vat,k33xrf8,pat mcafee doesnt get college gameday,wonder long going espn finally realizes something ive known since first joined show since constant need upstage everyone incredibly offputting especially guest going wazzu flag claiming merely hopping bandwagon team good right thats whole different level pure ignorance pats part ill admit one personal ive one many wazzu flagwavers 15 years first time 2008 season wazzu incredibly lucky finish 211 year even sixth year waving flag biggest celebrities crowd fans every single school wanted meet us hear story tell us finding flag crowd part saturday morning routine could enthusiastic accommodating every time ive flagwaving duty youll hear tune pretty much wazzu flagwavers one person ever tried give grief waving flag gameday happened fans host school opponent dozen schools told guy get lost staying anything meaning wazzu flag college gameday visible symbol program becoming celebration host site college general see fans around country every gameday site welcome partake celebration college pat mcafee doesnt get,"['washingtonstate', 'floridastate']","['franceteam', 'oklahomastate']",buffoon one main reason dont watch college gameday anymore
168z6sg,jyysuv7,northwestern rutgers 1200,location rutgersfrutgers shi time 1200 watch tv cbslcbs odds spread rutg 65 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['franceteam', 'oklahomastate']",know networks never used week 1 noon 330 sunday slates
1684ovh,jyu47di,utah 1200,utah iowafiowaiowa location iowafiowa kinnick time 1200 watch tv fox sports 1lfs1 odds spread 25 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['iowa', 'washington']","['michigan2', 'franceteam']",dont know number 12 looks natural jersey
16e7v1g,jzu6ldk,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['michigan2', 'franceteam']",maybe getting hyped teams combined five wins last year wasnt smart part
16e7v1g,jzuamd9,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['michigan2', 'franceteam']",power running wisest thing think time revoke nebraskas b1g membership
