post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17nrxkd,k7u67az,illinois minnesota 330,location huntington bank time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",think time gophers win help vikings win imo
17nrxkd,k7u6otz,illinois minnesota 330,location huntington bank time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",well ab lowered head catching ball
17nrxkd,k7uhx5c,illinois minnesota 330,location huntington bank time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",think half going full defensive battles teams
17yelku,k9t75fg,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",cant throw ball oh right qb sucks least good punter
17yelku,k9t7vge,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",surprisingly gophers defense well ohio pinned back side
17yelku,k9t7yl8,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",small chance hold 70 ohio beat us
17yelku,k9tamo3,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",interesting trivia answer loong time ago ohio
17yelku,k9tb0ix,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",yes thats deliver keep qb upright use rb extra blocker
17yelku,k9tetxt,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",ref stop sack damn stupid ref
17yelku,k9tf8wl,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",im glad didnt let ohio many points line 280 halftime proud gophers though offense pathetic
17yelku,k9tjlsr,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",starters resting pj ok waive white flag
17yelku,k9tkkc7,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",ohio resting starters facing good team next week wolverines
17yelku,k9tl3ch,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",many ohio fans complaining qb guys beating minnesota gophers badly happy defense good defense could qualify nfl team
17yelku,k9tmy8l,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",pj thats need rest starter ax wisconsin
17yelku,k9tny86,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",lol love jokes wolverine head coach ohio states head coach keep coming tbis entertaining minnesota gophers fan
172iula,k3xtkdf,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",embrassing used nearly roster
18ykzmx,kgcujov,ama im greg mcelroy college commentator espn ama rcfb january 5th 8pm get ready cfp national championship espn ask anything,removed,['rcfb'],"['floridastate', 'gallaudet']",hey weve got similar age children im wondering think integrity important parent setting example say absolutely anything paycheck way instill said integrity child
17ijw0l,k6vpskv,minnesota 330,location huntington bank time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gallaudet']",good reversed call know plays fast sometimes
