post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17sh21c,k8q3yd5,rosenberg last week michigans regents discussed leaving big ten jim harbaugh suspended without believes due process source tells si espn reported suspension 30 mins b1g informed um michiganpetitti fight,nan,['ohiostate'],"['navy', 'gansz']",laughable think wouldnt completely detrimental ums brand identity fans relishing opportunity vapid
16knfug,k0y1rkf,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",mfer storming rn thats know program absolute shit
16knfug,k0y1x6x,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",believe nothing showed resiliency big boys coming ill clap im tired espn dick riding
193kpui,kh9xo0p,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['navy', 'gansz']",fucking clap greatest gotdamn ball coach ever better bear better osbourne better snyder wont ever another like hats nick
18ekefp,kcofe32,navy army 300,navyfnavynavy armyfarmyarmy location gillette time 300 watch tv cbslcbs odds spread army 3 overunder 275 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",every possession within 30 precious squandered fuck gonna need x shake one
172zlcl,k408ae1,worst way ever seen cfb team lose,2020 marco wilson throwing shoe 2023 miami fumbling run 30 seconds left allow tech score gw td drive 2021 florida allows gamewinning hail mary versus jacksonville 2019 ole miss player costing team pat pissing dog td celebration 2022 going 4th last year territory washington 2015 michigans botched punt st,"['florida', 'sec']","['navy', 'gansz']",navy v temple 2008 navy comes back 20 final 14 minutes beat young al golden coached owls team 48 seconds left temple runs ball fumbles scoop scored tie 27 navy timeouts navy would win ot
179zhkz,k5a1bqz,clemson247 dabo swinney point dont go undefeated losers youre terrible terrible mindset honestly maybe need lose games lighten bandwagon sometimes bandwagon get little full,full tweet dabo swinney unrealistic expectations fans clemson point dont go undefeated losers youre terrible terrible mindset honestly maybe need lose games lighten bandwagon sometimes bandwagon get little full one good thing going little socalled adversity really find,"['georgia2', 'cfp']","['navy', 'gansz']",dude said ohio worst 7win team country years back think dabo really good dude shit says dumb fuck
16qh8h1,k1x55jm,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",tonight find kyle mccord actually joe bauserman
16qh8h1,k1xc79e,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",long knowles abandons zone goes something doesnt give 10 yards pass
16qh8h1,k1xhlew,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",really giving credit db mccord hasnt done shit really must nd broadcast lol
16qh8h1,k1xjo5v,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",dudes boys late night cookout breaking trashed fuck
16qh8h1,k1xkamb,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",kids warzone get shit harder walmart mics nbc takes cake cant even hear fools mediocre commentary
16qh8h1,k1xpw3m,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",really hope jim knowles figure give 10 yards fucking play
16qh8h1,k1xroa4,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",jim knowles going fuck team adjusting
16qh8h1,k1xuhq8,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",ryan day fucking idiot dude almost unfathomable call shit circumstance
18xrdw2,kg6r4bu,usually end season fans look back say right certain things team another totally wrong season,going season absolutely convinced ole miss would win sec west blake corum quinshon judkins probably favorite rb thought along jaxson dart would enough make seccg bama welp guess besides also dead wrong northwestern hazing thing went offseason plus coaching changes transfers 111 season last year everything altogether screamed 012 incoming big props wildcats amazing turnaround season,['michigan'],"['navy', 'gansz']",navy would win 2 games arguably worst team since y2k considering circumstances impressed outcome new head coach new oc dc new offensive scheme absolutely stinking pile shit award goes first year oc grant chestnut whose inability see value consistency quarterback position led many lost games genuinely fucking idea starting guys folks proven capable especially two games mattered hope could hear screaming seats tai started entire year plebe horvath whatever skill position probably wanted throw qb thanks coming ted talk beat army
16qbmz1,k1wmdpb,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",oh jesse shut fuck knew things going fall apart every espn talking head thats sucking dick going make every excuse book emotional toll spotlight theyre losing dude youre fucked
17ah8vs,k5d0835,report usc caleb williams wants partial ownership nfl team select 2024 draft per profootballtalk,nan,"['texas', 'pintglass']","['navy', 'gansz']",would riskier deal browns shelled deshaun watson take pick taking chance unproven heisman trophy winner asking partial ownership team paying former probowler riddled scandal 230 million guaranteed giving away 3 first rounders actually difficult choice lol
15h25pp,jumh233,yall im little depressed wanted rant little bit,love college ever since kid college saturday favorite day centered washington growing remember watching every dad games werent tv going drive listen bob robertson call radio even went school suffer paul wulff teams among worst country still found way enjoy sometimes always hope things would turn around money whims espn fox going destroy team athletic department wsu team tiny remote city much tradition going left best tv ratings pac12 famous passionate fanbase matter bad team see paul wulff era none matters middle nowhere small group executives board room somewhere dont think big enough name yeah know team still around mountain west welcome us open arms still martin 2024 paper wsu mwc seem like pretty good fit make mistake move cripple washington athletics know wsu visionary leadership bill moos bet big big money pac12 tv contract little decade ago basically took loans build expensive new complex buildings bet big expensive big name coaches like mike leach shiver ernie kent spent money like going style larry scott told would know turned despite major cost cutting measures past years wsu still pretty major debt staring idea going making 35 million tv money little 4 million practically night consequences going devastating dont know theyre going going ugly long time top im depressed sport whole wsu fans going beaver friends likely right us plenty around corner big money schools continue consolidate little little passion tradition makes college special whittled away left cheaper younger worse version nfl month away kickoff enthusiasm time low care sport obviously doesnt care school could miracle year win national championship none would matter fate 2024 beyond sealed years ago nothing could sucks sorry rambling wanted voice feeling people might sympathize level thanks reading,"['washingtonstate', 'easternwashington']","['smu', 'gansz']",wish power premier league fans super league
16iw2vw,k0n1m4z,navy memphis 730,navyfnavynavy location memphisfmemphis simmons bank liberty time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",rayuan lane person worth damn entire team far best athlete likely worst navy team since 2001
16iw2vw,k0n6m5y,navy memphis 730,navyfnavynavy location memphisfmemphis simmons bank liberty time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",problem bringing blake cant make right read shit boy throw
16iw2vw,k0n9e5n,navy memphis 730,navyfnavynavy location memphisfmemphis simmons bank liberty time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",yes lets backup qb virtually playing time play experienced guy kept us newberry dipshit
16iw2vw,k0nc747,navy memphis 730,navyfnavynavy location memphisfmemphis simmons bank liberty time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",second look chains actually looks like gets first lol
16iw2vw,k0ncg4o,navy memphis 730,navyfnavynavy location memphisfmemphis simmons bank liberty time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['navy', 'gansz']",navy lost incorrectly got first horrible
18svukf,kf9yo95,fenway bowl boston college smu 1100,boston college smufsmusmu location fenway park time 1100 watch tv espnlespn espnlespn odds spread smu 10 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gansz', 'mayorscup']",finally get data points see gansz trophy also works baseball fields got hand boston college clever try neutralize smus advantage
18svukf,kfadl7b,fenway bowl boston college smu 1100,boston college smufsmusmu location fenway park time 1100 watch tv espnlespn espnlespn odds spread smu 10 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gansz', 'mayorscup']",im seeing things right gansz trophy fills rain water power defeat green monster
16754si,jyolg6u,thamel sources acc presidents chancellors voted morning extend invitations stanford california smu push league 18 teams,,"['collegecharleston', 'southcarolina']","['smu', 'gansz']",feel like israelite found way desert
