post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16wjz1a,k2xo98b,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'gardenstate']",need score keep close mistakes well ok
16wjz1a,k2xsifw,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'gardenstate']",special teams offense need get together defense carry us long
16wjz1a,k2xwedg,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'gardenstate']",special teams right killing us offense slowly getting defense carrying squad 100 isnt awful fuck closer
16knfug,k0xxifb,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'gardenstate']",like feel long time cu fans time good csu fans
16knfug,k0xzgfa,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'gardenstate']",csu really came 2 minutes away pissed away
16knfug,k0y1zf8,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'gardenstate']",know bad whem duke rutgers flairs dunking rushong
16a716p,jz6bwfo,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['duke', 'gardenstate']",1 make lot happier
16a716p,jz6c150,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['duke', 'gardenstate']",2 big mistakes 2 minor away could lot worse could better
16a716p,jz6l67y,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['duke', 'gardenstate']",getting rid divisions unleashed coastal chaos whole conference
16a716p,jz6okos,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['duke', 'gardenstate']",stephan f austin felt years ago
15ony9v,jvt1p1k,four acc schools opposed additions stanford cal wed night presidents meeting florida clemson north carolina north carolina source confirms theathletic would need flip one four get 12 yes votes 15,,"['michigan', 'fau']","['duke', 'gardenstate']",nc really thinks unc taking along secb10 dont
