post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172i5sr,k3x0iku,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'gardnerwebb']",okay everyone long going wait start bobo jokes week
172i5sr,k3x88yz,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'gardnerwebb']",hopefully big win get back solid 1 ranking
172i5sr,k3xgka6,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'gardnerwebb']",pretty sure chipotle steak cheapest cut meat could findnot best juiciest
172i5sr,k3xmgve,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'gardnerwebb']",soo questionsay drop dont think going go cfp would everyone cool us padding bowers stats get win heisman
18wbuu4,kfxo95l,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",two score gotta td momentalot left season still maybe depends drive
18wbuu4,kfxp29t,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",good horns washington chance really put thing reach driveif im im treating every play like season depends
1728e91,k3vlf2d,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'allanhancock']",im starting new metric time sideline tts turned took 3 minutes gus gave version sideline
18uo86j,kfm988s,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",ill die hill team 30 first half unnecessary roughness unsportsmanlike conduct aside penalized
18uo86j,kfmmf34,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",even announcers sound sad florida missing starters pro level defense im sorry louisville georgiathe score maybe 4510 starters
16keh7j,k0vsok6,south carolina 330,south carolina location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'gardnerwebb']",getting voted last week saying bobo clownohh threads change lol
183w2c9,kas8z6v,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",jesus thats helmet thats car hood 21
16e7uty,jzugxrq,ball 1200,ball location georgiafgeorgia sanford time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['arkansas2', 'rcfb']","['georgia', 'gardnerwebb']",say bobo betterhowever bobo thinks highlander 2 best movie ever made
16e7uty,jzul8fg,ball 1200,ball location georgiafgeorgia sanford time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['arkansas2', 'rcfb']","['georgia', 'gardnerwebb']",bobo likes price hikes streaming services thinks ceos dont make enough money
182v9ux,kalvz0j,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'allanhancock']",proper way end tie would travesty someone actually wins
17o0i1u,k7w4dem,colorado 1000,location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'allanhancock']",salesforce commercial need know salesforce much money
188qre7,kbmksfd,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",one wants piece left tackle wearing belly shirt thats intimidation
188qre7,kbmtwj5,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",still early end world starting feel like already getting close dig deep need big play territory
191zla4,kgzjqh5,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",colossal stopwith way feels huskies needs touchdown need
191zla4,kgzmfal,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",defense finally standing ol penix needs standing
191zla4,kgzr1iw,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",well one score atleastfeels alot like dominates feels like long time kinda stops dominating next thing know half time one score
191zla4,kgzzugj,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",saban prime commercial pairing could say one multi time champion ass hat able debate
191zla4,kh028na,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",jj loses forsee spirit journey country name cant pronounce mountain didnt know existed
168fx9s,jyvw4kr,south carolina north carolina 730,south carolina north carolina location bank america time 730 watch tv abclabc odds spread unc 25 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['southcarolina'],"['gardnerwebb', 'allanhancock']",able turn come say uniform juxtaposition wonderful
168fx9s,jyw1zx5,south carolina north carolina 730,south carolina north carolina location bank america time 730 watch tv abclabc odds spread unc 25 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['southcarolina'],"['georgia', 'gardnerwebb']",came uga gamehows things going sc rattler looking good bad
16w91zf,k2vw182,florida kentucky 1200,location kroger time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'allanhancock']",10 carries 203 yards 9 minutes let second im pretty sure ive never done playing ncaa even jeez
18uiqbe,kflpgue,peach bowl penn ole miss 1200,penn ole missfolemissole miss location mercedesbenz time 1200 watch tv espnlespn espnlespn odds spread psu 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'temple']",penn states purpose college overrated give quality win ohio polls talking heads justify ranked high every year without fail ohio goes white top 15 ranked penn blow ride half ass quality win top 5 thankless job well
17iov84,k6wjcfk,colorado ucla 730,uclafuclaucla location uclafucla rose bowl time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['gardnerwebb', 'allanhancock']",even isnt catch rule cool absolutely makes catch count
168dp3a,jyvfz9f,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",pretty sure bobos new playbook copy paste 2010 one bothered check
168dp3a,jyvgbrc,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",know joked bowers playing qb something starting look silly put best player got qb lol cant worse
168dp3a,jyvgqua,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",serious question lose quickly think bobo fired
168dp3a,jyvh3em,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",point pretty sure could find student played ncaa 09 elementary school learned uga playbook could make better play caller
168dp3a,jyvir6r,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",keep going say score another 2 tddo drop rankings
168dp3a,jyvkmqg,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",level playingi saying dont beat tenn
168dp3a,jyvmt8n,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",bobo bought walmart scooter show speed going middle 20 seconds left
168dp3a,jyvn5kv,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",bobo thinks gum underside desk free gum
168dp3a,jyvncfg,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",bobo prints pages internet save later
168dp3a,jyvr2wp,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",whats chances laugh later ut martin wins rest games 40 points
168dp3a,jyvyuwj,ut martin 600,ut martin location georgiafgeorgia sanford time 600 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia2', 'sickos']","['georgia', 'gardnerwebb']",wowthat gift surehe clearly control
