post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzv69ex,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame2', 'gator']",messy made worse awful officiating ways two deserved better
16kehex,k0w3s5d,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",im happy rutgers isnt dogshit feel hokies always soft spot vt hope school gets fuck together
16kehex,k0w7ch6,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",drops dime deep pass two plays later throws shittiest screen pass
16kehex,k0w7jyz,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",rutgers elite side decision suns really eyes 2nd3rd
16kehex,k0w8bel,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",wimsatt earned enough respect hokies defense visibly freeze certain handoffs make sure doesnt
16kehex,k0wankg,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",wimsatt knew bullet pass lob
16kehex,k0wdmt4,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",stilling commercial world play hit never left
16kehex,k0we2x1,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",hokies know safe space dont forget weve suffered decade buttgers understand pain
16kehex,k0weuyn,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",refs calling penalties fuck yellow line guy know fucking sucks
16kehex,k0wfo79,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",hit late refs set shit precedent
16kehex,k0wh69d,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",okay please stop third quarter heart attacks
16kehex,k0whh9u,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",might weirdo soft spot former big east schools hokies included
16kehex,k0wi4l0,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",feels like one rutgers teams parents amazing anything definitely ability upset least one highly ranked team
188vvkf,kbnalh3,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['notredame', 'gator']",friendly reminder espn 95 point favorites
173vhag,k466ijq,tank job week week six,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 4 minnesota golden gophers lost northwestern 3734 5 ucf knights lost baylor 3635 x200b last week thought going two horse race ucf tech knights hoo boy knights fact calling declare meltdown baylor ultimate tank job year done probably want take back x200b onto week yes still gonna vote yes theres nominees yes completely formality yes happened exactly 831 pacific saturday night kind moment tjotw normally dream fact could say knelt reverence gods hath delivered glorious bounty x200b note ease counting please use carats vote like miamifl thank thanks participating x200b honorable mentions saw usc everybody saw also jimbo fishers intestinal fortitude x200b nominees week 6 x200b arizona wildcats lost usc 4341 hate zona followed plucky finish washington even pluckier effort usc 170 guys steve kerr skipping press conference watch drink margaritas couldnt hang also shoulda gone two first overtime burned colorado burned x200b fresno bulldogs lost wyoming 2419 50 two power 5 scalps belt bulldogs rolled laramie clear frontrunner race coveted group five ny6 berth leave teeth broken limping back california last minute interception halted desperate comeback big boy bowl hopes dashed yet took major hit x200b miamifl hurricanes lost tech 2320 youve least heard canes didnt kneel fumbled gave winning touchdown two seconds left incredible might sound description doesnt even begin justice theres absolutely nothing type havent seen yet need probably need see many times mind youre going watching every college youtube compilation rest life moderation key x200b notre dame fighting irish lost louisville 3320 1713 cards entering fourth quarter notre dames fourth quarter drive chart turnover downs 35 first play interception fumble 26 gonna turnover downs anyways touchdown recovered onside kick ending interception considering offensive meltdown absolute gifts position handed louisville miracle cards got 16 points x200b rice owls lost connecticut 3831 owls 10 point home faves winless huskies outgained uconn 160 yards one two three turnovers put owls 2814 claw back 3128 huskies ripped 59 yard td attempted rice counter resulted turnover 4 rice manage goal pull one score onside kick recovered huskies walk houston first win year x200b san jose spartans lost boise 3527 277 one point smurf voodoo kicked broncos rallied 28 straight could kickstarted sjsus floundering season probably beginning end bowl hopes x200b ucf knights lost kansas 5122 one overused terms sports boatraced people dont use correctly proper boatracing team racing insurmountable lead even though team gets going theres hope possibly catch since actual boat racing lose lane need make pass said ucf got boatraced jayhawks maybe busraced whatever fact end baylor first 31 minutes kansas knights outscored 670 yeesh,"['washington', 'centralwashington']","['notredame', 'gator']",op definitely knew answer gonna throughout typing post miamifl
167kgm7,jyqd4j7,miami oh miami 700,miami ohfmiamiohmiami oh location miamifmiami hard rock time 700 watch tv acc networklaccn odds spread mia 17 overunder 450 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['miamioh', 'ohiostate2']","['gator', 'chaos']",bowl confusion thats world today hey hey
17nng42,k7t88nj,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",said ill say know going win least weve hit level keep first half fun
17nng42,k7t8hbb,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",cant wait monangai drafted 6th super bowl level team become another pacheco
17nng42,k7tabrj,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",hope rutgers settle fg drive
17nng42,k7tbi3h,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",appreciate wimsatt playing safe shouldve saved imho
17nng42,k7td46t,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",watching ohio fans fight fans im happy watch college team completely suck
17nng42,k7thhkj,ohio rutgers 1200,ohio location rutgersfrutgers shi time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",knew would happen told gf id free 3 earlier
16q6owk,k1vbu7l,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",schiano throwing 72 bridge great falls theyre back jersey
16q6owk,k1vccrn,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",ngl punted thought running fake
16q6owk,k1vcmag,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['rutgers', 'gator']",hurdle call made seem like didnt step player flat ground
