post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvx7k2,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],tyler buchner transferred notre dame sit bench behind milroe
16ei5hq,jzvyhtv,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],ewers mustve watched film study dr disrespect toss
183w2cz,kas0w8v,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],reminder open next year arent developing qb likely starting
16f0btp,k00kp0a,honest questionwhy nebraska bad,theyve burned coaches athletic directors quarter backs etc yet theyve continued fall farther farther ever since early 2000swhy ive never seen program elite fall cliff long,[],['gccr'],youre college age kid would want spend part life living nebraska
1728e91,k3vdlwq,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],liberty bibberty thing fun one ad thats
1728e91,k3vmnul,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],last two throws horrible despite catches
1728e91,k3vvtsu,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],mccord like one tiktoks try make zero overall player video win award
1728e91,k3vzaby,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],snake oil 1 new show new show
1728e91,k3w4skq,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['gccr'],side note like maryland helmets good mix modern classic look
16yz0x3,k3cm2pn,whose talent team waste school,knew utilizing nico collins enough watching pros proves whose talent school waste,"['michigan', 'littlebrownjug']",['gccr'],boise shouldve bcs title kellen moore defense kicking shit pants nevada
