post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ptc9b,k1t27u6,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],['germanyteam'],virginia hey want see dumb stuff virginia want see virginia
16q6omx,k1w3p3e,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",love ending heisman house commercial dont know 3 like lmao
16qbmww,k1wuxvl,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",kiffins hair lookin like dropped lollipop carpet picked lmao
177rgmq,k4usn7y,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",id real sicko bet crispy lincoln vandy
16apjlo,jz8l885,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['germanyteam', 'wisconsin']",numb since 1946 also losing 4 rose bowls row even barry came back coached one
18w6kt1,kfvy4b3,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'cheezit']",harbaugh type guy go gloryhole call throat goat
18w6kt1,kfw0ogm,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'cheezit']",heard jim harbaugh stole girl scout cookies resold dispensary
17df8ox,k5wfiwe,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['germanyteam', 'boisestate']",didnt loses special teams miscue bingo card everything iowaminnesota promised yet didnt see ending coming
16vtigq,k2tgvs3,cincinnati byu 1015,byufbyubyu location byufbyu lavell edwards time 1015 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",byu qb 10 picks phone qb coach im fucking praying tonight hangs
17nrxeu,k7ukdg1,missouri 330,location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'germanyteam']",cfb much fun team good death penaltied ncaa
18phz33,keorkiq,las vegas bowl northwestern utah 730,utahfutahutah location allegiant time 730 watch tv abclabc espnlespn odds spread utah 65 overunder 415 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'boisestate']",red trying make yellow iowas northwestern look like shootout
16wjz1a,k2yawf5,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sickos', 'germanyteam']",ok duke least werent ucf blow 357 4th quarter lead baylor always worse
17n7lgx,k7qtq15,colorado wyoming 800,colorado location wyomingfwyoming jonah war memorial time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'boisestate']",another csu ends ugly surprised
17y5zcv,k9rz4tu,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'oregonstate']",good evening time tuning college stuttgart
17ic9fj,k6tddyn,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'oregonstate']",college day stuttgart germany cowards
16knfug,k0y0jvf,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['colorado', 'germanyteam']",im german cu fan woke expecting finished look score damn cu move
189cl2c,kbq5qrc,postgame defeats 4921,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['germanyteam', 'boisestate']",x200b x200b x200b x200b x200b champion big12
16aquxz,jza5eov,tank job week week 1,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery finally college back miss late summer air smell sorts meats treats sizzling grill sights pageantry fresh uniforms glistening sunstadium lights course sound thousands screaming fans watched team pined last eight months immediately plummet side cliff back baby alright one time posterity heres 2022 winners week 1 virginia tech hokies lost old dominion 2017 week 2 aggies appalachian 1714 week 3 northwestern wildcats southern illinois 3124 week 4 miamifl hurricanes middle tennessee 4531 week 5 sooners tcu 5524 week 6 0klah0ma s00ners 490 2022 ultimate tank j0b week 7 notre dame fighting irish stanford 1614 week 8 miamifl hurricanes duke 4524 week 9 0klah0ma c0wb0ys kansas 480 week 10 miamifl hurricanes florida 453 week 11 kentucky wildcats vanderbilt 2421 week 12 tennessee volunteers south carolina 6338 week 13 ducks 3834 week 14 usc trojans utah 4724 bowls usc trojans tulane 4645 year aggies 57 yeah eyes dont deceive blanked red river shootout actually beat tennessee rattlered surefire playoff spot ultimate award three votes consider upset im honest alright onto 2023 boy get doozy week kick us note ease counting please use carats vote like team thank thanks participating honorable mention dont think florida really deserves nomination brutal fans furious road incredibly good team wasnt exactly blowout fact gators actually outgained utah theres also karmic element lets say lil ah honorable mention nominees week 1 arkansas red wolves lost 730 maybe im bit harsh arkansas 36point underdog theyre still fbs team got bottomrung fcs treatment one also think butch jones soul might snapped two army black knights lost lamonroe 1713 army entered 9 point favorites seemed well way finishing punted back ulm 10 6 minutes left warhawks got sixtytwo yards single play army fumbled ball back warhawks took lead black knights final two possessions ended interception fumble making three straight turnovers end literally hand monroe baylor bears lost 4231 considering espn alert announcing upset called bulldogs instead bobcats fair assumption doesnt get much respect hasnt exactly undeserved boys san marcos havent four games season since 2014 consistently rank towards bottom fbs didnt stop walking waco boatracing bears biggest win program history however baylor went 15 early struggled even stay bobcats continued pile points boston college eagles lost northern illinois 2724 eagles eight point favorites entering stalled offense let northern illinois take 140 lead third quarter battle back force overtime even took lead goal niu punched punched eagles win column clemson tigers lost duke 287 tigers rolled durham thirteen point faves looked poised take lackluster half still saw 76 break riley leonard scampered goahead score every attempt strike back ended epic failure tigers two deep fumbles shanked 21yard goal giving blue devils momentum needed turn shocker laugher stretch lsu tigers lost florida 4524 lsu came sunday nights expecting heavyweight slugfest rematch seminoles two half quarters thats exactly looked like going get lsu melted let fsu rattle 31 consecutive points needed last minute garbage time td close gap respectable 21 points nebraska cornhuskers lost minnesota 1310 admit moment ball left anthony grants hands less five minutes go nebraska seven knew matt rhules debut going end everyone knew going end thats five row gophers huskers meet new boss old boss tcu horned frogs lost colorado 4542 maybe maybe colorado might actually good year maybe maybe tcu taking least step back losing much miraculously took national championship last year still onewin team thats 21point underdog coming national runnerups outshooting particularly considering defensive effort colorados winning touchdown tech red raiders lost wyoming 3533 raiders bit miffed snubbed ap rankings start season looked make example wyoming looked going 170 first quarter easily covering 13 points favored didnt keep last fortyfive minutes cowboys rattled 20 straight force late tech fg even get overtime magical fourth conversion andrew peasley set winning two point play,"['washington', 'centralwashington']",['germanyteam'],nebraska simulate games last 5 minutes 10 10 times cornhuskers win took massive choke job lose one
161tbiw,jxtr1gt,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'wisconsin']",corso gonna chug beer pull hog unleash sicko gods
177nxrk,k4u6zwb,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['sickos', 'germanyteam']",college gameday stuttgart germany cowards timezoneception today watching early morning dark gameday im start cooking dinner lmao
188qre7,kbnadcm,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'boisestate']",make close everytime thats called clutch
188qre7,kbnadxh,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'boisestate']",make close everytime thats called clutch
16e3yqv,jzt3dmn,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'wisconsin']",broadway joe guest picker today hope joe turns corso ask kiss like mnf incident
16e3yqv,jzt721t,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'wisconsin']",lol cant wait see million gambling ads tomorrow funny dont show draftkings fanduel etc college games
16qh8h1,k1x7vm4,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",santa got lot money naughty bois aint getting presents year
1689xyu,jyud4my,buffalo wisconsin 330,location camp randall time 330 watch tv fox sports 1lfs1 odds spread wis 28 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['wisconsin'],"['germanyteam', 'wisconsin']",get one ill try tune
172jjof,k3xv09i,fresno wyoming 800,fresno location wyomingfwyoming jonah war memorial time 800 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sickos', 'germanyteam']",lmao please dont tell wyoming playing prevent defense rn
174ugz0,k4carcj,terms cfb fans overusing need unlearned,discourse get redundant fast community tends become echo chamber top head sleeping giant riding coattails bulletin board material,"['missouri', 'big8']",['germanyteam'],terrorist killing people nothing sports stop using thanks
183mtar,kapy4gf,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",remember 60 minutes whole bit colorado winning one lol
183mtar,kaqnbgp,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'sickos']",special teams players waving arm thingy
17xw6oo,k9q96pm,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['concordiawi', 'germanyteam']",wazzu player id go deion say lost lil boi
17xw6oo,k9qajmp,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['concordiawi', 'germanyteam']",deion going cry post presser cannot sleep night didnt offer 100m 2 years
17xw6oo,k9qauwg,colorado washington 1030,washington location washington gesa time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['concordiawi', 'germanyteam']",deion bleach mustache blonde show new program hot air balloon call mr big nub
189ygiv,kbuvtgv,booger mcfarlands live reaction complete travesty sport go play regardless whether win offense defense name win thats reason never done 130 p5 champ,continued understand style points best matchups one team loss one doesnt florida kids went every week busted behinds moment,"['michigan', 'fau']",['germanyteam'],one reasons lot people dont take college seriously sport
17j3xdt,k6zq3vu,deion sanders colorados offensive line struggling protect shedeur big picture go get new lineman thats picture ima paint perfectly,nan,[],"['germanyteam', 'boisestate']",mean saying everybody thinking dont know people arms comment lines problem dont improve lot qb matter good blunt yes nothing anybody watched colorado games didnt think hell even fowler said last night broadcast
16prg48,k1sz1yt,boise san diego 1030,boise san diego diego location san diego snapdragon time 1030 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['germanyteam'],99 yard drive comes empty bend dont break defense finest somewhere monte kiffin smiling
16qbmz1,k1wb2xw,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",never 21 point underdog shows 21 point underdog tcu
16qbmz1,k1wbd5o,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",coach prime look like drunk uncle bbq end lol
17is9rl,k6wyhid,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",wtf arizona enough spooky desert voodoo dark thing
17is9rl,k6wzss5,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",american ads mind numbing call buy set dishes
17is9rl,k6wzytp,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",positive yards makes happy stacking wood stop water flowing downstream hell yea beavs
17is9rl,k6x06xv,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",look screen wasnt pretty fucking w r k e
17is9rl,k6x0d4o,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",one person tells new iphone built titanium
17is9rl,k6x0nd3,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",b e v e r n e n e n f
17is9rl,k6x0xe9,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",w h e e e e w look p r e c n young age
17is9rl,k6x1mxb,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",foot arm retire
17is9rl,k6x1tr5,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",maybe real desert voodoo friends made along way
17is9rl,k6x2my1,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",bought dog giant stuffed carrot arrived haha
18vzm3k,kfupi6o,reliaquest bowl lsu wisconsin 1200,lsuflsulsu location raymond james time 1200 watch tv espn2lespn2 odds spread lsu 85 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'cheezit']",im family wisconsin new work ya know
17nngaq,k7t7csd,arkansas florida 1200,location floridafflorida ben hill griffin time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'oregonstate']",forward yards people go weenie hut jrs
16w91ub,k2vq489,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sickos', 'germanyteam']",oh fantastic deke move rb love agility
168z6sg,jyywljq,northwestern rutgers 1200,location rutgersfrutgers shi time 1200 watch tv cbslcbs odds spread rutg 65 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'delaware']","['germanyteam', 'wisconsin']",telling 3 month old hes going grow watching sicko ball
180k3c6,ka9vr4k,thankful year concerning flairs,buffs developing identity leadership yes people hate sentiments oh well also thankful wins two big rivals nebraska csu wins memorable long time gopherswell mediocrity isnt distracting guess oh beat nebraska thats cool,"['colorado', 'minnesota']","['kansas', 'germanyteam']",kansas lance leipold turned real deal program showing serious signs era endless despair could well truly ravensburg got relegated uh maybe might win gfl2 knows point
18yljpf,kgcj665,biggest favorite teams history,fan think 2 wed beaten 2012 sec championship came final play bama lead notre dame 30 halftime pretty much forgone conclusion uga would championship theyd beaten mark richt gets championship isnt fired 3 years later never hires kirby smart maybe isnt nearly dominant herschel walker gone clemson 2 schools chose uga clemson already title 1981 walker good would clemson many championships many records would herschel still heisman would even chance championship 80 82 say,[],"['germanyteam', 'boisestate']",kyle brotzman hit fg 2010 nevada ranked 3 heels undefeated season year chance end natty probably wouldve become interesting discussion unfortunately brotzman missed missed ot nevada ended winning streak broncos hopes major bowl invite
16q2osp,k1uvque,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'wisconsin']",hey hugh tell us told girl take shirt
16q2osp,k1uw74f,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['germanyteam', 'wisconsin']",hugh freeze type guy smoke schwag fit
16q2osp,k1uwfsb,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['sickos', 'germanyteam']",credited inventing helmet sticket subjectively best quite like buckeye helmet stickers fsus also one favorites
16q2osp,k1uxj7j,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['sickos', 'germanyteam']",uconn covers spread today duke sign seal
16w4zuc,k2vd6hq,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['sickos', 'germanyteam']",appreciate segment people cant kick glorious
169ggpv,jz1nlso,postgame florida defeats lsu 4524,box score provided team 1 2 3 4 lsuflsu7100724 florida made rcfb,['rcfb'],['germanyteam'],keon coleman good qb dangerous dangerous fsu team real tigers certainly chances left many points first half 2nd half seminoles first though lsu still everything front probably need bit star players though
1694dym,jz0gmu7,san jos 330,san jos jos location san jos cefcu time 330 watch tv cbslcbs odds spread orst 165 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oregonstate', 'summertimelover']",['germanyteam'],dju throws screens high low everything going medium deep money oline continues protect way beavs contender
16pnixi,k1sxlcz,nc virginia 730,nc statefncstatenc location scott time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",babysitting little shits around 10yr told get ice cream watch sicko
16pnixi,k1t1rpf,nc virginia 730,nc statefncstatenc location scott time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['germanyteam'],3 15 yards penalties less 40 seconds might kind record ouchie
1780tdz,k4wqoim,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",said fwb fuck like champion today uppercut nuts
16rv5xx,k25g4td,tank job week week four,tank job week award fbs team best job humiliating weekend whether blew large lead choked away spot limelight lost absolutely right losing completely screwed everything last second blunder tjotw winner sets gold standard college misery x200b previous winners 1 baylor bears lost 4231 2 nevada wolf pack lost idaho 336 3 cowboys lost south 337 x200b last week wasnt lopsided tjotw vote ever still pretty easy win inexplicable blowout south team got significant number votes cincy losing miamioh doesnt compare getting utterly flattened sun belt team oh well maybe particular sun belt team going win go 121 single week 1 loss tulane make new years six spoiler alert go 121 x200b onto week thing dont cosmic earthshattering level upset blown leads shocking turnof misfortunes defensive staffing issues huge games veritable feast nominees x200b note ease counting please use carats vote like team thank thanks participating x200b honorable mentions indiana needing four overtimes akron nebraska tied louisiana tech 77 entering fourth quarter jimbo fisher auburns best blocker scoop score denver broncos x200b nominees week 3 x200b appalachian mountaineers lost wyoming 2219 12 minutes go mountaineers picked andrew peasley pass returned touchdown go 197 cowboys instantly responded going 75 yards first play scrimmage thats fine said app proceeded go epic tenminute clock killing drive sputter kick goal go 8 wyoming blocked goal returned winning touchdown app one last chance already goal range got picked wyoming 6 eleven seconds go ice brutal crazy x200b clemson tigers lost florida 3124 oh tigers brought looooooooooowly scoop score finish blowing ten point lead check playing goal kicker drag back miss 29yard winner playcall 3rd 1 overtime hell way lose tigers x200b colorado buffaloes lost 426 okay maybe lot us saw coming dont think us thought colorados reality check going brutal one thing something like 5932 350 first half massacre plus holding buffs less 200 yards hype x200b hawkeyes lost penn 310 76 yards four turnovers 1433 possession nothing else need said x200b minnesota golden gophers lost northwestern 3734 3110 start fourth quarter team favored beat two touchdowns team whos claim worst power conference team heading virginia stanford exist northwestern rips 174 yards 21 straight points fourth quarter responded gophers fg firstplay touchdown overtime minnesota rowed boat right waterfall x200b nevada wolf pack lost 3524 pack something prove tjotwwinning domination idaho coming short plucky effort kansas came swinging san marcos seventeenpoint favored bobcats first half scored five times twenty minutes plunge unr 04 x200b notre dame fighting irish lost ohio 1714 didnt think id nominating irish instant classic saw notre dame rally ten ohio sneak across goal line literal last second take victory comes one biggest games year critical moment marcus freeman kindasorta forgot put eleventh defender two plays coaching staff fully aware x200b south jaguars lost central 3430 jaguars respond massive program elevating tjotwworthy win last week ripping early 140 lead chips cmu went 273 run south come back take lead fourth quarter central snapped final touchdown fourteen seconds left pull 17point upset,"['washington', 'centralwashington']",['germanyteam'],minnesota losing northwestern embarassingly enough losing lead 3110 oofff
189h6d9,kbs8cd2,postgame defeats 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['germanyteam', 'sickos']",alabamas one possession 30 seconds left 4th south florida 111 last year become even confusing
16wksgd,k2ybxqq,postgame baylor defeats ucf 3635,box score provided team 1 2 3 4 ucffucf2177035 made rcfb,['rcfb'],"['sickos', 'germanyteam']",26 unanswered points 4th quarter quite possibly one cataostrophic collapses seen especially team hosting first home big12 students left early earth
178l3mf,k50kps3,ap poll 10152023,nan,"['minnesota', 'delaware']",['germanyteam'],0 reason still ahead washington take results year consideration
1728eb3,k3w8fmq,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['sickos', 'germanyteam']",dancing around get bro
16pms5i,k1ryf9r,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",bucky badger gave lap dance wandos
16pms5i,k1swdrk,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",whatever thats targeting gf really ill show targeting proceeds uppercut nuts
16pms5i,k1swp8t,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['germanyteam', 'wisconsin']",gf purdue alumni shes made death threats whole cu incident
18wd5xz,kfx2j3h,postgame defeats 2720 ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['germanyteam', 'boisestate']",thats problem college overtime almost completely eliminates special teams dominated day moment reached ot favorite punts great wrong team
