post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvr8a7,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",says something alabamas high points theyre still 3rd wins list even period
16ei5hq,jzvric9,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",sabans hair color fascinates seems like something thatd beneath interest clearly cares enough get dyed
16ei5hq,jzw41b9,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",seems wildly unjust kind luck
16ei5hq,jzwc8ww,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",dont know ball ever even touched hands
16ei5hq,jzwd84m,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",throwing motion doesnt seem like able uncork bomb like
16ei5hq,jzwfg5d,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",work friends grads cant imagine night like
16ei5hq,jzwggej,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",youre one dozens americans like skip defense entirely dynasty mode become borderline erotic
16ei5hq,jzwis5e,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",ostensibly lost spot undisputed apex predator college national championship back 21 somehow feels seismic
16ei5hq,jzwjsl7,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",legitimately cant tell sec chants sarcastic
172i5sr,k3x00cq,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",shouldve ran ravens play hold everybody clock runs
172i5sr,k3x0ejz,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",overunder 35 times greg mcelroy says think roll quarterback key 3rd
172i5sr,k3x772l,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",awesome look like bunch assholes national tv thank
172i5sr,k3x8nz7,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",wish could say didnt expect ive kentucky fan long expect different
172i5sr,k3x8yv5,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",alright burton get backbreaking penalty someone else step
172i5sr,k3x95um,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",oline gotten many penalties rubbing georgias dline
172i5sr,k3x9po2,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",liam coens called good penalties killing us
172i5sr,k3xaj4w,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",kentucky loses louisville wins next month half work absolutely hell
172i5sr,k3xalwb,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",know 19 pretty good maybe cover
172i5sr,k3xiaa5,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",carson beck saw christian pulisics tiger forearm tattoo thought coolest thing ever saw
172i5sr,k3xiy4r,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",liam coen run 2 point conversion plays pats ran 283
172i5sr,k3xljoo,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",every schedule winnable greg mcelroy thinks beat bama
172i5sr,k3xlse3,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",punt 22 yards without shank pressure
172i5sr,k3xnfsp,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",bright side think thats 2nd drop
172i5sr,k3xquto,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",fat guy colorado lit arizona states kick returner
16qadvo,k1w8bjj,deal historically mediocre program,wondering always purdue fan hope could start build momentum last couple years nope back square one ryan walters deal fan mediocre program got people around ohio alabamamichigan etc fans,"['purdue', 'easttennesseestate']","['kentucky2', 'governorscup']",change expectations rival also mediocre helps
16qzss2,k202a6b,complain team,vent friendly place,['rcfb'],"['kentucky', 'governorscup']",jorginho get rid ball theres nothing wrong passing back goalie wait wrong sport really need cut penalties dumb penalties handed vandy 10 points right halftime
18d3juv,kcgh3d2,someone told teams bowl matchup beginning year would reacted,looking bowl matchups year one particular caught eye utah fan told id playing northwestern las vegas bowl id probably given season right although suppose flip side northwestern fan youd probably thrilled news would reacted beginning year knew teams bowl matchup preseason hype despair depending,"['floridastate', 'sickos']","['kentucky2', 'governorscup']",wouldve excited playing clemson thinking ny6
17j4q9q,k6yjmwf,complain team,vent friendly place,['rcfb'],"['kentucky', 'governorscup']",im mad mad enough last nights
16cvipo,jzm0oij,favorite uniforms every p5 conference,title suggests subjective opinion best dressed team p5 conferences ill go precrazy realignmen mine acc definitely florida st garnet gold immaculate timeless helmets iconic big 10 biased think top bottom best dressed conference many iconic classic looks thst said penn st clean perfect colors pop aways damn near perfect big 12 quite possibly best look time away storm trooper look absolutely beautiful pac12 theme far simplicity classic looks way say theyve challenged new looks never missed current sets every look incredible sec second best dressed conference hardest choose tie lsu auburn auburn best overall design looks fitting era fcs shoutout best look school harvard crimson creams insanely gorgeous,[],"['kentucky', 'governorscup']",acc unc big 10 maryland retro unis used full time big 12 pac 12 sec lsu
16cvipo,jzmzweq,favorite uniforms every p5 conference,title suggests subjective opinion best dressed team p5 conferences ill go precrazy realignmen mine acc definitely florida st garnet gold immaculate timeless helmets iconic big 10 biased think top bottom best dressed conference many iconic classic looks thst said penn st clean perfect colors pop aways damn near perfect big 12 quite possibly best look time away storm trooper look absolutely beautiful pac12 theme far simplicity classic looks way say theyve challenged new looks never missed current sets every look incredible sec second best dressed conference hardest choose tie lsu auburn auburn best overall design looks fitting era fcs shoutout best look school harvard crimson creams insanely gorgeous,[],"['kentucky2', 'governorscup']",acc florida big 10 illinois big 12 tcu pac 12 colorado sec kentucky
177rgmq,k4v097k,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",doesnt qb touch ball legal play anything else false start right
177rgmq,k4vf52x,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",think int enough overturn
15q1cwp,jw1ybim,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['kentucky2', 'governorscup']",2012 team absolutely hopeless lost 497 48 arkansas team good losing 400 home vandy doesnt happen youre awful team weirdly played uga close though case good stretch richt era
16d8tr1,jzqoqz1,cant seem buy brian kelly,watching lsu lose way florida gut punch brian kelly doesnt seem like edge need top tier head coach sec disrespect bk im sure right man lsu watching games back coached nd crucial moments team justyou knowfolded seems like bk era lsu bringing vibe curious see others think situation,['lsu'],"['kentucky2', 'governorscup']",really sucks went coach guy genuinely fun easy root seemed fit louisiana kelly opposite things
17807ox,k4x94nq,kansas tech 700,kansas tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 odds spread ttu 1 overunder 565 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",feels like every time look phone tech throwing another pick
16apjlo,jz9ujtl,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['kentucky', 'governorscup']",kentucky fan magic never existed lifetime lol basketball 2018 season finished 2611 1 overall seed lost first time ever bracket fell together perfectly easy path final four team lose kansas sweet sixteen front effectively home crowd
1621ag8,jxv3v3o,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kentucky', 'governorscup']",2 receivers area dont 1
1621ag8,jxv407d,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kentucky2', 'governorscup']",standing soapbox see play multiple sports baseball players know exactly
1621ag8,jxv7gu4,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kentucky2', 'governorscup']",dont know navys new coach top head salty old captain look
1621ag8,jxv8app,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kentucky2', 'governorscup']",wait ian books last season notre dame three years ago
1621ag8,jxvcjrb,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kentucky2', 'governorscup']",rate notre dames going hit ou
1621ag8,jxvff7w,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['kentucky2', 'governorscup']",course wouldnt season without soulcrushing story sick child
16ec7rw,jzusd6o,eku kentucky 300,location kroger time 300 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'michiganstate']","['kentucky', 'governorscup']",id like us good start g5 fcs team
16ec7rw,jzuwghm,eku kentucky 300,location kroger time 300 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'michiganstate']","['kentucky', 'governorscup']",could stop shooting foot
16ec7rw,jzv2nbm,eku kentucky 300,location kroger time 300 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'michiganstate']","['kentucky', 'governorscup']",first half analysis penalties drops right blocked punt false start hold negated 20 yard davis run another hold took away 1st right pick brown key combined 5 6 drops 3 3rd also inability generate explosive plays huge problem
16ec7rw,jzve82r,eku kentucky 300,location kroger time 300 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'michiganstate']","['kentucky', 'governorscup']",took 7 quarters liam coen bag right
16ec7rw,jzvepn3,eku kentucky 300,location kroger time 300 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'michiganstate']","['kentucky2', 'governorscup']",offense finally got shit together defense however huge disappointment whole
191mhz7,kgxn1fp,said ill say national championship shouldnt kicking damn late anymore,take work tomorrow able watch whole damn tonight least bump hour us people go work morning get reasonable amount sleep,"['auburn2', 'florida']","['kentucky', 'governorscup']",730pm est isnt bad real problems day week commercial bloat
16e7v2e,jzv47an,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['louisville', 'governorscup']",suggestions wank one restarts
16e7uty,jzu1vpo,ball 1200,ball location georgiafgeorgia sanford time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['arkansas2', 'rcfb']","['kentucky2', 'governorscup']",ball player return whiffed tackle hard ive ever seen
16e7uty,jzu41er,ball 1200,ball location georgiafgeorgia sanford time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['arkansas2', 'rcfb']","['kentucky2', 'governorscup']",last guy wasnt even looking make tackle wanted ride human wave pile
15ry50a,jwdicuc,unpopular prediction 2023 involving team,made two award winning threads last year two years ago asking question probably yearly tradition point mine none new big 12 teams winning record conference play year despite people think bounce back year kansas goes back kansas misses bowl tennessee regresses losing 3 games regular season,"['auburn', 'uwf']","['kentucky', 'governorscup']",tennessee sucked suck continue suck amen
16k5rz7,k0ukv1b,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['kentucky', 'governorscup']",didnt expect crying betty peggy
169aftq,jz0xvcz,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",honestly thought hed managed dent bench way slid
169aftq,jz18zkg,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",way golden bachelor interesting throw one ig model early 20s
169aftq,jz1d2qu,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",way wouldve cooler hed thrown end zone tackle
169aftq,jz1jed1,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",somebody tell goal get past yellow line 4th might help
1638uhj,jy1fdyg,colorado good scale 15,1 absolute garbage 2 win maybe two games lackluster performance 3 win games mediocre best 4 win 5 6 games better anticipated 5 actually really good shocking cfb world answer opinion comments,"['oregon', 'georgefox']","['kentucky2', 'governorscup']",2 schedule tough concerns strength trenches deions ability coach well short timeframe
15h82l2,juoozj8,objectively bad call benefitted team,complain bad calls hurt team sometimes difference win loss championship line statistically speaking similar number calls help favorite team bad call helped team ill go first ohio 2ot win penn 2014 bad officiating go way couple times egregious vonn bell interception clearly touched ground upheld interception early ohio score td afterward tight crazy say might meaning dont even sniff playoff championship play season saved faulty replay equipment lmao,"['ohiostate2', 'utah']","['kentucky2', 'governorscup']",roughing kicker got mizzou last season within letter law time would pissed tiger fan
168fxcn,jywi681,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['kentucky2', 'governorscup']",best day happens 1149pm wyoming go figure
168fxcn,jywnzme,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['kentucky2', 'governorscup']",reference tech 40 talent according 247 sports talent composite wyoming 123
168fxcn,jywo3vt,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['kentucky2', 'governorscup']",also thats weak play 4th dime
182v9ux,kalm29g,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky', 'governorscup']",asking much run ball 3 8
182v9ux,kalvucj,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kentucky2', 'governorscup']",trash im 110
1684owx,jytosy3,ball kentucky 1200,ball location kroger time 1200 watch tv sec networklsecn odds spread uk 265 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['lsu', 'checkbox']","['kentucky2', 'governorscup']",silver walker potential unfair put together
