post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxy6ri,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",fucking crazy alltime mismanagement collapse washington wins
16ecz62,jzvndqs,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michiganstate', 'greatwest']",third string receiver really wanted clock late catch could score haha
1621ag8,jxvov1x,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['michiganstate', 'greatwest']",nd shady recruiting practices get hartman right like contacted nil deals officially portal
1835er3,kana1m4,penn 730,penn location ford time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",lmao guy stands yelling go blue every 15 seconds good buddy
16z2cw9,k3cmb2d,people 12 team playoff,maybe im biased penn fan whose team would made 59 12 team playoffs far existed great way let teams get redeeming shot one two closequality losses youre best 4 teams still get bye road 4 team nfl less fun playoffs college basketball absolutely sport dont see downsides gives clear path 8 good compete still lets top 4 teams better chance getting championship,"['maryland', 'pennstate']","['michiganstate', 'greatwest']",allowing redeeming shot much taking away importance every single right osu cannot lose maryland weekend season basically least zero margin error 12team playoff osu lose maryland weekend still concerns missing playoff even drop penn later season thats difference makes cfb exciting nfl currently
17sxef4,k8tu7pj,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",mccarthy 8 pass attempts far seems like hes heisman candidate think utilizing right
17sxef4,k8tunpy,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",penn threw away wtf literally zero chance winning horrible horrible call
17sxef4,k8twqdf,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",clock running 1st definitely looked like got bounds
17sxef4,k8tx3bn,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",franklin idiot youre 15 save 2pt conversion second touchdown stupid
17sxef4,k8txhju,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",stupid decisions around franklin two 2pt conversion attempts dont need going 4th 30 couldve easily punted basically signaling youre giving dont make x200b horrible coach
1684osx,jyu4s9p,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['michiganstate', 'greatwest']",fox realitygame shows getting awfully close cable
17y9i5h,k9t0iyv,maryland 1200,location secu time 1200 watch tv foxlfox odds spread mich 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",maryland honestly take safety trust defense make stop theres enough time left risk defensive touchdown high
17y9i5h,k9t1gxd,maryland 1200,location secu time 1200 watch tv foxlfox odds spread mich 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",know corum gonna get first never fun watching
16kgis7,k0wqd9d,washington 500,location spartan time 500 watch tv peacocklpeacock odds spread wash 115 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",pull starters half defense improve
183mtar,kapykno,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",funny based first two drives going fg attempt havent 6yds drive yet
183mtar,kapys7n,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michiganstate', 'greatwest']",refs giving corum lot time fight end zone blow dead smh
