post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17esjzd,k65hq61,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['michigan', 'grinnell']",buying tickets name absolutely hilarious nice rooting good team recently welp
183u9y1,karfnwg,axelrod youre still defending ryan days tenure ohio thats totally fine value wins northwestern maryland rivalry,nan,"['southcarolina', 'williammary']","['michigan', 'grinnell']",see osu twitter people laying everyone shitting mccord demanding day fired feel bad mccord stupid decisions also damn good throws kept insanity hope osu fires day falls mediocrity knowing wont
17sxef4,k8tuw4j,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",yeah id lying said didnt feel good lol
189go15,kbrun1k,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",could get every contested call wouldnt matter offense bad genuinely feel bad fans deal nepotism bullshit long
189go15,kbs040k,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",think archie would way dont know rivalry
191zla4,kh0747a,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",think theyre going call targeting obviously didnt mean feel kid hes
191zla4,kh089bm,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",man dont even care shit gets vacated win season stallions signs deal wins bama osu penn natty
191zla4,kh08moc,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",gatorade vodka think made harbs drunk
17y9i5h,k9t16b4,maryland 1200,location secu time 1200 watch tv foxlfox odds spread mich 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",think right call threw dirt straight pocket receiver wasnt coming back route say genuinely think maryland better team penn lol
1925pm7,kh08wk4,postgame defeats washington 3413,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['michigan', 'grinnell']",ncaa hadnt leaked anything would still quiet investigation likelihood punishment future would probably higher leaked galvanized team asterisk wins osu psu bama washington team legit
183mtar,kaqij22,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",always great cut somber images kids worried teammate discover card commercials
18u1f6v,kfihzpu,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grinnell']",seeing amount shit osu twitter idiots mccord makes lot sweeter
