post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxg14c,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",ohio fans would say dont need straight camera angle line determine whether one smh
16ecz62,jzvgyyc,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'grovecity']",glad looks like hes okay thought broke arm something first
16a07so,jz7sb42,college massive commercial problem,nan,"['rose', 'bigten']",['grovecity'],hear starbucks drinking violin playing fuck one time im never buying shit
169aftq,jz1f3ik,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['grovecity'],one missed pick commercials end time im watching review thats completely unacceptable
17debjw,k5whdsm,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",guy rnfldraft saying mccarthy undraftable earlier week lol
17debjw,k5wtlhr,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",hey least 58 didnt anything bad enough warrant criminal charges
17debjw,k5wufgn,730,location spartan time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",doesnt matter blowout msu cant burn timeout couldve almost snapped ball without play call picked first
16q6owk,k1vbzzj,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",maybe hand blake corum drive
16q6owk,k1vkgd6,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",steve stribling looks sounds like filming hostage ransom video
16q6owk,k1vklpe,rutgers 1200,location time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",might gotten first definitely got closer spotted
172iula,k3xghvz,minnesota 730,location huntington bank time 730 watch tv nbclnbc peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",honestly annoying part might nbc takes chance shove commercials throat
16kk406,k0x86zu,bowling green 730,bowling green location time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",allstate good defenders facemask bobble catch play
17sxef4,k8sqt7i,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",question penn fans hot franklins seat get cant win top 10 matchup team coached coordinator
17sxef4,k8tcsb6,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",maybe next year grad assistant coach see james franklin win
17sxef4,k8tuuco,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",james franklin cant even beat team home missing head coach
16knfug,k0xviy3,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['grovecity', 'michiganstate']",cant catch cant defend cant kick bad bad night cu
189it1b,kbu4gww,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['michigan', 'grovecity']",guys guys guys espns analysts insist team conference espn pays much money totally deserved last spot totally unbiased
189go15,kbrbxbl,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",guy chased whole good hustle
189go15,kbrei0x,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",im grocery store im got milk sacked mason graham dairy aisle
18w0xqp,kfvdqtk,fiesta bowl liberty 100,location farm time 100 watch tv espnlespn odds spread ore 18 overunder 685 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['grovecity', 'michiganstate']",1014 point swing absolutely paid refs
17d92g6,k5vmlp8,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['maryland', 'grovecity']",downfall belichick saban really signaling new era american
191zla4,kgzhtuf,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",saw comment washington fan earlier week washington bring safety box defend run fan replied thats osu last year dont remember kudos two whoever predicting entire first quarter
183mtar,kapmsmw,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",boy cant put words much simultaneously love hate stress excitement week leading glad finally
183mtar,kaq0y8q,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",ryan day going phone agent halftime cal
183mtar,kaqrsd7,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['maryland', 'grovecity']",think could michigans 1000th win lost last week
189ygiv,kbugewq,booger mcfarlands live reaction complete travesty sport go play regardless whether win offense defense name win thats reason never done 130 p5 champ,continued understand style points best matchups one team loss one doesnt florida kids went every week busted behinds moment,"['michigan', 'fau']",['grovecity'],thought chance happened didnt think theyd balls worst case thought would jump theyd play first round
17yfo4q,k9t3clz,postgame defeats maryland 3124,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['michigan', 'grovecity']",yall forgotten illinois last year happened week shows
17nxe0b,k7v42u8,purdue 730,location time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",cant remember last time saw double personal foul like thats two games row happened
18wvx5y,kg0rgzw,reportedly wanted embarrass florida orange bowl,nan,['georgia'],['grovecity'],think fsu also wanted embarrassed really win win
189brft,kbqm4ik,400,location mercedesbenz time 400 watch tv cbslcbs odds spread uga 5 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",loser inherit winners college debt would true capitalism play
189brft,kbr0naa,400,location mercedesbenz time 400 watch tv cbslcbs odds spread uga 5 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",taking page general shermans book marching
16e7v1g,jzty7bf,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['grovecity', 'michiganstate']",welp nebraska refs show youre winning matter fun headshots shadeur
16e7v1g,jztz67z,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['grovecity', 'michiganstate']",hope every nebraska fan defending piece shit linemen would okay getting hit head like slid glad wasnt ejected let alone even penalized
16e7v1g,jzu7n5h,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['michigan', 'grovecity']",guy slather hands butter every nebraska really options guy puts turf much good grief
16e7v1g,jzu96gz,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['michigan', 'grovecity']",half nebraskas defense visible receiver colorado yet wide open
17t2tw4,k8u22jt,postgame defeats penn 2415,box score provided team 1 2 3 4 penn made rcfb,['rcfb'],"['michigan', 'grovecity']",underrated element win dont root maryland nebraska purdue anymore case b1g east comes last tiebreaker
1684oqg,jytt0lj,ecu 1200,ecufecuecu location time 1200 watch tv peacocklpeacock odds spread mich 36 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['westernmichigan', 'michigan']","['michigan', 'grovecity']",would take make illegal college announcers compare qb josh allen
189go22,kbrypb4,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['maryland', 'grovecity']",shoutout like guy sub fsu top four beginning season
167kgks,jyqt1km,central 700,central location spartan time 700 watch tv fox sports 1lfs1 odds spread msu 145 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['umass', 'michiganstate']","['michigan', 'grovecity']",amount clapping mel tucker giving ptsd brady hoke years
167kgks,jyqtz2i,central 700,central location spartan time 700 watch tv fox sports 1lfs1 odds spread msu 145 overunder 475 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['umass', 'michiganstate']","['michigan', 'grovecity']",unrelated design top msus helmet spartangreek inspired thats pretty sweet
17d92jq,k5w8rzp,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",announcers say incomplete passes didnt stop clock prior year
17d92jq,k5w95nv,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'grovecity']",baryshnikov reference makes saying rule change makes clock stop incomplete passes season
