post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qd8l6,k1w8yxf,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['ncstate', 'guilford']",cant wait see dabo manages postgame defending qb making read point
16kehex,k0w9rs3,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['guilford', 'virginiatech']",probably tied even leading dont dropped balls
16kehex,k0wbkz9,virginia tech rutgers 330,virginia tech location rutgersfrutgers shi time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['guilford', 'virginiatech']",casual clock defense gassed let go quarter
172dat6,k3wqfh8,virginia tech florida 330,virginia tech florida location florida doak campbell time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['guilford', 'virginiatech']",bullshit play full speed say chance stop
168gmpf,jyvtl57,old dominion virginia tech 800,old dominion virginia tech location virginia lane time 800 watch tv acc networklaccn odds spread vt 16 overunder 480 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['olddominion', 'myrtlebeach']","['guilford', 'virginiatech']",fucking love slant routes think requirement hate oc
16e7v2e,jzvoyxv,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",whole time saying kick goal happy wrong
16e7v2e,jzw01l0,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",running middle someone crunch numbers much success weve avg 3 yards attempt id flabbergasted
16e7v2e,jzw0s9h,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",see penalty please want see fucked drive
16e7v2e,jzw1t6x,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",fucked dicked around offense going throw away
16e7v2e,jzw31hy,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",last time offense pulse coastal
16e7v2e,jzw383m,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",never want see fans smiling cameras losing
16e7v2e,jzw56f7,purdue virginia tech 1200,virginia tech location virginia lane time 1200 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['virginiatech'],"['guilford', 'virginiatech']",definitely dont know pass interference looks like anymore looked like
183rg2e,kaqqsk7,virginia tech virginia 330,virginia tech location scott time 330 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['guilford', 'virginiatech']",wow fold team uva sell
16knfug,k0y0wzl,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['guilford', 'virginiatech']",ou amount shallow cross routes see possession
176it07,k4nbvfp,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['westvirginia2', 'guilford']",commentators faith offense
