post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
168o9xp,jz1oeyb,chip kelly espn halftime new rules crazy four drives first half hope guys selling lot commercials,,"['michigan', 'fau']","['iowa', 'gustavusadolphus']",iowas day experience actually improved quite bit recent years however wife commenting stadiums scoreboard gets worse worse year like madden used lot stats large enough read scores games going around country ads okay fine except removed half stats past weekend couldnt get clock score show 3 quarters
17yelku,k9t4yi4,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gustavusadolphus']",really sure im subjecting watching
17yelku,k9t4zos,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gustavusadolphus']",ball get tipped second athan really dribble throw
17yelku,k9t7gck,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['minnesota', 'gustavusadolphus']",pj 100 trying run clock keep 80 cause defense sure hell cant
182v9ux,kam41o1,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'gustavusadolphus']",hope kaleb brown good go next week offense struggled even worse without
17df8ox,k5wbm40,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['minnesota', 'gustavusadolphus']",apologize second win kinnick lifetime im 26 getting hammered tonight row fucking boat
16eiww4,jzwbl9t,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'gustavusadolphus']",red zone playcalling mind numbingly bad boring shit boot
16eiww4,jzweumt,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'gustavusadolphus']",wonder pj put drive together takes full 1530 know wants
16eiww4,jzwfzsa,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'gustavusadolphus']",fumble ball break foot john brown hind parts run mile
16eiww4,jzwjyaq,eastern minnesota 730,eastern location huntington bank time 730 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['minnesota', 'grandvalleystate']","['minnesota', 'gustavusadolphus']",lmao olson still cant help say talking gophers
