post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
169aftq,jz0u37g,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",good first 2 plays every play complete garbage
169aftq,jz0wvpo,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",celsius ad might fat floppy dick waving face advertising ridiculous point mention commercials wtf
169aftq,jz136sn,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",think kelly may learned something cute first drive
169aftq,jz1557b,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",coleman opelousas la turned kin us
169aftq,jz17rr6,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",anytime hear people call brain kelly bk think dane cook yelling cant hear bk broiler
16knfug,k0xvaeb,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",ok weve mocking deon td dance get hingle mccringleberry 3 pumps
16knfug,k0xxxeo,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",whats horn pulls cell phone uprights
16knfug,k0y0d74,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['lsu', 'hammer']",heres ads inside ads like call itadception
168f6us,jywadha,baylor 700,location baylorfbaylor mclane time 700 watch tv big 12lbig12 odds spread bay 265 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['louisiana', 'hirosaki']","['lsu', 'hammer']",longest last 3 minutes ever played
183wpk5,kasi6le,clemson south carolina 730,south carolina location south williamsbrice time 730 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'hammer']",took gamecock logo c
