post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
184dt9f,kauistk,complain team,vent friendly place,['rcfb'],"['indiana2', 'hanover']",likely fuck coaching search iu
17d4he4,k5uw3ni,rutgers indiana 1200,location indianafindiana memorial bloomington time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",dont know rutgers one person end zone play
16ql0uy,k1yadxq,california washington 1030,location husky time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'hanover']",penix looking like top pick material ability push ball highly valuable
194hc7d,khi47ei,sources ncaa levy significant penalties florida nil recruiting violations,nan,"['miami', 'tft']","['indiana', 'hanover']",wonder much college know left another decade wild ass shit
16k9n6x,k0uztv2,indiana louisville 1200,location lucas oil time 1200 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",fuck team fuck coach fuuuuuck offensive coordinator fuck program fuck athletic department importantly fuck ever believing team could ever anything joke
177rgng,k4vp30z,indiana 1200,location time 1200 watch tv foxlfox odds spread mich 335 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",every week sweet release death cant come soon enough
16knfug,k0y0szz,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'hanover']",every single play sanders seems buy every last millisecond throwing uncanny along accuracy makes one hell qb hes gonna great pro
16qbmz1,k1wo3m7,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana', 'hanover']",seeing stunning colorado first 3 think lack run really exposed offense gonna find way run ball want bowl eligible seems scouted planned perfectly clearly absolutely respect colorado given faked punt 17 already 13
189lpo8,kbs41pz,postgame defeats 260,box score provided team 1 2 3 4 iowafiowa00000 made rcfb,['rcfb'],"['indiana', 'hanover']",genuinely sad defensive players theyre playoff caliber unit even top 80 offense would right home top 5
16w91w6,k2w0yhn,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",cuse know dont need score td every play
16w91w6,k2w1pr4,clemson syracuse 1200,location jma wireless dome time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",awful coaching dino half iu fan know bad coaching
168z6rx,jyyhgrb,complain team,vent friendly place,['rcfb'],"['indiana2', 'hanover']",average qb would bowl team defense improved really good skill players doesnt matter dont reliable qb
1689xu6,jyvcrep,ohio indiana 330,ohio location indianafindiana memorial bloomington time 330 watch tv cbslcbs odds spread osu 30 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['indiana2', 'hanover']",ok go got em right want em
1689xu6,jyvdney,ohio indiana 330,ohio location indianafindiana memorial bloomington time 330 watch tv cbslcbs odds spread osu 30 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['indiana2', 'hanover']",guess one good thing shitty wont good enough cbs wont listen clown commentators
16we4kk,k2wpfgy,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",somebody kind remind allens buyout goes big time
16we4kk,k2wro6x,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",iu fans dont even ask much would like bowl team one detroit dont care dont even win bowl asking much yet continue embarrassment
16we4kk,k2wvzoy,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",im biased really think bad spot
16we4kk,k2ww85c,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",words walt bell reason drink
16we4kk,k2wxkd3,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",cheer washington huskies hanover panthers point clean house
16we4kk,k2wzcgx,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",ive see mentioned times thought id share fun fact iu actually block helmet first illinois used 1967 illinois didnt start 2012 agree though associate illinois
16we4kk,k2x1yud,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",ok fun iu somehow allen year know likely would go say bring randleel home hes part lions resurgence one notable alumni coaching
16we4kk,k2x55ai,indiana maryland 330,location secu time 330 watch tv big ten networklbtn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",colts kind fun least dont think necessarily good im completely miserable watching
16wnezr,k2ydt79,washington arizona 1000,location arizonafarizona arizona time 1000 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indiana2', 'hanover']",penix heisman dont think particularly close
