post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172jjq9,k3xh032,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'goldenscrewdriver']",sjsu underrated boise overrated another 2nd half collapse
172jjq9,k3xu64c,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'goldenscrewdriver']",lol sjsu blowing another 1st half lead chargers mountain west
16ei5hq,jzvsgmc,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'hawaii']",white burnt orange colors helmets unis different
16ei5hq,jzw4o1o,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hawaii']",bamas offense going worse version bama hurts offense
16ei5hq,jzw9ov3,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'aloha']",think yeti gear overkill like 5060 people use pull people like fishermen equation prolly edges 75
16ei5hq,jzwg9n8,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'hawaii']",refs cant let saban lose home nonsec team
16ei5hq,jzwhsmn,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'hawaii']",hate teams hate jeez heart beating fast
16ei5hq,jzwjfea,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'hawaii']",switching back forth like tech good
16ei5hq,jzwjvs6,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'hawaii']",made fun first learned theyd join sec look
16ei5hq,jzwkurg,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'hawaii']",wanted say air maxs staff wearing fire great isnt done season us tennessee fans know never count bama
16qd8l6,k1w8urz,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['hawaii', 'ohiostate3']",duke ranked 3 beat clemson harder fsu
172dawp,k3w6mg6,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'hawaii']",deacon hill great uncle rico impressions far throwing many mountains
172dawp,k3wwxqk,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'hawaii']",emotion ive seen kirk 5 years
172i5sr,k3x9sfx,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['georgia', 'hawaii']",review board refs two drive saving penalties pulled hat
18wbuu4,kfxos54,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'oregon']",kind feel like people owe apology criticism got losing washington 3 points twice washington team handling isnt blowout muffed punt
18wbuu4,kfxpbeg,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['hawaii', 'oregon']",wonder games end midnight est 12 team playoff
18wbuu4,kfxs5ra,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['hawaii'],past passes probably cost penix draft spot two
18wbuu4,kfxsg28,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['hawaii'],refs absolutely idea blow play dead
18wbuu4,kfxuth7,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['hawaii'],love odunze sounds like odoomsday announcers say
16ecz62,jzv017x,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'hawaii']",new clock rule much easy money games always gonna hit
