post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qbmww,k1weylr,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['olemiss', 'hillsdale']",triple devil dog dare refs throw flag bama holding
1728e91,k3v88t7,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",remember time got onside kick maryland winning 210 first quarter good times good times
1728e91,k3vdn1w,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",blocked punt end zone td
1728e91,k3vdzm9,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",maryland winwont first team reach bowl eligibility
1728e91,k3ve90n,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",50 reason lot work
1728e91,k3vm8z9,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",got time score offense get going
1728e91,k3vnaqq,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",win win matter close thats im telling team half coaches lol
1728e91,k3w5ogp,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",im gonna laugh maryland scores last second score ruins cover
18uo86j,kfm5njo,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan4', 'hillsdale']",tuned thought shit fsu talked would putting better fight wrong
177rgmq,k4uve8a,vanderbilt 1200,location firstbank time 1200 watch tv cbslcbs odds spread uga 315 overunder 570 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",feel bad slaughtering happen vanderbilt
16k9n25,k0uy4mn,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",welp good boston college fun lasted
16k9n25,k0uzn0u,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'hillsdale']",high school near almost exact replica eagle logo bc eagle logo lol
