post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
183w2c9,kasc9xq,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",heard desmond watson went restaurant ate everything restaurant close restaurant
183w2c9,kasflw9,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",fsu fans complaining roughing passer call first stop bitching calls going way hot pile horse shit
189go15,kbrhoku,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'hobart']",think would rather iowas offense fielddamn hawkeye defense hits people
189go15,kbrk8dc,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'hobart']",feel dr pepper scholarship challenge halftime going 10
17d92g6,k5w8x92,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",live look lads trying cigars first time lives
191zla4,kgzhfyn,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",wow found gap ran thanks insightful analysis kirk
191zla4,kgzhmfg,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",uw score drive
17t727w,k8vdgce,florida lsu 730,lsuflsulsu location lsuflsu tiger la time 730 watch tv sec networklsecn odds spread lsu 135 overunder 635 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",hate espns score alert graphic looks like flag thrown
17t727w,k8vrq9q,florida lsu 730,lsuflsulsu location lsuflsu tiger la time 730 watch tv sec networklsecn odds spread lsu 135 overunder 635 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",welp call see next week
17t727w,k8vsqz3,florida lsu 730,lsuflsulsu location lsuflsu tiger la time 730 watch tv sec networklsecn odds spread lsu 135 overunder 635 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",three hours theres still entire quarter left
183mtar,kaqroi9,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",crazy maybe hit ground saying id like another look theyre showing
177vtws,k4w36k0,florida south carolina 330,south carolina location south williamsbrice time 330 watch tv sec networklsecn odds spread sc 2 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",traveling back time hammer
177vtws,k4wlfz9,florida south carolina 330,south carolina location south williamsbrice time 330 watch tv sec networklsecn odds spread sc 2 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",obviously im biased one seems little suspect rattler still throwing motion hit
16kjdlb,k0x6jmf,tennessee florida 700,location floridafflorida ben hill griffin time 700 watch tv espnlespn odds spread tenn 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",tebows part heisman house commercial makes sense says keep naptime hes filling kiddie pool presumably albert albert standing wide awake hes napping boy hope somebody got fired blunder
17ijw7o,k6v8y2v,florida 330,location everbank time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",dont argue mark either gets doesnt called first inconclusive go ruling
17ijw7o,k6vf7cv,florida 330,location everbank time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida2', 'hobart']",blatant pi drive need call though refs besties
