post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxfubs,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['morehouse', 'howard']",guess hope washington wins 2 undefeated teams playing natty makes sense last team left standing losses king hill
183rfxa,karg4y8,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'howard']",cant team heard ranked
183rfxa,karowvn,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'howard']",richard shermans reaction russ interception super bowl exactly reaction ending
183s3df,kart44s,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'howard']",simply burned amount dumb decisions today college
15mriw8,jvixynx,twittercom brettmcmurphy notre dame acc member sports pushing hard acc add stanford cal larrywilliamsti reports,nan,"['vanderbilt', 'middletennessee']","['ncstate', 'howard']",well maybe full member could say
183xb5l,karszgs,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'howard']",watching survivor series time going rollercoaster
183xb5l,kas5jtl,north carolina nc 800,north carolina nc statefncstatenc location nc statefncstate carterfinley time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'howard']",throw money kc get stay
183xgmh,karp7u9,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['ncstate', 'howard']",giving touchdown 4th goal 31 get someone fired immediately whether head coach defensive coordinator
16knfug,k0xgddf,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",bro offset wearing clothes kai ave stream
16knfug,k0xrjh0,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",damn hear csu kicker married wit 3 kids
16knfug,k0xzfvg,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",crazy sounds csu deserves lose
16knfug,k0y1174,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",buffs knew stop shallow cross woulda lol
1684osx,jyui92v,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['howard', 'cincinnati']",people really projected colorado team win 3 games season lol
183mtar,kaq0tjj,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",kyle mccord would selling toyotas wasnt mhj
183mtar,kaq4bdz,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",aint way u overturn imo knows
183mtar,kaq8yqp,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",review take long lol seemed pretty obvious catch 1 replay
16qbmz1,k1wi5i1,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['howard', 'cincinnati']",thats dont wear chains iced watches sunglasses really aint shit
16a716p,jz61tbu,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['howard', 'memphis']",gotta get tds youre close want upset
16a716p,jz66nl6,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['howard', 'memphis']",like smh cant settle fgs youre underdog
16a716p,jz6mwzf,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['howard', 'memphis']",even tho im rooting duke dont like rule applied either way cant slide situation line evens eyes
183y8ws,karugaj,postgame washington defeats washington 2421,box score provided team 1 2 3 4 washington made rcfb,['rcfb'],"['ncstate', 'howard']",robbed three upsets due poor decision making
16z73tr,k3d0qu0,per berniefratto according reports urban meyer interview states head coaching position lot donors back type deal well see goes,posted college report x,"['ohiostate', 'tcu']","['ncstate', 'howard']",holy fuck kind terrible iq athletic department
