post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxc35n,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",washington letting right back almost breaking open course lol
18wbuu4,kfxcv1c,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",washington wins sell merch reversible mw
18wbuu4,kfxy1o9,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",reminder 4th conversion washington took instead fg coming back potentially haunt always take points people
160cmsh,jxm90es,inconference teams generally root favorite team,western fan acc answers would syracuse pittsburgh theyve conference foes ever since kid ive gained soft spot old big east especially basketball digress conference usa harder nail since five nine teams returning may bit cheat ill give nod former conference foes marshall uab love history behind marshall seeing uabs program rise ashes team 20142017,[],"['fresnostate', 'humboldtstate']",since im fresno fan mwc still g5 root everyone conference kick ass especially p5 schools conference tend cheer wyoming colorado since buddy lives cheyenne schools 50 minutes makes going mwc games convenient since schools close air force isnt far either
177dn6h,k4t6sa5,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",take sack right stanford dont mess
191zla4,kgzjrf2,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",kickers definitely bet closest miss tonight
191zla4,kgzpqti,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",lesson getting aggressive need
177vtsq,k4wqkkg,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",hoping another pac 12 ot man great either way
17dhxtg,k5xl45o,arizona washington 1030,arizona location husky time 1030 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['humboldtstate', 'usc']",could 4 point lead defense thats stopped uw night good job asu
15wayts,jx1gpnz,2 favorite teams would 2 play,2 favorite teams cincinnati met 2017 smoked bearcats 3614,[],"['fresnostate', 'humboldtstate']",flair teams played back like 1960s humboldt since fresno become d1 school humboldt doesnt even team anymore cut 2018 im pretty sure 2 favorites never play lol
