post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172jjq9,k3y0otw,san jos boise 800,san jos jos boise location boise albertsons time 800 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",fucking proud even avalos needs go really bad dont care want wins today work noticed lot customers unsure us winning happy see wanted support regardless think crowd huge players needed build confidence wow didnt really see end second quarter knew could come back know future games gonna leave angry hell ill take
16ei5hq,jzvwxoo,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",sometimes laugh holds get away
16ei5hq,jzvzmj6,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",man really overdue 3 loss bama season
16ei5hq,jzwc9b1,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",bullshit ruling going favor wow could guessed
16ei5hq,jzwfjmd,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",media rock hard rn simultaneously writing back fall
16ei5hq,jzwha6h,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],absolute home cooking many holds bama got away
16ei5hq,jzwhjav,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],ewers looks lot better compared saw last year
18wbuu4,kfxbmcy,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],momentum world chance really pull away
18wbuu4,kfxruwe,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['idaho', 'washington2']",okay good recovered fumble gods sake tackle
18wbuu4,kfxrzre,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],good season shame losing huskies team
18wbuu4,kfxs2kc,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'idaho']",nfl thats far chuck penalty
18wbuu4,kfxs4j9,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['idaho', 'washington2']",trying get cute flea flicker would gone horribly awry
18wbuu4,kfxuoc3,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],throw drive try ice
18wbuu4,kfxur8n,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['idaho', 'washington2']",okay fg would make harder nice
18wbuu4,kfxx7vz,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],huskies wtf would biggest choke ive watched live guys
18wbuu4,kfxy3gq,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],good matchup michigans
15ixvfm,jv4dzuk,realignment discussion,discuss thoughts things related conference realignment,['rcfb'],['idaho'],think retaliation watch fcs fcs somehow thats left 1
16e7uwk,jzu6obt,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['idaho', 'meteor']",tuned weather delay early halftime
17o0i2t,k7vx0yn,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",uhhh maybe missed wasnt even close kidding
17o0i2t,k7vxjav,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",bro im sorry like would prob lose regardless hell fresno get first literally knew theyd score handed like shit blatantly behind line regardless tackling im gonna make statement refs cause tuned late jeez far behind line idk even debate
17o0i2t,k7vyr3x,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",theyre gonna crush soul fourth least something
17o0i2t,k7w0zh1,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",wow missed trick plays oh god ill give credit time lol
17o0i2t,k7w46vo,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",wait wack throws dont get
17o0i2t,k7w4d3e,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",lose dont care glad tried said gooooo broncos
17o0i2t,k7w55xx,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",wow already prepared defeat holy shit atrocoius
17o0i2t,k7w5olc,boise fresno 1000,boise fresno location fresno bulldog ca time 1000 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",gg fresno notice lot hostile facebook lol
183rfxa,karit59,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['boisestate', 'idaho']",good call way tell catch
16qbmww,k1wqox2,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],winnable ole miss bama years theyve gonna blow
16qbmww,k1wr19b,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['idaho'],horrible loss gonna ole miss bama
