post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzu0tvj,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indep']",offense super inefficient far hoping pick get comfortable drive couldve 7
16e7uwk,jzuslny,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indep']",sam hartman getting ball back less 2 minutes half name better combo
16e7uwk,jzutxkz,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indep']",acc officiating bad nc people cool fuck without assholes please
16e7uwk,jzv2hdt,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indep']",lets squander opportunity put away 7
18w6kt1,kfw0niz,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan4', 'indep']",nick saban uses bronzing product hair skin
18w6kt1,kfw76ne,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan4', 'indep']",win stop fucking
1621ag8,jxvbs3v,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame2', 'indep']",know ireland drinking go hand hand im camera guy much guinness today
169aftq,jz15p0a,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indep']",plays fucking saxophone guys talent
169aftq,jz16usm,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indep']",get timeout get timeout everyone gets timeout
17ijw8e,k6v6ma0,pittsburgh notre dame 330,notre dame location notre damefnotredame notre dame time 330 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indep']",say thank goodness defense good
16wjz1a,k2xxpkk,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",come back half talk mom sucking
16wjz1a,k2y67ye,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",one hates booth reviews almost bad constant commercials
16wjz1a,k2y7sij,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",fire swarbrick tonight handpicked replacement good measure
16wjz1a,k2yah22,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",ok officially stop hearing dudes mom
16wjz1a,k2yau84,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",ok cool back soft defense works
16wjz1a,k2yb0t2,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",hate see player hurt text rileys mom going brutal
16knfug,k0y25ni,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indep']",im glad hype train still rolling crash back reality going hilarious
17d4h7c,k5v6nei,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indep']",bye week us im still getting secondhand anxiety watching shit
17debm7,k5x1wug,duke florida 730,dukefdukeduke florida location florida doak campbell time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['duke', 'indep']",wha stupid fucking way lose man thought id happy good go rails frustrating
172j2qi,k3xcmdn,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",know doesnt matter miss shade blue used darker blue way better current color
172j2qi,k3xnh3g,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame2', 'indep']",hiring rookie coaches matter much like maybe brilliant idea
