post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16z2cw9,k3ew6vn,people 12 team playoff,maybe im biased penn fan whose team would made 59 12 team playoffs far existed great way let teams get redeeming shot one two closequality losses youre best 4 teams still get bye road 4 team nfl less fun playoffs college basketball absolutely sport dont see downsides gives clear path 8 good compete still lets top 4 teams better chance getting championship,"['maryland', 'pennstate']","['independence', 'allamerican']",im fan single elimination bracket playoff sport relies upon transitive property doesnt crown best team season bad system determine champs
16ic04s,k0m4pze,anyone else annoyed much gambling infiltrated sports media,dont mean endless draftkings ads much illfated 911 promotions mean seems part normal sports media like podcasts listen analysis always seem ramble whether overunder steal articles websites past would spend half article breaking teams run defense talking games spreads notable,"['michigan3', 'american']","['independence', 'allamerican']",bet sub actually favor
15ifj30,jutwkpd,say something nice washington,embarrassed florida washington took jg hands,['tennessee'],"['independence', 'allamerican']",pullman amazing town naturally beautiful genuinely great american college town
189it1b,kbu1nht,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['duke', 'independence']",want watch good games watch another tcu semis
189it1b,kbu31bg,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['duke', 'independence']",want world blow gimme bama
16e3yqv,jzt9zhh,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['independence', 'allamerican']",sarkisian armenian name based appearance steve meercat family line
16e3yqv,jztb9lm,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['independence', 'allamerican']",im drinking beer per cutting edge medical research introducing probiotics digestive system
16e3yqv,jztc2r2,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['independence', 'allamerican']",sportcenter teaching us interact elderly family christmas
15i4lvq,juslhgw,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['independence', 'allamerican']",none us truly idea college going look like 2024
18v96sf,kfq15kf,im bit surprised subs response fsu optout situation team robbed chance win title burden continue entertaining system,awful know personally believe wins either way larger principle matters far tell bunch kids owe us additional entertainment physical sacrifice entire system told even perfection wasnt enough blows ass us love sport cannot fault kids cannot fault nil transfer portal fsus culture also wont compare years teams fewer optouts never situation like cfp era p5 team gone undefeated shafted weve heardargued month kids everything supposed cant pull rug surprised dont care,[],"['texasam', 'independence']",owe one anything people wrong disappointed team didnt want go try win prove committee wrong
