post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qmmcf,k1y8vqf,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['pennstate2', 'indianapa']",still dont know kind matt canada ass play call 4th 1 jet sweep
17u9orp,k95sc04,discussions hunt new coach terrifying prospect nearly every school college even slightly good,schools safe ones already level better etc everyone else clench power 2 schools probably little bit safer rest kalen deboer dan lanning could definitely go chasing massive payday theyve got pretty good thing going respective teams move big ten next year likely going ranking top 34 conference foreseeable future competition opportunities play national stage equal big ten sec theyre really leaving anything table since theyre already highest level well maybe except lot money big danger schools big 12 acc good coach mike norvell mike elko lance leipold sonny dykes could even list schools trying keep quiet hoping evil spirit passes theyve got really hope coaches content staying people saying 2nd tier college league think guys would actually stay kind opportunity course theres huge risk schools getting relegated jonathan smith list yeah hes guy resources paycheck offer enough turn anyone especially faced prospect going g5 better hoping urban meyer comes retirement saves nightmare going get coach want,"['texas', 'sec']","['pennstate2', 'indianapa']",guys wanna go 102 every year know someone could help could get low price entire 3rd world countrys gdp
15h82l2,jun0sfh,objectively bad call benefitted team,complain bad calls hurt team sometimes difference win loss championship line statistically speaking similar number calls help favorite team bad call helped team ill go first ohio 2ot win penn 2014 bad officiating go way couple times egregious vonn bell interception clearly touched ground upheld interception early ohio score td afterward tight crazy say might meaning dont even sniff playoff championship play season saved faulty replay equipment lmao,"['ohiostate2', 'utah']","['pennstate2', 'indianapa']",ohh mannn trying work psu fans already think big hates plots
18sfbqf,kf7g2oh,holiday bowl usc louisville 800,uscfuscusc location petco park time 800 watch tv foxlfox odds spread lou 65 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",im gonna start calling missed goals incomplete kinda like
16wjz1a,k2y6a52,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indianapa', 'notredame2']",got one dumbest rules sport
17sxef4,k8t8wte,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'indianapa']",counted two missed key missed tackles drive elsdon im even math guy
17sxef4,k8ts0ln,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'indianapa']",years gor penn playmaking wr
17sxef4,k8ts4og,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'indianapa']",years penn playmaking wr
17sxef4,k8tsbuc,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'indianapa']",ultimate cjf move nice drive score follow missed 2pt conversion earlier missed one bites end
16knfug,k0xa2kn,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",hype day start tomorrow
16knfug,k0xcwwu,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",respect fact deion gonna wear glasses even night
16knfug,k0xh8lt,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",8 penalties 88 yards less quarter crazy
16e7v7f,jzu2hhg,delaware penn 1200,penn location penn statefpennstate beaver time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['pennstate', 'brick']","['pennstate', 'indianapa']",elsdon stay damn gap easy tackle
16e7v7f,jzu367i,delaware penn 1200,penn location penn statefpennstate beaver time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['pennstate', 'brick']","['pennstate', 'indianapa']",1 total yards play people freaking one good play maybe calm little bit
16e7v7f,jzucdvn,delaware penn 1200,penn location penn statefpennstate beaver time 1200 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['pennstate', 'brick']","['pennstate', 'indianapa']",knowing franklin one series aller since get ball first backups turn
1659z6r,jydrqew,whats hardest hit youve ever seen person,title says whats hardest hit youve ever seen person includes dirty hits targeting ejections ill start baylor 2013 blackout thursday night kj morton sterling shepard,"['baylor', 'sickos']","['ucf', 'indianapa']",2013 william stanback running rutgers db anthony remember hear mics pick hearing collective oooh happened
172j2qi,k3xs8j3,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['indianapa', 'notredame2']",routes running wouldnt even gotten first dont get nd decisions
16w91ub,k2wk4b9,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",go hyper speed fucking decide go slow possible actually need
16w91ub,k2wkt0a,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",theyd still time didnt run gut 3 fuckin times
165rm7h,jyg60wr,honest still mentally team,go 2019 fiesta bowl clemson top controversial targeting fumble call wont even go one dagger probably took 10 years life arguably best osu team talent wise ive seen lifetime even make championship make argument 2015 team well dont know could beat insane lsu team hoping would play season barely came short however definitely made mistakes well shout trevor lawrence insane 67 yard run td,['ohiostate3'],"['ucf', 'indianapa']",ucf fan lives pittsburgh im still 2019 knights panthers knew gonna run trick play pissed leaving
189brft,kbr0t6u,400,location mercedesbenz time 400 watch tv cbslcbs odds spread uga 5 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'indianapa']",40 1 team cfp rankings wild
17qzpk1,k8gs1yl,ryan day says ohio share michigans signals purdue 2022 big ten championship,nan,"['ohiostate2', 'kansas']","['pennstate', 'indianapa']",nothing illegal sharing opponent signals opponents least sport coached attending games person banned sports ncaa
17t2tw4,k8u5ted,postgame defeats penn 2415,box score provided team 1 2 3 4 penn made rcfb,['rcfb'],"['pennstate2', 'indianapa']",much hate everything team right im least happy james franklin roller coaster experience ends 102 bowl year instead complete ass time frustration feels justified actually tons teams would kill stuck every year say probably going 84
15z2rv0,jxf1t27,teams embarrassing miserable worst result time,want answers,"['wichitastate', 'applecup']","['michigan', 'indianapa']",georgetown hoyas home since oct 19 2019
171qe8n,k3spug0,college team favored city,clemson obviously clemson back home charleston area would say 5050 split clemson south carolina kid carolina definitely popular clemson might take course ohio fans dont like think makes sick,['clemson'],"['ucf', 'indianapa']",grew orlando easy high school 15 years ago uf mostly fsu canes would say still uf 1 ucf passed canes probably evenly split fsu since large population live pittsburgh easily penn main team pitt would next followed wvu ohio
17d4h6j,k5vcp1p,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'indianapa']",amount marketing maserati gotten insane gus getting one free point
1728eb3,k3vdwjp,1200,location cotton bowl time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'indianapa']",70 actually see screen fire
