post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwg680,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indianastate']",bama want qb run better throw problems throwing ints put buchner
16e7uwk,jzu4bft,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indianastate']",hate delay coming right able move ball offense last time
16e7uwk,jzuqkso,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indianastate']",ignore guy hitting back play yeah
16e7uwk,jzuquji,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indianastate']",dont refs award points lets move jeans fucking christ im leaving
16e7uwk,jzuxt05,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'indianastate']",need abolish pick play never works us always getting opi
183w2cz,karuc6i,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indianastate']",im fairly confident win still major fuckups offense defense special teams inexcusable
183w2cz,karx5fd,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'indianastate']",look hartman seems like great guy said im sure ive hated nd qb much since least tommy rees maybe even pat dillingham
16fvde3,k047pi6,footage surfaces fans shouting racist homophobic insults players,,['michigan'],"['notredame', 'indianastate']",odd weve never heard bigoted
170iymv,k3kvh6x,big ten releasing 2024 schedule tomorrow would like see,would like 1 washington usc ucla annual opponents 2 owed home ohio want buckeyes eugene next year 3 washington got cancelled happen next year 4 9am east coast usc,"['hawaii', 'oregon']","['notredame', 'indianastate']",want see usc face ohio penn road november
1785w9p,k4xhzef,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['notredame', 'indianastate']",estime partying crowd lol reminds lot louis nix personality
