post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
182v9ux,kala8f3,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",thats pass funnier rule fumble therefore call stand
182v9ux,kalafb2,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",huge breakfast leftovers deacon hill spirit animal right
182v9ux,kalcxl3,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",havent watched purdy much doesnt look like hes guy granted tough
182v9ux,kald4nf,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",back blitz still get burnt 10 steps
182v9ux,kalea6p,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",fuck yes incomplete pass intentional set 50 yard run big brain brian ferentz
182v9ux,kalnmcx,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",player lost starting role took tiger hawk logo helmet protest think hed ever see snap
182v9ux,kalq0eq,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",gonna punt give nebraska ball midfield theyll kick goal wont score rest 1310
182v9ux,kalv8fw,nebraska 1200,iowafiowaiowa location memorial lincoln ne time 1200 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",hahah fuck run ball go ot
16knfug,k0xgyjw,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'iowacentralcc']",deion knows market thats sure id curious happens 2 losses ever loses
189go15,kbrcagc,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",slim pathway victory involved playing perfect takeaways huge special teams plays allowing punt return popped balloon
189go15,kbrccnr,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'iowacentralcc']",pretty cool 4 save td missing first tackle though
189go15,kbrhobu,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",deacon hill type guy function eats food clogs toilet bounces without telling anybody
189go15,kbrhvr9,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",let bounce man fuck look youve back pedaled 10 yards let go god damnit man
189go15,kbrtbjb,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",well memes fun lasted pour one entity beautiful putrid time may never see likes
189go15,kbruovf,800,iowafiowaiowa location lucas oil time 800 watch tv foxlfox odds spread mich 22 overunder 345 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowacentralcc', 'maine']",recovered blew play dead therefore ball
