post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17df8ox,k5woxkr,postgame minnesota defeats 1210,box score provided team 1 2 3 4 iowafiowa370010 made rcfb,['rcfb'],"['minnesota', 'ithaca']",changes nothing still expectations team whatsoever
16swab0,k2cyns6,lou holtz walk back said ohio dan dakichs dont,thats choice understand holtz said doesnt want talk know 02 doesnt want talk big coming penn holtz said continuing needle hes great coach holtz said tuesday hes done tremendous job great offensive mind ohio states good team dont think theyre great team go wants honestly felt notre dame better physical im sorry coach day offended hope goes wonderful year dont think theyll great team really dont,"['wisconsin', 'bigpacc']","['ohiostate', 'ithaca']",record 12 senile bag slobber
1684osx,jytsw34,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['northcarolina', 'ithaca']",missing mile even wasnt blocked
16qh8h1,k1xp579,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'ithaca']",angle shot angle lines endzone giving vertigo
1925pm7,kh0b2wl,postgame defeats washington 3413,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['ithaca', 'michigan']",cant wait see fansville sign stealing next year
170mgsn,k3mmnae,big 10 schedules 20242028,,"['westvirginia2', 'blackdiamond']","['ithaca', 'michigan']",dont like penn season tickets year wait 4 years see
16e7v1g,jzu9gp7,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['northcarolina', 'ithaca']",easy throw defenders underneath chance pick didnt enough loft
1689xu6,jyuthb1,ohio indiana 330,ohio location indianafindiana memorial bloomington time 330 watch tv cbslcbs odds spread osu 30 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['ohiostate2', 'toledo']","['ohiostate', 'ithaca']",holding onto someones jersey second long 10 yard penalty taking wr knees even ball fine ok
17vv3v6,k9f1g3m,programs coaches lifetime consider successes consider failures,binary choice good bad coach remembers positively fans looks like stallings success dubose failure franchione failure shula failure saban success failures shula gets goodwill leading us sanctions tenure also anonymous anemic offense im curious see guys high highs low lows evaluated auburn fans feel gus lsu fans see orgeron era,['alabama'],"['minnesota', 'ithaca']",glen mason failure tim brewston failure jeff horton enough time jerry kill success pj fleck success
17sx6l6,k8uh0e4,megathread jim harbaugh v big ten conference,onslaught quotes developments speculation relating situation jim harbaugh program big right please keep rumors discussion reactions harbaugh news substantial developments relating suspension may included separate posts mod discretion,['rcfb'],"['minnesota', 'ithaca']",really good argument considering investigation hasnt finished theres little evidence connecting harbaugh stallions b1gs way delivering punishment scummy
