post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
184dt9f,kauxq80,complain team,vent friendly place,['rcfb'],"['jacksonvillestate', 'chaos']",would like thank defense helping us become bowl eligible first fbs season offense get ass back fcs belong
16ei5hq,jzvsbr5,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'jacksonvillestate']",wow thought incomplete full speed thought sure would stand due call
16ei5hq,jzvxiaw,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'jacksonvillestate']",miss days alabamas kicking comedic relief
16ei5hq,jzvygoz,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'jacksonvillestate']",playcalling really smart sark far outside 3rd draw spent entire 1st quarter setting one drive still moved ball good bit mean time thats exactly break great defense
16ei5hq,jzw4boz,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['jacksonvillestate', 'alabama']",games halftime purdue virginia tech espn3 appalachian north carolina accn tech fox jacksonville coastal carolina espn wisconsin washington abc charlotte maryland nbc temple rutgers btn
16ei5hq,jzw97jt,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['jacksonvillestate', 'alabama']",last week spoke soon disciplined jinxed
16ei5hq,jzwanl4,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'jacksonvillestate']",thats one greatest throws ive ever seen even though incomplete thats brett favre type throw fit hole didnt even exist
16ei5hq,jzwaw83,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['jacksonvillestate', 'alabama']",im predicting jacksonville coastal carolina go final kicked time jsuccu lightning delay
16ei5hq,jzwbj2n,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['jacksonvillestate', 'alabama']",accept milroe playing great penalties legit pissing though
16ei5hq,jzwd59w,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['auburn', 'jacksonvillestate']",yep thats cant mess around bunch
