post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16cmkp9,jzkwqg8,greatest cfb comebacks time,byu fan taught 1980 holiday bowl dubbed miracle bowl greatest comeback time familiar link highlights unfortunately couldnt find version scores screen though saw 14 byus prostyle pass oriented offense pitted 19 smus pony express explosive running byu trailed resulting grandma leaving living room go knit four minutes left cougars 2545 fans began leave byu quarterback jim mcmahon screamed wasnt mcmahon backed throwing 14 yard touchdown pass byu recovered onside kick quickly made way culminating 1 yard touchdown run leaving score 3945 smu forced punt next possession byu blocked punt taking possession 41 yard line 13 seconds left 3rd 10 mcmahon launched 41 yard hail mary touchdown pass extra point sealing cougars win 4645 cougars scored 21 points last 233 secure first ever bowl win said sadly unfamiliar great comeback stories would like know candidates best comeback time,['byu'],"['notredame', 'johncarroll']",notre dame 2006 nd comes back 17 points win 4037 truly makes one greatest comebacks radio personality mike valenti absolutely losing god damn mind one best radio rants ever listened ever quotable hilarious deranged one liners perfect dont even bad feelings completely honest fun rivalry miss playing far god love meltdown
169aftq,jz1iiwf,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'johncarroll']",looks like unprepared big games brian kelly showed early year
17nrxeu,k7ulq32,missouri 330,location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'johncarroll']",since review penalty shave
16wjz1a,k2xw3vz,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'johncarroll']",god damn unlucky fumbles think weve forced like 10 right dont think weve recovered single one
16wjz1a,k2y4x6o,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'johncarroll']",estime stumbling seems slow jeez somebody swap weve got 5 rbs carry hes today
16wjz1a,k2ybdif,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'johncarroll']",super happy finally managed get fumble b thats awful leonard hope hes okay sorry duke bros
165jjly,jyfhvx0,week 1 matchup preview 5 lsu tigers 8 florida seminoles,5 lsuflsu 8 florida sunday september 3 0730 eastern camping world orlando watch abclabc odds lsuflsu 25 pts total points 560 alltime series lsuflsu florida lsuflsu florida met 10 times since 12301968 teams last met 360 days ago 09042022 series wins lsuflsu 208 florida longest streak continuous meetings 5 19791983 florida last 5 meetings 19832022 series last 5 meetings florida orleans la2324 florida rouge la1627 florida fl342 florida rouge la2131 florida rouge la3540 series comparison data via lsuflsu injury report data scraped 20230830 100011 maason smithdtelig sept 9 suspensionfri aug 25smith suspended ncaa due violating league rules likely make season debut sept 9 versus grambling logan diggsrbques sun hamstringmon aug 28diggs nursing hamstring injury remains seen available sundays showdown versus florida josh williamsrbprob sun undisclosedmon aug 28williams managing undetermined issue anticipated take florida sunday armoni goodwinrbdoub sun undisclosedmon aug 28goodwin tending unknown ailment unlikely face florida sunday landon ibietawrdoub sun undisclosedtue aug 29ibieta injury unlisted location leaving availability season opener versus florida doubt injury data lifted florida injury report data scraped 20230830 100011 darrell jackson jrdlout season eligibilitytue aug 8jackson jr hardship waiver request denied ncaa sit entire 2023 season ja khi douglaswrout indefinitely undisclosedmon aug 28douglas idle unspecified issue miss undetermined length time injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['cincinnati', 'oklahomastate']","['notredame', 'johncarroll']",think losing maason smith going big deal personally fsu itll probably somewhere like 3734 think
16nnrmg,k1i1hxq,team happy see succeed,team see winning games think know like theyre winning washington theyre brand good fans top25 makes sense,['miami'],"['notredame', 'johncarroll']",agree washington answer work
16kd3yk,k0vinbx,central notre dame 230,central notre dame location notre damefnotredame notre dame time 230 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'johncarroll']",ummm first thats weird call sorry cmu
16pnixi,k1t12i9,nc virginia 730,nc statefncstatenc location scott time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'johncarroll']",fucking love sport wild couple minutes
16f704d,k00xsvf,ap poll september 10 2023,nan,"['syracuse', 'wakeforest']","['notredame', 'johncarroll']",notre dame ranked feels fair deserved weird love
