post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ql0u1,k1yaxyu,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'kansai']",man swear rice read everybodys comments last year taped gym offseason
16ql0u1,k1ygk5n,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'kansai']",thats bullshit call dont like
16ql0u1,k1yhvky,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'kansai']",man cant remember last time heard call
168fxcn,jywnovr,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['usc', 'kansai']",die blitz continue die blitz
16knfug,k0xgxaq,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'kansai']",refs discretion delay gets chippy
168egbr,jyvpgoy,nevada usc 630,uscfuscusc location uscfusc los angeles memorial coliseum time 630 watch tv pac12 networklp12n odds spread usc 38 overunder 660 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['usc', 'rose']","['usc', 'kansai']",media langauge used around teams going different colleges big news stanford yesterday course
168egbr,jyw28u1,nevada usc 630,uscfuscusc location uscfusc los angeles memorial coliseum time 630 watch tv pac12 networklp12n odds spread usc 38 overunder 660 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['usc', 'rose']","['usc', 'kansai']",unsolicited opinion plain white block script nevada navy best collegiate sweater
1629jdu,jxwil4e,san jos usc 800,san jos jos uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv pac12 networklp12n odds spread usc 31 overunder 665 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['sanjosestate', 'mwc']","['usc', 'kansai']",lloyd seems fall forward extra two yards pretty well
1629jdu,jxwqdn0,san jos usc 800,san jos jos uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv pac12 networklp12n odds spread usc 31 overunder 665 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['sanjosestate', 'mwc']","['usc', 'kansai']",nice meaty strip even recovered
1629jdu,jxwrr4l,san jos usc 800,san jos jos uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv pac12 networklp12n odds spread usc 31 overunder 665 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['sanjosestate', 'mwc']","['usc', 'kansai']",call skylar lovingblack coolest name unless anyone else someone better
1629jdu,jxwwkyl,san jos usc 800,san jos jos uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv pac12 networklp12n odds spread usc 31 overunder 665 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['sanjosestate', 'mwc']","['usc', 'kansai']",damn trying jinx hard comment
