post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwc4fw,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",dont know youre going get turned thats like impossible camera angle
16ei5hq,jzwfbes,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",okay finishes wyoming comes austin next week funny
16ei5hq,jzwg00w,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",sound got hit sounded like jumping soda ouchie
16ei5hq,jzwgjpd,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",gonna frustrating season milroe inconsistent hes gonna maddening could see developing though
16ptc9b,k1t1eaz,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['louisville', 'kegofnails']",im glad im fan either teams funniest ending ive ever seen id hate able enjoy
16e7uwk,jztxiip,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['louisville', 'kegofnails']",logic telling go close nd win watching hartman fumble brings back many good memories wolf hand sign fun go pack
16e7uwk,jztyqod,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['louisville', 'kegofnails']",idk guys im definitely watching learn
16e7uwk,jzull6f,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['louisville', 'kegofnails']",cant explain much hate 2nd run gross gross
16e7uwk,jzun722,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['louisville', 'kegofnails']",thats thrown doesnt really give guy chance cb great position
16e7uwk,jzuobn5,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['louisville', 'kegofnails']",im sure nd defense man offense tough watch
16e7uwk,jzv87v8,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['louisville', 'kegofnails']",5 hours theyve shown graphic least hour care
17t7o6c,k8w118i,duke north carolina 800,dukefdukeduke north carolina location north kenan time 800 watch tv acc networklaccn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",reminder unc twitter crying refs saying fixed louisville carolina conference lives
183rfxa,karigbd,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",thats hell catch see green line toes
183rfxa,karnjr0,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",dont know ever put faith auburn anything
16qbmww,k1wyr92,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",blow play dead audio bar
1785w9p,k4yty3y,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['louisville', 'kegofnails']",pitt louisville notre dame usc got
16f0btp,jzynfo7,honest questionwhy nebraska bad,theyve burned coaches athletic directors quarter backs etc yet theyve continued fall farther farther ever since early 2000swhy ive never seen program elite fall cliff long,[],"['cincinnati', 'kegofnails']",reason bad light last night unreasonable annual expectations coaching instability looking records pelini fine expected riley 500 canned three years seems like patient frost bad fit
16ehek1,jzvc7da,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",started pregame coverage gossip girl still
16ehek1,jzvm3hn,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",cincinnati without cb sammy anderson pitt starting true freshman lg
16ehek1,jzvmaxb,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",pitt fans wearing yellow empty
16ehek1,jzvp0a4,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",guys think cats may better advertised 45 wins
16ehek1,jzvrqms,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",didnt see call staff looking third
16ehek1,jzw435e,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",guys ive enough kool aid weve got shot sooners home
16ehek1,jzw51w0,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",pitt fans booing many bearcat fans
16ehek1,jzw55fm,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",bad call hate come late
16ehek1,jzw5di1,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",idk one angle looks kinda bad looks perfectly clean
16ehek1,jzw6fcz,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",didnt enough faith defense take im upset
16ehek1,jzw86pe,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",got unibroue variety pack jungle jims first three tasted exactly ipa tastes different ive got dark ale dubbel left hoping dark ale bit different know dubbel taste triple
16ehek1,jzwddou,cincinnati pittsburgh 630,location acrisure time 630 watch tv cwlcw rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['cincinnati', 'deadpool']","['cincinnati', 'kegofnails']",im looking roughing passer well roundabout way get expected end right
17t1stj,k8ughal,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",commercial break taking way long looked like simple review
17t1stj,k8ugvhk,miami florida 330,florida location florida doak campbell time 330 watch tv abclabc odds spread fsu 145 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",defense knee goal line ball across plain
15wqekf,jx2ix48,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['cincinnati', 'kegofnails']",1 cincinnati 2 ohio 3 norty dame 4 kentucky 5 random big ten team halfway decent
17deytd,k5x6lil,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",gotta get rid targeting way
17deytd,k5x6s8q,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",defensive lineman targeted qb qb targeted defender
16jq8ru,k0s1ezl,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",camera angle colandrea like really short
16jq8ru,k0s28br,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",fields im giving
16jq8ru,k0s2sbx,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",23 got uh whats b1g version sespeed acceleration
16jq8ru,k0s30r3,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",went maybe go position definitely punting
16jq8ru,k0s5q4h,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",bww buffalo thing kind cute week 0 want turn burgers dont listen yell anymore
16jq8ru,k0s5un3,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",bro pulled run probably speed get past 5 maryland
16jq8ru,k0s764h,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",starting understand whole tony elliot terrorist talk uva fans
16jq8ru,k0s7fi8,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",alright time go see whats going utsa army guess
17ipgk7,k6w63m4,cincinnati 800,location boone pickens time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",3rd 14 hmm dont know maybe run middle
17ipgk7,k6wikn4,cincinnati 800,location boone pickens time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",good catch need make simple catches open run nvm int
17ipgk7,k6wiqsb,cincinnati 800,location boone pickens time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",dont know dont run bunch quick screen plays open middle run
17ipgk7,k6wj46i,cincinnati 800,location boone pickens time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",good news plenty time left come back bad news theyre gonna run us
17ipgk7,k6wj585,cincinnati 800,location boone pickens time 800 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",want new coach also dont want coach go worse tuberville conundrum
15mriw8,jviiavq,twittercom brettmcmurphy notre dame acc member sports pushing hard acc add stanford cal larrywilliamsti reports,nan,"['vanderbilt', 'middletennessee']","['louisville', 'kegofnails']",uofl needs anything associate stanford cal people might eventually think uofl real academics like unc
15q1cwp,jw0f544,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['cincinnati', 'kegofnails']",tubs 48 started following tail end 2007 jones 48 bad totally unexpected fickell tubs teams shouldve better
16e7uxq,jzui2yo,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",stood knowing going take hit still delivered perfectly problem straight wrong team
16e7uxq,jzumo2q,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",eat boneless wings 1299 sounds like deal eat applebees
16e7uxq,jzun0of,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['cincinnati', 'kegofnails']",sure safety broken want catch
15rxzeo,jwbx9j3,whats goto name referring favorite school conversation,go abbreviation mascot full name maybe something else keep simple wvu curious fanbases say,"['westvirginia2', 'hateful8']","['cincinnati', 'kegofnails']",uc course always make sure im clear online im using ou people dont think
16wq174,k2ybm99,postgame notre dame defeats duke 2114,box score provided team 1 2 3 4 notre dukefduke007714 made rcfb,['rcfb'],"['louisville', 'kegofnails']",guy decided sending 3 4th 16 good idea needs personal conversation blue devil
177zlfy,k4wr3z1,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",revis island another kind island fboy island
177zlfy,k4wrynm,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",caleb williams thrown interception nd plumber plumber better qb ill hang listen answer
177zlfy,k4wx7sk,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",plummer learned throw away 76 years playing itd 287
177zlfy,k4x6vn6,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",keep passing inside 25 run little
177zlfy,k4x8zb4,louisville pittsburgh 630,location acrisure time 630 watch tv cwlcw odds spread lou 75 overunder 460 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",get thrash great player throw
183w2c9,karuih4,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",got apple cup saw replay flag even call
183w2c9,karxz7v,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",fuck watching rick scott ad living florida
183w2c9,kas0ao1,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",get wanting take shot play safety man drop back fire ball downfield instead murder momentum youve gained safety solid return promptly going backward 14 yards
183w2c9,kas0r8z,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",watching least 20 years first time ive ever seen someone penalized spitting someone
183w2c9,kas135e,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",turning point fsu gotta come name moment like cleat yeet
1621ag8,jxv7u80,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['cincinnati', 'kegofnails']",wasnt confused sideline zoomed goofy marking
1621ag8,jxveda4,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['cincinnati', 'kegofnails']",eddie georges tennessee weird theyre team
16ec7rw,jzv188h,eku kentucky 300,location kroger time 300 watch tv espnlespn sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['oklahoma', 'michiganstate']","['louisville', 'kegofnails']",leary definitely played better ncsu least remember
16jmdcy,k0qsqcd,work ncaa compliance ama,removed,[],"['louisville', 'kegofnails']",many brain cells ncaa compliance department share dozen
16k5rz7,k0ukeqp,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['louisville', 'kegofnails']",gotta make everything sad jesus want watch cry
16k5rz7,k0ulpab,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['louisville', 'kegofnails']",miss would easily sleep noon last hour feels lasted forever
169aftq,jz0vb8y,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'kegofnails']",kevin coleman keon coleman scoring first td season shiny new acc team first
