post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17mf1p1,k7ksv84,tcu tech 700,tcuftcutcu tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",making natty lose team lot players league itll hard rebuildunless youre bama ohio new set 4 5 stars every year
17mf1p1,k7l0kqg,tcu tech 700,tcuftcutcu tech location techftexastech jones att time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",3 sec teams 4 b1g teams 1 acc team top 8
17h8let,k6mauke,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",crazy bama team top 10 week
17h8let,k6mf1p2,syracuse virginia tech 730,virginia tech location virginia lane time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",tax doctor running animation funniest thing history
193kzx5,khp7oa3,mcmurphy oregons dan lanning expected top target replace saban source told actionnetworkhq,nan,"['utep', 'florida2']","['florida', 'keiser']",getting alerts something 2 days ago
16e7uxq,jzuuacd,utah baylor 1200,utahfutahutah location baylorfbaylor mclane time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",get swallowing flag something close brother one complaining dpi called
183w2c9,karwt6q,florida florida 700,florida location floridafflorida ben hill griffin time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",could go 111 one win fsu
191mhz7,kgwgxdr,said ill say national championship shouldnt kicking damn late anymore,take work tomorrow able watch whole damn tonight least bump hour us people go work morning get reasonable amount sleep,"['auburn2', 'florida']","['florida', 'keiser']",mean years id agree 730 eastern isnt really late actually sucks washington fans may even get work till halftime
169aftq,jz0nwwu,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",verlon produced lot great talent tenure even gave 2 nephews
169aftq,jz15xk4,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",good ole kirk saying go half 1414 00 mentality
169aftq,jz17hbd,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",jesse palmer doubling bachelors along espn stuff
17aa03z,k5c5gq0,middle tennessee liberty 700,middle tennessee location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",spanish teacher high school went liberty also lawyer one time special needs kid said couldnt lawyer mom said crooked teethshe
17aa03z,k5cf2u3,middle tennessee liberty 700,middle tennessee location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",thing couldve made better wouldve 9pm eastern time kickoff later
17aa03z,k5cheul,middle tennessee liberty 700,middle tennessee location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",06 sam houston higher conference usa standings 34 fiu theyve lost one less conference
17aa03z,k5cj97l,middle tennessee liberty 700,middle tennessee location libertyfliberty williams va time 700 watch tv cbs sports networklcbssn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",ref gonna waiting tunnel
17v67wr,k98vdsy,jimbos buyout disgrace,think lot coaching carousel coverage missing obvious point outrageous public university pay 78 million someone coach team understand boosters come cash side doesnt come literally general budget people need understand cash fungible dollars donated could donated university outright b could used literally worthwhile purpose paying jimbo fisher strong suspicion boosters donation papered give tax deduction well effectively americans subsidizing 40 shitshow understand college sports headed insane direction decades really ripped overton window wide open point inflated broadcast money going start dry lot universities public private going find investing fbs cfb expense rest institution huge mistake,"['notredame', 'indiana']","['florida', 'keiser']",said many times fired coach best job country
17y5zcv,k9s285d,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",id love play pft mario party 2 3 make bet see one us gets screwed first
17y5zcv,k9s2p0z,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",yeah theres still like 4 5 way tie b1g west winner way cooler
17ic9fj,k6tim6a,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",thought nba season tournament gonna mid season guess theyre way less people injuries
17ic9fj,k6tjffz,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",best butterfinger bbs thing
17ic9fj,k6tt5pd,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",still dont like going matthews bridge even swapped metal grating
17ic9fj,k6txk0s,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",say lot food best perk gameday
17sxef4,k8t812g,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",cant wait new commercial adds new schools
177dn6h,k4t20ze,stanford colorado 1000,location folsom time 1000 watch tv espnlespn odds spread colo 115 overunder 590 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",shadeur putting hunter injury report next weeks
16knfug,k0xob0p,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",colorado loses unranked g5 team probably drop 2125 florida beats ranked 11 tennessee team still wont ranked
16knfug,k0y0du7,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",wish wasnt working actually watch 2 weeks row late night ot
189it1b,kbu4e4i,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['florida', 'keiser']",mean fsu plays orange bowl
189it1b,kbu9h6n,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['florida', 'keiser']",good guy saban giving players time bill would never
17d4h7c,k5v4f6o,ucf 1200,ucffucfucf location memorial norman ok time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",absolutely make tackle last four weeks hell yeah
172755e,k3uvsqf,whats yalls favorite rivalry doesnt involve school,every year tune red river rivalry matter great years rendition feels special two teams leaving sec every play matters exciting matchup two college footballs premier programs hands favorite rivalry involve uga also enjoy iron bowl civil war yall,['rcfb'],"['florida', 'keiser']",iron bowl lot years decides makes playoff
191zla4,kgzandw,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",real sickos gonna watch 22 broadcast get film session
191zla4,kh0775t,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",thats good wouldnt want miss first half next
191zla4,kh08965,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",close saying would around 1110
176it07,k4mqn94,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",taco bell breakfast literally made debut waffle taco
176it07,k4myj0r,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",tell ya nothing better riding golf cart wendys middle keystone thing mcdonalds teenager could afford
176it07,k4n3dwu,west virginia houston 700,west virginia location houstonfhouston tdecu time 700 watch tv fox sports 1lfs1 odds spread wvu 25 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",tearing cinder block wall best pre ritual
17y9ic0,k9sh4cb,louisville miami 1200,location miamifmiami hard rock time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",kinda hard make conference championship used divisions division fsu clemson
17dajbd,k5vf5uo,postgame defeats ucf 3129,box score provided team 1 2 3 4 ucffucf0176629 made rcfb,['rcfb'],"['ucf', 'keiser']",need guss bag confiscated take ball best players hands play
16qbmz1,k1wj7d8,colorado 330,location oregonforegon autzen time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",shadeur gonna end taking sacks david carr
17is9rl,k6x20bd,arizona 1030,location arizonafarizona arizona time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",see shouldve one games lightning vicinity couldve gotten delay extend day
1675cdu,jynq8a9,mcmurphy acc add stanford cal smu 2024 sources told leagues presidents got required 12 15 votes expand accs membership 17 schools smu receive media rights revenue 1st 7 years stanford cal receive reduced shares,,"['florida2', 'rutgers']","['florida', 'keiser']",either need one team one team leave odd number members terrible
177vtsq,k4wovyi,washington 330,location husky time 330 watch tv abclabc odds spread wash 3 overunder 670 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",fanbase wins still whole evening drink
16w4zuc,k2vcqho,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",im glad jess upgraded wardrobe wore last year believe gameday
16w4zuc,k2ve6xf,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['florida', 'keiser']",really rose bowl played rose bowl
16kjdlb,k0ww6un,tennessee florida 700,location floridafflorida ben hill griffin time 700 watch tv espnlespn odds spread tenn 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",trinity lost bolles yesterday hoping gators jags win weekend
18oqq8u,kej4kdd,gasparilla bowl ucf tech 630,ucffucfucf tech location raymond james time 630 watch tv espnlespn espnlespn odds spread ucf 55 overunder 665 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",nothing id rather friday night watch classic big xii acc matchup
17ii1dl,k6uf7nb,clemson nc 200,nc statefncstatenc location nc statefncstate carterfinley time 200 watch tv cwlcw odds spread clem 10 overunder 440 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",gonna get amadeus tell us movies
17yj8bq,k9ugk9y,florida missouri 730,location memorial stadiumfaurot time 730 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",mertz anymore eligibility year think likely thats last snap season
189brft,kbqy5o0,400,location mercedesbenz time 400 watch tv cbslcbs odds spread uga 5 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",bond celly band playing bond theme fucking sick
17ijw7o,k6v18qw,florida 330,location everbank time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'keiser']",hope yall b1g fans ready gary next year
17nrxn9,k7ul62o,ucf cincinnati 330,ucffucfucf location nippert time 330 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",think calling forward progress idk man
17nrxn9,k7ulllt,ucf cincinnati 330,ucffucfucf location nippert time 330 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ucf', 'keiser']",lmao pick weak flag different defender decides give us yards anyways
