post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzu026l,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'kenyon']",man qb draw terrified nc defense complete changer
16e7uwk,jzv7lb9,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'kenyon']",think wr first signal 9 yard reception hes bad time today
17y9i7m,k9sydcn,byu 1200,byufbyubyu location byufbyu lavell edwards time 1200 watch tv espnlespn odds spread ou 24 overunder 575 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'kenyon']",people think win need advance ball forwards select believe moving ball sideways via jet sweeps secret success stories
17iov6h,k6wksab,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kenyon']",feels like less stressful tresselball still stressful dont get wrong less stressful
18w6kt1,kfwr6in,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",fuckin insane dude benched tyler buchner one point season lmaooooo
1621ag8,jxvainl,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'kenyon']",shocking amount comments questioning navy isnt throwing ball
16qmmcf,k1xz8pj,postgame ohio defeats notre dame 1714,box score provided team 1 2 3 4 ohio notre made rcfb,['rcfb'],"['notredame', 'kenyon']",dropped int end still cant believe hats osu damn nd lost
169aftq,jz0txwy,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",glad took time come stellar play call
17yelku,k9tkdqx,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kenyon']",second favorite ohio penalty ever marcus hall forever heart
17yelku,k9tqrbj,minnesota ohio 400,ohio location ohio statefohiostate ohio time 400 watch tv big ten networklbtn odds spread osu 285 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kenyon']",im okay commercial reminds get another beer
17sxef4,k8tuwvz,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",dont believe osu um actually recruiting drew allar shady tactic get psu offer scholarship
189it1b,kbu5sgg,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['notredame', 'kenyon']",booger definitely must contract gives zero fucks
16kf5x5,k0w6izq,wku ohio 400,wkufwkuwku ohio location ohio statefohiostate ohio time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'kenyon']",lolololol probably dont remember tressel years real nailbiters inferior teams sharp ohio
172j2qi,k3xtf0i,notre dame louisville 737,notre dame location cardinal time 737 watch tv abclabc odds spread nd 65 overunder 535 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",need join conference schedule much insurmountable
16qh8h1,k1xblzu,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",damn ryan day really gonna mad watch
16qh8h1,k1xsxnb,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",surreal see nd line scrimmage osu chardonnay hitting hard
16qh8h1,k1xuchj,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",alright would lose mind nd ran play situation
16qh8h1,k1xye5g,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",dj dropped easy pick sealed thats sickening would
183mtar,kaq0vel,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",hope osu fans pointing mccord similar stats mccarthy see obvious situational differences name mccarthy much better qb
183mtar,kaqazsq,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kenyon']",yards per play osu 62 mich 41 mccords terrible pick 4th conversions difference rn
183mtar,kaqrjnv,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",poetic justice didnt drop int like nd final drive
183mtar,kaqswt0,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kenyon']",ah well nevertheless says lines 7 shots crying
17dk5de,k5x879n,postgame utah defeats usc 3432,box score provided team 1 2 3 4 uscfusc14031532 made rcfb,['rcfb'],"['oklahoma', 'kenyon']",one shocked lincoln riley team could hold late lead woke coma memory last 6 years
17nng54,k7sygyu,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",every time nd negative play assume opposition stolen signs
17nng54,k7tq0ck,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",clemson tried hardest hand nd hartman darn polite accept guy
1780tdz,k4wt90x,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oklahoma', 'kenyon']",snap infraction caused crowd noise idea im stuck bush league sound mixing
1780tdz,k4wzez8,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",ill never get lining shotgun 4th 1 play
1780tdz,k4x7zwi,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",man louisville looking bad pretty bad pitt team ugh
17d4h6j,k5v8j2m,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'kenyon']",still mystified tom brady comparisons really bad college
17d4h6j,k5ve7b7,penn ohio 1200,penn ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate3', 'kenyon']",penn fans want send sixer buckeye tears beer
