post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzvsey5,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",mmm glad another team gets deal grey area aka absolute bullshit move
16ei5hq,jzw7zui,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",unalabama team ive seen long time penalties crazy
16qd8l6,k1w8dyw,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['ohiostate', 'kings']",thats serious james franklin 4th quarter play calling clemson
16fvde3,k03wmic,footage surfaces fans shouting racist homophobic insults players,,['michigan'],"['ohiostate', 'kings']",fact fucking racists support team majority african american mindboggling
15wqekf,jx2p1j9,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['ohiostate', 'kings']",charlotte nc unc duke nc clemson south carolina ohio
1621ag8,jxuzua3,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['ohiostate', 'kings']",guiness everyone fuck king college back baby
1621ag8,jxv3j23,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['ohiostate', 'kings']",really hope offense taking notes navy ndwhooo boy
16ql0u1,k1y2g0m,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",6 penalties first quarter kliff kingberry hc
17ifk69,k6v1y3q,kansas 1200,location kansasfkansas david booth kansas memorial time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",diddid fox find two biased announcers
17nrxeu,k7u28yb,missouri 330,location georgiafgeorgia sanford time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",play call smooth feel like connor stallions uga sideline
17t72b9,k8v04ij,ohio 730,ohio location ohio statefohiostate ohio time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",die salute ohio msu scums
183xgmh,karopgu,postgame defeats auburn 2724,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['ohiostate', 'kings']",ahahahahaha fuck osu fans fire ryan day auburn fans gestures everything
16wjz1a,k2xpsnq,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",serious question hartman trying nfl next superman movie
16wjz1a,k2xrxfq,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",410 ideal wish smarter percentages cant good
16wjz1a,k2xwco9,notre dame duke 730,notre dame dukefdukeduke location dukefduke wallace wade time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",marcus freeman determine goals good cant count 11 must went shitty college one tells
16nprl0,k1fsefu,week 4 matchup preview 6 ohio buckeyes 9 notre dame fighting irish,6 ohio statefohiostate 9 notre damefnotredame saturday september 23 0730 eastern notre dame notre dame watch nbclnbc odds ohio statefohiostate 30 pts total points 560 alltime series ohio statefohiostate notre damefnotredame ohio statefohiostate notre damefnotredame met 7 times since 11021935 teams last met 382 days ago 09032022 series wins ohio statefohiostate 502 notre damefnotredame longest streak continuous meetings 2 19951996 ohio statefohiostate last 5 meetings 19952022 series last 5 meetings ohio oh2110 ohio fiesta bowl ohio az3420fiesta bowl ohio bend in2916 ohio oh4526 series comparison data via week 3 weekohio statefohiostate 3010resultnotre damefnotredame 4000result 0byenanavyfnavy 1201w 423 1201w 233tennessee 2100w 563 2youngstown 2100w 357nc statefncstate 2100w 4524 3wkufwku 2100w 6310central 1200w 4117 rankings reflect current rcfb ohio statefohiostate injury report data scraped 20230920 100014 jayden bonsusques sat undisclosedmon sep 18bonsu sat last three contests undefined issue remains seen line notre dame saturdays battle tc caffeyrbques sat kneemon sep 18caffey missed past three games due knee injury indication take notre dame saturday joop mitchellwrques sat undisclosedmon sep 18mitchell sat previous three games due unrevealed ailment yet announced take saturday versus notre dame kyion grayeswrques sat undisclosedmon sep 18grayes held previous three games due unspecified issue unknown face notre dame saturday joe royerteques sat undisclosedmon sep 18royer missed last due undivulged injury air available versus notre dame saturday reis stocksdalewrout season undisclosedsat sep 16stocksdale commission undetermined issue likely miss remainder season zak herbstreitteout season undisclosedsat sep 16herbstreit shut entire 202324 season unknown injury bennett christianteout season suspensionsun aug 27christian suspended entire 2023 season due violation ncaa rules arvell reeselbques sat undisclosedmon sep 18reese absent past two matchups unreported ailment unclear dress saturday notre dame injury data lifted notre damefnotredame injury report data scraped 20230920 100014 kk smithwrout indefinitely shoulderwed aug 2smith lineup undergoing shoulder surgery timetable return kevin baumanteout season kneesat aug 12bauman miss entire 2023 season partial acl tear chris salernokout indefinitely legmon sep 4salerno sidelined leg injury miss undetermined length time gabe rubiodlout indefinitely kneemon sep 4rubio idle knee ailment unknown long debilitated mitchell evansteprob sat concussionmon sep 18evans absent last concussionlike symptoms likely suit saturday ohio eli raridonteout sat kneemon sep 18raridon sat last four games knee injury take ohio saturday jd bertrandlbques sat concussionmon sep 18bertrand missed previous contest due concussionlike symptoms yet confirmed available saturday versus ohio injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found,"['cincinnati', 'oklahomastate']","['ohiostate', 'kings']",notre dame similar blog la elevenwarriors read team
1824anr,kagfexr,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['ohiostate', 'kings']",university fans annoying inlaws entire week
17stvpf,k8s3xip,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['ohiostate', 'kings']",espn went penn drama llamas going signs would point
17sxef4,k8tp59j,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",isnt 330 im turning day rutgers
17sxef4,k8tqbxj,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",scores points psu rutgers
17sxef4,k8tux54,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",wheels penn bus falling falling james franklin cant coach fourth coach fourth
17sxef4,k8tw4zi,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",allar sucks franklink sucks penn going grab spot 12 team playoff promptly lose 12 seed
161tbiw,jxthanf,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['ohiostate', 'kings']",got little ting tang got wet track netherlands qualifying happy
161tbiw,jxu92pv,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['ohiostate', 'kings']",wait studio didnt want travel ireland
191n0mf,kgwhq3p,washington fans tonights mean,1 team since born ive app loss rich rod hoke trouble snap losses ohio dad difficult relationship one thing always ever since could remember passed 2020 wish couldve last years know tonights wouldve meant world um uw fans new old national championship appearance mean,"['michigan', 'westernmichigan']","['ohiostate', 'kings']",obviously means nothing either fan base theres thing stupid question certainly stupid people
188qre7,kbmrjtq,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",must abc commercial goal attempt another commercial break
188qre7,kbmukqc,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",ugh forgot smooth high powered qb looks dont know honda going evolve need turn
16ielg0,k0j9jj9,whats one thing love rival,live sw virginia im much closer blacksburg charlottesville drive whenever hoos tech playing im decked hoo gear help jump goobers enter sandman comes justtoo good,"['virginia', 'virginiawise']","['ohiostate', 'kings']",show ohio rivalry consists two fan bases like talk programs im guaranteed decent argument fan regardless papal square space
16kf5x5,k0w7mxp,wku ohio 400,wkufwkuwku ohio location ohio statefohiostate ohio time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",cant wait us drop rankings boat racing wky
191zla4,kgzbpuy,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",jim harbaugh eats baby food calories per oz anything else
17y9i5h,k9sab2b,maryland 1200,location secu time 1200 watch tv foxlfox odds spread mich 205 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",think maryland rugters would competing big ten west get screwed playing psu um osu
16qh8h1,k1x2g1n,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",may fight catholic brethren remember one thing fuck
16qh8h1,k1xmfgw,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'kings']",short goal yeah like 48 yards goal
