post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qmian,k1zefet,postgame penn defeats 310,box score provided team 1 2 3 4 iowafiowa00000 penn made rcfb,['rcfb'],"['iowa', 'knox']",welp quite showing brian ferentz ugh gg penn looks like youve got hell team allar looked incredible
17iov6h,k6whweh,ohio wisconsin 730,ohio location camp randall time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'knox']",brutal regards injuries sucks
1621ag8,jxusbvm,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['nebraska', 'knox']",realized gonna navy start season end season
169aftq,jz10sus,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'knox']",lsu left many points board already bk opening criticism
16bnhtv,jzg9i6g,could best high school team nation beat worst division 3 team nation,boss discussing best high school team could beat worst d3 team played d3 says think yes think,[],"['iowa', 'knox']",team college went worst team probably worst d3 conference average high school team wouldve wiped floor
1781y0u,k4xbztg,postgame washington defeats 3633,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['washington', 'knox']",going bucky irving duck player scared absolute part trauma watching break forty million tackles dawgs autzen last year year much better job getting ground oregons oline good usually didnt even make contact 5 yards downfield dude player still scares
160h9tx,jxn4a56,jamestown valley city university 700 central,removed,"['lsu', 'valleycitystate']","['nebraska', 'knox']",vcsu fan 2 12 hours biting nails right
188qre7,kbmtvnd,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'knox']",im beer run half time closest grocery store bar watch second half jewelosco bar
15i4lvq,jus5qkb,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['knox', 'iowa']",wazzu show random stadiums barbed wire covered bats
15i4lvq,jus9uld,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska', 'knox']",im happy apart thank god moved starting sucking badly
180ujc8,ka8ee3v,cfp rankings week 13,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['washington', 'knox']",ouch thats bigger fall think deserved
180ujc8,ka8g31o,cfp rankings week 13,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['washington', 'knox']",honestly thought gonna keep us 5 dropped far
17ah8vs,k5d508l,report usc caleb williams wants partial ownership nfl team select 2024 draft per profootballtalk,nan,"['texas', 'pintglass']","['washington', 'knox']",hes got insane im pretty sure theres nfl rule ownership stake one team playing another team meaning could never traded even cut hes getting buy ownership group playing career like athletes done
15hhp9o,juopgel,team impacted realignment affect experience fan,obviously winner recruitment pitch travel opportunities appealing downside ticket prices going get insane,"['texas', 'caa']","['washington', 'knox']",goes looks like ill happy huskies chance play nationally relevant foreseeable future didnt ask mess dont think wanted make move stay college looks like least probably wont outside looking live hope though next decade prove demonstrably bad idea realignment see restoration sometime im old care anymore
15z2rv0,jxenffp,teams embarrassing miserable worst result time,want answers,"['wichitastate', 'applecup']","['nebraska', 'knox']",like 10 scott frost era alone think little bit northwestern 31 nebraska 24 probably takes cake memory wasnt old enough remember colorado 2003 standalone front whole country especially considering northwestern didnt win single
17d92jq,k5w0zof,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'knox']",im genuinely convinced deacon hill played knows defenders trying tackle right
17d92jq,k5w94px,minnesota 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['iowa', 'knox']",lol minny tried passing asked dad would replied dont want punt right holy shit cooper dejean
18wi2m2,kfxyt5i,postgame washington defeats 3731,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['wisconsin', 'knox']",nebraska fans got flashbacks 2009 big 12 title day
17yojcs,k9umd37,postgame washington defeats 2220,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['washington', 'knox']",raise hand anticipated largely defensive showdown raise hand imagined uw would survive largely forcing turnovers getting safety botched punt snap put hands didnt god love college
16wnezr,k2yq2hr,washington arizona 1000,location arizonafarizona arizona time 1000 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'knox']",weird shit happens desert man almost uw team thats loss good fight cats
16pms5i,k1s9oob,wisconsin purdue 700,location purduefpurdue rossade time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'knox']",td runs third good moredcai
