post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwgadg,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['landgrant'],could bad play result td
16ei5hq,jzwhul7,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['landgrant'],guys face like came see wins told always win come maybe idk
16ei5hq,jzwjhyz,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'landgrant']",tides shifting cfb dynasties like clemson bama osu giving way overreacting week 2 fucking knows season excited
18wbuu4,kfxp91s,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'landgrant']",quinn ewers may disrespected qb ever lmao never gonna appreciated present everyone wants future
16q6omx,k1w80pd,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['landgrant'],feel bad kicker also beyond terrible 3rd play
16q6omx,k1w87jm,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'landgrant']",granted win lead ot isnt great look 4 unranked
16ktcfe,k0y25hr,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],['landgrant'],liked penalties seemed like even called idea wouldnt also many confirming replays everything made great
16ktcfe,k0y2t0q,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['pennstate2', 'landgrant']",lots neutral fan salt around thought fun watch lol soon started getting chippy knew gonna good memes coming matter
183rfxa,karjdc1,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate2', 'landgrant']",holy shit watching apple cup someone mentioned damn happening new mexico get transitive win bama
183rfxa,karndom,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'landgrant']",wow review pretty close pushoff opi
