post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18581f9,kb05x4u,axelrod correct ohio promoted day two years removed fired nfl qbs coach carry momentum tresselmeyer eras two years reality caught osu crossroads comes deciding whether wants remain elite program,nan,"['ohiostate2', 'mountunion']","['michigan', 'lenoirrhyne']",know osu wants someone aggressive hear jimbo fisher real offensive genius
189wh00,kbu7ww3,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['michigan', 'lenoirrhyne']",yes harbaugh advocating paying players live tv
18w6kt1,kfwk4h2,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",bamas band playing playoffs theme makes sense main characters
1835er3,kamxhtj,penn 730,penn location ford time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",msu looking much better earlier season good kids
1824anr,kagmqu9,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['ncstate', 'lenoirrhyne']",unc students everything calim duke students except actually north carolina also benedict bear time
1824anr,kagwwz9,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['michigan', 'lenoirrhyne']",fuck ohio except city cincinnati actually really characterful ive got close friends
18ercgi,kcplne7,89th heisman trophy ceremony,lsuflsu qb jayden daniels oregonforegon qb bo nix qb michael penix jr ohio statefohiostate wr marvin harrison jr location espnlespn virtual broadcast time 800 watch tv espnlespn made rcfb please keep trash talk civil report comments violate lets talk heisman heisman trophyiheisman,['rcfb'],"['michigan', 'lenoirrhyne']",stop making old men got knees blown games 30 years ago stand
18ercgi,kcpp6o1,89th heisman trophy ceremony,lsuflsu qb jayden daniels oregonforegon qb bo nix qb michael penix jr ohio statefohiostate wr marvin harrison jr location espnlespn virtual broadcast time 800 watch tv espnlespn made rcfb please keep trash talk civil report comments violate lets talk heisman heisman trophyiheisman,['rcfb'],"['michigan', 'lenoirrhyne']",wait god watches college hes supporting washington stop waffling god
188qre7,kbn2wyx,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",longer scared facing teams playoffs
188qre7,kbn8p4t,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['appalachianstate', 'lenoirrhyne']",damn crazy broke local abc station
191zla4,kgzfi8a,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ncstate', 'lenoirrhyne']",get ea college trailer ads least
191zla4,kh020fx,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",reaaaaally wish would stop talking jj aint shit tonight
18v96sf,kfpcwgq,im bit surprised subs response fsu optout situation team robbed chance win title burden continue entertaining system,awful know personally believe wins either way larger principle matters far tell bunch kids owe us additional entertainment physical sacrifice entire system told even perfection wasnt enough blows ass us love sport cannot fault kids cannot fault nil transfer portal fsus culture also wont compare years teams fewer optouts never situation like cfp era p5 team gone undefeated shafted weve heardargued month kids everything supposed cant pull rug surprised dont care,[],"['michigan', 'lenoirrhyne']",even benefited team couldnt help notice subs opinions make huge tectonic shifts around big wins losses cheaters didnt deserve success everybody beat osu lot folks everyone course enough notice sure decided legit fine actually thing regardless circumstances saw fsu lose lost interest
18uiqbe,kflffgr,peach bowl penn ole miss 1200,penn ole missfolemissole miss location mercedesbenz time 1200 watch tv espnlespn espnlespn odds spread psu 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",guy penn states sideline 2021 portland hipster mustache
18uiqbe,kflfyog,peach bowl penn ole miss 1200,penn ole missfolemissole miss location mercedesbenz time 1200 watch tv espnlespn espnlespn odds spread psu 45 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",penn osu got sweating rose bowl even
16f9ki0,k00gdge,mcmurphy mel tucker fired states coach sources told actionnetworkhq secondary coach harlon bennett msus interim coach wformer coach mark dantonio expected assist undefined role,nan,"['ballstate', 'purdue']","['ncstate', 'lenoirrhyne']",well players made assholes themself last year guess see comes
18u1f6v,kfhlez6,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",went michigans trip cotton bowl 2012 thats wanna say
18u1f6v,kfihl46,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'lenoirrhyne']",thought society decided werent playing gary glitter anymore
