post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16qd8l6,k1w8ccj,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['clemson2', 'liberty']",even national championship years offensive play calling terrible exposed
16qd8l6,k1w90py,postgame florida defeats clemson 3124 ot,box score provided team 1 2 3 4 ot florida made rcfb,['rcfb'],"['floridastate', 'liberty']",every get closer losing im happy confident need blow another team feel good
16q6omx,k1vyh90,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['liberty', 'ncstate']",clemson maybe run ball rest
16q6omx,k1vzamj,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['southcarolina', 'liberty']",clemson doesnt well pressureany clemson fans remember 3130 last year infamous fumble
16q6omx,k1w50ti,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['liberty', 'ncstate']",still cant believe threw flag pi 3rd pretty iffy looked like slipped comeback didnt help ball 5 yards thrown
16q6omx,k1w6c8o,florida clemson 1200,florida location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson2', 'liberty']",earth would go end zone
16e7uwk,jztwm5t,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['liberty', 'ncstate']",irish always bring rain raleigh
16e7uwk,jztwrf2,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['liberty', 'ncstate']",also dont like longer see coin toss
16e7uwk,jztzw1t,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['liberty', 'ncstate']",first mistake defense luckily wasnt big play take life crowd
16e7uwk,jzul5nu,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['liberty', 'ncstate']",sure everyone wants mj armstrong thrown good balls need guys bring
16e7uwk,jzusd45,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['liberty', 'ncstate']",amount crying actual penalties notre dame fans well expect notre dame fans
