post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16awtio,jz9yxnm,former president trump attend saturdays,removed,"['michigan', 'fau']","['kansas', 'lindenwood']",hes new york native maybe hes fascinated good bridge
177ix9d,k4t7bcv,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['notredame', 'lindenwood']",look schedule may well cost bowl
193kzx5,kh9x35b,mcmurphy oregons dan lanning expected top target replace saban source told actionnetworkhq,nan,"['utep', 'florida2']","['kansas', 'lindenwood']",go get mike mcdaniel last dolphins guy got worked fairly well keep pipeline open
17deytd,k5x2v8y,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['kansas', 'lindenwood']",guy wants sit dark huge dip call plays night
18uo86j,kfmcyic,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'lindenwood']",even every fsu starter opted playing exclusively 2nd3rd stringers shouldnt getting beat badly team clearly would lost even full strength let alone playoff teams
16kk458,k0xaybw,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'lindenwood']",weird syracuse sticking hail marry purdue fail carry
16kk458,k0xc7gd,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'lindenwood']",dont know ive see blatant penalty defender throws hands confusion
16kk458,k0xdtm9,syracuse purdue 730,location purduefpurdue rossade time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['missouri', 'lindenwood']",first team looks like want gonna take
17tlq6f,k8zzr87,thamel early list potential names knowing money object lane kiffin mike elko mike norvell dan lanning jeff traylor chris klieman kliff kingsbury kalen deboer,,"['georgia2', 'awardfestival']","['missouri', 'lindenwood']",lane going record number different teams worked sec
16dhp5o,jzqymoo,awful announcing time espn retire bottomline games,read article today could agree ticker sports relic considering easy check scores phones nowadays also espns large scorebug two together take much space cfb games brings biggest problem espns news ticker big takes little 9 entire screen lot something dispensable lsu played florida open season last sunday whole sixth screen 167 taken scoreboard ticker combined words watch college espn youre watching significantly less would another channel purpose staring graphic thats completely unnecessary one needs see anymore thoughts ive discussions cfb friends seem largely disagree,[],"['missouri', 'lindenwood']",thought eliminating ticker wouldnt annoy people trying keep track live data theyd sooner make whole bar 34 ads would completely remove id prefer keep ticker way want hold ready player one becoming reality long possible
