post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxcrjd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'linfield']",hurt bernard team resilient bernard good player time move next series
18wbuu4,kfxvamf,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['washington', 'linfield']",realize big underdawg im liking chances point
18wbuu4,kfxwrfk,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",ah fuck give em hell washington kicked enough nads guys season guys better score indicated
16ktcfe,k0y2mds,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['oregon', 'linfield']",anybody catch post interview espn shadeur says went brady mode tom brady yikes
16ktcfe,k0y4lva,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['oregon', 'linfield']",well done colorado good response getting punched mouth next week good
15x72y0,jx4ue0p,teams biggest celebrity fan,im sure talked makes interesting conversation osu handful biggest probably lebron,['ohiostate3'],"['oregon', 'linfield']",kaitlin olson otherwise known sweet dee reynolds alum
177ix9d,k4t7olh,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['oregon', 'linfield']",real winners tonight course idaho vandals transitive win buffaloes
183s3df,karpbm3,washington washington 400,washington location husky time 400 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['linfield', 'oregon']",would try jumping line stupid
188vvkf,kbnb5gk,postgame washington defeats 3431,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['oregon', 'linfield']",gotta say damn good yet id say worthy send dark hate say good huskies
15q1cwp,jw0jk41,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['oregon', 'linfield']",2016 easily 2004 lost indiana autzen didnt make bowl
185xz7e,kb4xs8g,ohio fan want actually bad season near future,think ohio fans average maybe worst spoiled grew watching west virginia might worst 84 team power 5 conference year 84 im actually pretty hype meanwhile seems like orange bowl appearance rose bowl win 2 years ago disappointing buckeye fans shit absolutely insane anyone else roots team consistent success like ohio etc ever wished team would losing season went minnesota every time mccord threw incompletion thousands college students grownass adults yelling fuck touchdown celebrations shoe lame year everyone way high expectation team id legitimately fine went 39 next year meant osu fans could shut enjoy 102 season like rest college fans,"['ohiostate', 'westvirginia2']","['oregon', 'linfield']",fans gotten spoiled chip kelly years marcus early helfrich years exact thing happened us 2016 fine wasnot fun time go lot growing pains program get back would recommend
16apjlo,jzame3z,realize magic ran,remember like yesterday first clemson 2015 wake forest way national championship enrolled clemson next year seeing us win two national championships 4 years life changing always thought life would like run denial 2021 season still 10 games think clemson fans knew coming worse national tv thing cfb world talking question knew program longer top anymore know clemson death thousand cuts last night really puts perspective,[],"['oregon', 'linfield']",7021 home pretty good indicator least werent making back national championship
171e59y,k3qti9x,since im sucker nostalgia schools team played,nebraska 1st place long time year kstate take 1 currently 1a 1b nebraska kstate 106 meetings 2 mizzou 104 meetings 3 kansas 102 meetings 4 89 meetings 5 70 meetings 6 colorado 65 meetings 7 58 meetings,"['iowastate', 'big8']","['linfield', 'oregon']",willamette 95 56363 lewis clark 87 67191 pacific u 77 50234 pacific lutheran 74 48224 western 66 48153 puget sound 48 35121
171e59y,k3rwkzm,since im sucker nostalgia schools team played,nebraska 1st place long time year kstate take 1 currently 1a 1b nebraska kstate 106 meetings 2 mizzou 104 meetings 3 kansas 102 meetings 4 89 meetings 5 70 meetings 6 colorado 65 meetings 7 58 meetings,"['iowastate', 'big8']","['oregon', 'linfield']",1 state126 games 2 washington 114 games 3 washington 100 games
17u9orp,k92pdg6,discussions hunt new coach terrifying prospect nearly every school college even slightly good,schools safe ones already level better etc everyone else clench power 2 schools probably little bit safer rest kalen deboer dan lanning could definitely go chasing massive payday theyve got pretty good thing going respective teams move big ten next year likely going ranking top 34 conference foreseeable future competition opportunities play national stage equal big ten sec theyre really leaving anything table since theyre already highest level well maybe except lot money big danger schools big 12 acc good coach mike norvell mike elko lance leipold sonny dykes could even list schools trying keep quiet hoping evil spirit passes theyve got really hope coaches content staying people saying 2nd tier college league think guys would actually stay kind opportunity course theres huge risk schools getting relegated jonathan smith list yeah hes guy resources paycheck offer enough turn anyone especially faced prospect going g5 better hoping urban meyer comes retirement saves nightmare going get coach want,"['texas', 'sec']","['oregon', 'linfield']",im naive wouldnt blame dan chasing undoubtedly large bag would offer especially mostall bag guaranteed event firing huge bag dumpster fire trainwreck situation jimbos buyout another 20mil would pay theyd pay near 100mil time buyout money alone plus whatever new contract would hes fine bag hes got hes far superior situation terms program positioning big ten equal opportunities sec terms playoff chances things nature depends big scrooge mcduck eyes
16eokoj,jzwp6sv,postgame defeats 3424,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['washington', 'linfield']",according research first time fbs history team 3 ncs last 10 years lost home 7 points team coached former oc lost bowl end prior season pac12 team
1836rhr,kan5v64,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",im going punch know cant stop
1836rhr,kan9z9y,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",making bucky getting called wasnt earlier definitely nothing pac12 refs complete utter dogshit anything
1836rhr,kanab53,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",ive moved ducks radio network less biased announcers
1836rhr,kanaida,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",jonathan smith coaching like took job already
1836rhr,kanc8oy,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",must nice able hold much holy shit
1836rhr,kancg6x,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['linfield', 'oregon']",play happened whistle
1836rhr,kanhjuu,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",handing ball martinez yet bite damn bootleg every time
1836rhr,kanihgw,830,location oregonforegon autzen time 830 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",jonathan smith mind money hell getting east lansing beaver team fight saw thing mario played utah conference championship 21
17nuooq,k7uhlvz,california 530,location oregonforegon autzen time 530 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",im surprised didnt throw flag touchdown
17nuooq,k7ul4c6,california 530,location oregonforegon autzen time 530 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",right time slot chain events happening im confused right
17nuooq,k7urwu2,california 530,location oregonforegon autzen time 530 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['oregon', 'linfield']",lets go full chaos mendoza throwing touchdown wrong team lets go
160cmsh,jxovexi,inconference teams generally root favorite team,western fan acc answers would syracuse pittsburgh theyve conference foes ever since kid ive gained soft spot old big east especially basketball digress conference usa harder nail since five nine teams returning may bit cheat ill give nod former conference foes marshall uab love history behind marshall seeing uabs program rise ashes team 20142017,[],"['oregon', 'linfield']",washington commitment hating huskies makes happy source bonding many tailgate years
15o68ro,jvq501m,would 10year ago think told last decade gone favorite team,id shocked butch jones left bowl 2012 dantonio kelly done prior big east collapsed joined american conference 2013 season tell new head coach tommy tuberville would start backtoback 94 seasons go 1114 last two seasons manage piss entire fanbase way id confidence things would turn around soon tell next head coach luke fickell went 48 first season id dejected would absolutely lose mind think im lied hearing wed rattle seasons 112 113 91 131 94 going 48 2016 2017 backtoback ny6 bowls including first ever g5 team make cfp wouldve sounded impossible id certain lied tell 2013 first year american conference decade wed big 12,"['cincinnati', 'ohiostate']","['oregon', 'linfield']",disappointed bit 2016 generally pleased 2013 another top 10 finish following year made second national championship appearance first playoff didnt think wed ever back 2010 bumpy transition helfrich willie willie didnt stay long enough damage us thanks florida strong enough position competitive
15z0t05,jxeu4aw,states flagship university race closest,occasionally concept flagship university comes always clear means usually university university probably public probably highest enrollment etc states pretty easy eg ohio university flagship ohio states flagship tag hardest apply clearly,"['ohio', 'ohiostate']","['oregon', 'linfield']",university considered flagship university wouldnt consider worlds ahead academically lot claim stems fact university university status quite longer gained university status early 60s think ohsu still part university wed ranked quite substantially higher gap would probably bit wider hasnt way since early 70s isnt case way legislature carves majors universities provide depends major youre far school stronger journalism sports business etc things like engineering oceanography etc etc
1735e54,k40u686,ap poll 1082023,nan,"['minnesota', 'delaware']","['linfield', 'oregon']",colorado first time 3 weeks received less votes prior week
