post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
172i5sr,k3x1fnp,kentucky 700,location georgiafgeorgia sanford time 700 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",anyone said beck looks like sid sloth ice age yet
18wbuu4,kfxwxce,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",announcers nonchalant literally gives great chance
18wbuu4,kfxwz87,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",gonna less 15 seconds get 40 announcers dumb
16ecz62,jzvc629,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'littlebrownjug']",looking forward playing high school teammate college tragically die happens got stab heart
16ecz62,jzve6he,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'littlebrownjug']",5 missed tackles punt return frick guys
16ecz62,jzvk9xf,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'littlebrownjug']",unlv seems worse starters better backups
16ecz62,jzvlhlp,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'littlebrownjug']",im getting sick watching random g5 starters torch michigans backups late 4th ruin shutout
16ecz62,jzvnm5s,unlv 330,unlvfunlvunlv location time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['michigan2', 'cfp']","['michigan', 'littlebrownjug']",get load guy confusing yellow blue victors
183rfxa,karjag2,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs odds spread ala 105 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan3', 'littlebrownjug']",good call near ball bad call block punter
189z8v2,kbudbz0,thamel injured fsu quarterback jordan travis wish broke leg earlier season yall could see team much quarterback,nan,['usc'],"['michigan', 'littlebrownjug']",say fsu different team top 4 still ranked higher ohio statethese rankings bullshit im sick committee making shit
181eq61,kabsrur,week 13 matchup preview 2 ohio buckeyes 4 wolverines,2 ohio statefohiostate 4 saturday november 25 1200 eastern ann arbor watch foxlfox odds 35 pts total points 475 alltime series ohio statefohiostate ohio statefohiostate met 117 times since 10161897 teams last met 361 days ago 11262022 series wins ohio statefohiostate 51660 longest streak continuous meetings 102 19182019 last 2 meetings 20212022 series last 5 meetings oh2345 arbor mi2742 ohio arbor mi5627 ohio oh6239 ohio arbor mi3120 series comparison data via week 12 weekohio statefohiostate 11080result 3817w 233ecufecu 2916w 303 2youngstown 7453w 357unlvfunlv 9261w 357 3wkufwku 6543w 6310bowling 6543w 316 4notre 8300w 6535w 317 5635w 457 6535w 5635w 5210 7purduefpurdue 3826w 3817w 527 8penn 9262w 2012michigan 4726w 490 6544w 2410byena 6535w 3826w 4113 11michigan 4726w 383penn 9262w 2415 5635w 6535w 3124 rankings reflect current rcfb ohio statefohiostate injury report data scraped 20231122 100012 devin brownqbearly dec ankletue nov 21brown sidelined right ankle sprain projected remain beginning december michael hall jrdtques sat undisclosedmon nov 20hall held previous due unknown issue air take saturday versus tommy sat undisclosedmon nov 20eichenberg missed past two contests undefined ailment unclear play saturdays tilt versus lathan ransomsques sat legmon nov 20ransom sat last three games due leg injury unknown suit saturday miyan williamsrbout season undisclosedtue oct 31williams sit remainder season unknown injury nolan baudowrout indefinitely undisclosedsat nov 4baudo idle undefined issue timetable recovery joop mitchellwrout indefinitely undisclosedsun oct 8mitchell commission due unrevealed ailment yet confirmed return kyion grayeswrout indefinitely undisclosedsun oct 8grayes sidelined due unspecified issue miss extended period jayden bonsusout indefinitely undisclosedsun oct 8bonsu lineup undefined issue unclear make season debut reis stocksdalewrout season kneetue oct 3stocksdale commission knee injury likely miss remainder season zak herbstreitteout season undisclosedthu sep 21herbstreit shut entire 2023 season unknown injury bennett christianteout season suspensionsun aug 27christian suspended entire 2023 season due violation ncaa rules tc caffeyrbout indefinitely kneesun oct 15caffey idle due knee injury unclear return injury data lifted injury report data scraped 20231122 100012 logan forbeswrout indefinitely undisclosedmon oct 2forbes away team due undivulged reasons without definitive timetable recovery cj stokesrbout indefinitely undisclosedsun oct 15stokes idle undefined injury timetable return karmello englishwrques sat undisclosedmon nov 20english held previous four games due unlisted issue unknown dress saturdays showdown ohio danny hughesrbques sat undisclosedmon nov 20hughes missed previous two contests due unknown injury undetermined face ohio saturday ladarius hendersonolques sat undisclosedmon nov 20henderson absent lineup last unreported ailment uncertain suit saturday versus ohio roman wilsonwrprob sat undisclosedmon nov 20wilson exited previous contest unreported injury expected impact status saturdays battle ohio davis warrenqbques sat undisclosedmon nov 20warren sat last three matches due unspecified ailment unclear line saturday versus ohio injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['oregonstate', 'cascadeclash']","['michigan', 'littlebrownjug']",nerves already kickin think get enough pressure mccord force tough throw though try contain mhj best got getting 2 tds still 2817
15x72y0,jx51tuy,teams biggest celebrity fan,im sure talked makes interesting conversation osu handful biggest probably lebron,['ohiostate3'],"['thegame', 'littlebrownjug']",judging pretty crazy find former president iran mahmoud ahmadinejad fan least really enjoyed talking social media
1785w9p,k4xj74j,postgame notre dame defeats usc 4820,box score provided team 1 2 3 4 uscfusc337720 notre made rcfb,['rcfb'],"['michigan', 'littlebrownjug']",finally stop talking bout usc playoffs theyve dropped ranking every week seems defense insane liability say someone 100 usc ml
1728e91,k3vpk8o,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",maryland many miscues win even ohio isnt playing full potential
1728e91,k3w0y9v,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",small plane tv constantly refreshing lol
17esjzd,k65h7ck,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['michigan', 'littlebrownjug']",osu would call head deserves everything get fuck
17esjzd,k65o1xf,sources um staffer bought tickets 11 schools,nan,"['notredame', 'buffalo']","['littlebrownjug', 'michigan']",man pays buddies watch games get suspended job good deed goes unpunished indeed sigh hoping would smoke seems like evidence coming let play see outcome
16jq8ru,k0rlfmd,virginia maryland 700,location secu time 700 watch tv fox sports 1lfs1 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",feel like sometimes announcers arent even watching
15mriw8,jvii0wy,twittercom brettmcmurphy notre dame acc member sports pushing hard acc add stanford cal larrywilliamsti reports,nan,"['vanderbilt', 'middletennessee']","['michigan', 'littlebrownjug']",sports apparently hockey isnt sport brett play b1g hockey
15q1cwp,jw0hgl8,teams worst season personally lived,im fairly lucky 22 didnt live 1990s however gene chiziks 2 year tenure 200708 comes mind chizik pretty universally hated fans rarely ever happens bad years usually bright spots paul rhoads didnt produce results would usually get one upset win year dan mccarney seneca wallace years got us bowl win first time almost 30 years gene chizik years pure despair 2008 first two games south dakota kent losing final 10 games finish season 210 among 119 division fbs teams team ranked 111th total defense 115th passing defense 95th rushing defense following 2008 season chizik fired two assistant coaches demoted offensive defensive coordinators left auburn immediately national championship,"['iowastate', 'summertimelover']","['michigan', 'littlebrownjug']",honestly covid year losing winning streak indiana everything sucked
189wh00,kbu4d5t,cfp rankings final,tv espnlespn follow along selection show full results come two threads posted results serious discussion jokes memes offtopic comments removed rankteamrecord 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25,['rcfb'],"['michigan', 'littlebrownjug']",thats bullshit feel bad fsu cant better 130
18w6kt1,kfwwq41,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'littlebrownjug']",jj got thrown ground feet green beyond white thats wild call
15j08i1,juy83z2,colin cowherd usc playing badgers saturday night camp randall huskies hosting montlake ducks shootout eugene w penn loyalty stuff fade pretty quickly give big games im,,"['michigan', 'fau']","['michigan', 'littlebrownjug']",could still games teams didnt schedule shitty ooc games lol
