post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16cvipo,jzqqhj5,favorite uniforms every p5 conference,title suggests subjective opinion best dressed team p5 conferences ill go precrazy realignmen mine acc definitely florida st garnet gold immaculate timeless helmets iconic big 10 biased think top bottom best dressed conference many iconic classic looks thst said penn st clean perfect colors pop aways damn near perfect big 12 quite possibly best look time away storm trooper look absolutely beautiful pac12 theme far simplicity classic looks way say theyve challenged new looks never missed current sets every look incredible sec second best dressed conference hardest choose tie lsu auburn auburn best overall design looks fitting era fcs shoutout best look school harvard crimson creams insanely gorgeous,[],"['tennessee', 'liu']",acc vt miamis night uniform never wore b10 mono yellow msu lime green b12 ucf space pac love everything cant fan team name hate sec tennessee smokey gray fcs liu sharks powder blue
18uo86j,kfmllao,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['clemson', 'liu']",fsus side whole thing embarrassing
16ql0u1,k1y7uxn,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",asus head coach looks like hes still parents health insurance
16ql0u1,k1y8tsb,usc arizona 1030,uscfuscusc arizona location arizona mountain america time 1030 watch tv foxlfox odds spread usc 34 overunder 615 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",weve 1 bad half past years except getting whooped wolverines 2 years row
169aftq,jz0z4hb,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",going get buried fucking hate living nyc im far friends family sucks
161tbiw,jxu9lph,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['michigan2', 'liu']",mcafee pulling micheal scott wearing womens suit lol
177nxrk,k4ua7zf,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['michigan2', 'liu']",pat speaking calmly fine wwe hype voice like nails chalkboard
17d0yj8,k5uavhd,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['michigan2', 'liu']",props group american flags blocking jesus signs
17d0yj8,k5ufqrs,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['michigan2', 'liu']",lets start petition stroud replace pat hes great
16a716p,jz6ommy,clemson duke 800,dukefdukeduke location dukefduke wallace wade time 800 watch tv espnlespn odds spread clem 13 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'presscorps']","['michigan2', 'liu']",clemson need get ball back 3 minutes left monkey law curls
16w91ub,k2vrs22,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",guys think williams kid might good qb
16w91ub,k2vsnyf,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",formula beat colorado pressure shedeur trust secondary shedeur holds ball long makes mistakes pressure
16w91ub,k2w00xl,usc colorado 1200,uscfuscusc location folsom time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",college needs adapt nfl rules player
17nxe0b,k7v0omt,purdue 730,location time 730 watch tv nbclnbc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",really glad perdue changed signs might 210 1st instead 170 fuck ohio college
16q2osp,k1v5shq,espn college gameday show,want little ting tang tang discuss post anything related show signs screencaps videos etc,['rcfb'],"['michigan2', 'liu']",went oktoberfest celebration last night feel like im dying today
18u1f6v,kfihja9,cotton bowl ohio missouri 800,ohio location att time 800 watch tv espnlespn espnlespn odds spread osu 5 overunder 495 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan2', 'liu']",cryin day losing block iconic duo
