post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwg3jc,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",maybe chill first celebrations 2 scores
16qzss2,k21xguk,complain team,vent friendly place,['rcfb'],"['floridastate2', 'loyolamarymount']",besides potentially needing new db coach think biggest concern havent played like first two weeks season especially offense fsu lsu southern miss games runs table regular season schedule fsu bc clemson games mr magooing victory week think lot unfortunately falls travis atkinsnorvell travis mobility hasnt put display one devoting attention stop hes attempting intermediate throws even theyre pretty open cant regress offense 2yard runs yolo deep balls
16qbmww,k1wbso1,ole miss 330,ole missfolemissole miss location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",td sent commercials 4 games multiview
17deytd,k5x8ro5,utah usc 800,utahfutahutah uscfuscusc location uscfusc los angeles memorial coliseum time 800 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",90 really screwed grinch coaches fared better
18w6kt1,kfw78n9,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",takes im seeing crazy even halfway first quarter
172mpmi,k3y97um,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",dropping top 10 riley williams way make adjustments grinch everyone else lol
172mpmi,k3yb87s,arizona usc 1030,uscfuscusc location uscfusc los angeles memorial coliseum time 1030 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",need call timeout watch youtube videos tackle
162sdp4,jy16sqk,week 1 result loss could cause complete meltdown fanbase,regarding ucf kent st something like 1610 defensive battle erratic jrp play would create insanity within knight fanbase,"['ucf', 'westchester']","['ucla', 'loyolamarymount']",defense old bend dont break bs weve seen since chip kelly took offense bad full panic mode faith chip offensive end even dont start amazing
169wt91,jz4xoeu,gus johnson best cfb commentator,guy seems like hes genuinely fun enjoying envy seems like hes living dream job happy energy rubs watch calling ill never forget losing mind finally scored touchdown big ten championship,"['iowa', 'southdakota']","['nebraska', 'loyolamarymount']",gus makes feel like big time hes excited nessler favorite working today miss verne keith jackson musberger also great run
18risi1,kf1nlxk,first responder bowl rice 530,ricefricerice location gerald j ford time 530 watch tv espnlespn espnlespn odds spread txst 35 overunder 595 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['usc', 'loyolamarymount']",feel bad production crew shadows brutal
16bovkg,jzj9udk,week 2 matchup preview 14 longhorns 4 crimson tide,14 texasftexas 4 alabamafalabama saturday september 9 0700 eastern bryantdenny tuscaloosa watch espnlespn odds alabamafalabama 70 pts total points 545 alltime series texasftexas alabamafalabama texasftexas alabamafalabama met 10 times since 11181902 teams last met 361 days ago 09102022 series wins texasftexas 712 alabamafalabama longest streak continuous meetings 1 20222022 alabamafalabama last 2 meetings 20092022 series last 5 meetings tx1920 ca2137bcs championship tx1412cotton bowl tx1713cotton bowl fl2117orange bowl series comparison data via week 1 weektexasftexas 1000result 1ricefrice 0100w 3710middle 0100w 567 rankings reflect current rcfb texasftexas injury report data scraped 20230906 100014 cj baxterrbprob sat ribsmon sep 4baxter exited last contest due rib injury likely play saturday injury data lifted alabamafalabama injury report data scraped 20230906 100014 emmanuel henderson jrwrout indefinitely hipmon sep 4henderson jr idle hip injury severity ailment unknown injury data lifted keys think wins think favorite cover spread players interested watch lets talk vote matchup win poll simply include name team think win enclosed part top level comment discussing matchup change vote edit initial comment bracket team change vote often like posted full listing accepted fbs team aliases found fcs teams need use full name appears post title listing links live vote totals matchup preview threads current week found like format generate matchup discussion matchup discussion please dm udupreesdiamond regarding template,"['texasam', 'alabama']","['floridastate2', 'loyolamarymount']",im rooting longhorns litany reasons unfortunately genuinely worried score rice maybe theres 37d chess going evidence support reason think takes home
160ky27,jxo30ub,college fan approach nfl,longtime relationship nfl team regardless cfb fandom switch around based nfl draftsstarts teams guys,['alabama'],"['nebraska', 'loyolamarymount']",grew nyg fan casually watch thrilled see win playoff last year love red zone watch along sunday night sundays since joining fantasy league definitely increased nfl watching care nebraska mostly frustration disappointment lincoln several decades find enjoying nfl product nfl cant match imo highs big historic victories example watching tennessee beat bama last year troll em song vol nation destroyed neyland
