post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16awtio,jzb0ots,former president trump attend saturdays,removed,"['michigan', 'fau']","['arkansas', 'lyon']",best history games
177ix9d,k4uvmzq,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['arkansas', 'lyon']",didnt even notice fuck wouldve loved see choke job
17j4q9q,k6z7ir2,complain team,vent friendly place,['rcfb'],"['texasam', 'lyon']",fuck 43 division race finally figure 4th 1 actually put max johnson center get yard 910 times
17nng69,k7tcr80,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'lyon']",one day media going figure maalik isnt runner pretty sure 49 40 coming
18dp5ml,kcim8vl,playoff teams selected,wake cfp committee controversy bcs days yore remembered rose colored glasses go back old system thing wrong two teams thrown around many threads believing bcs flawless system best product short memory throughout bcs era many controversies led changes weighting methodology computer polls mention obvious conflift interest acknowledging coachs poll coaches staffers free reign vote strategically teams status line lets get creative stick committee back bcs twelve team playoff top four get bye entrants seeding decided conference champions many seed gets bye weeks computer polls stipulations placed many polls ap poll coaches poll cfp poll committee sits criteria,"['oklahomastate', 'tulsa']","['texas', 'lyon']",24 teams top 8 seeds get first round bye auto bid conference champions top 4 seeds go power 4 champions auto bid 10win power 4 teams auto bid 12win g5 teams guaranteed home playoff highest seeded g5 champ would 16seed lowest auto bid 10win independents sos top 13 rankings remaining seeds based highest ranked teams based bcs formula set committee establishes seeding order p4 champs top 4 seeds remaining 20 teams goal would provide concrete criteria rewards wins championships committee say choosing seeding guardrails
185xz7e,kb4p2ja,ohio fan want actually bad season near future,think ohio fans average maybe worst spoiled grew watching west virginia might worst 84 team power 5 conference year 84 im actually pretty hype meanwhile seems like orange bowl appearance rose bowl win 2 years ago disappointing buckeye fans shit absolutely insane anyone else roots team consistent success like ohio etc ever wished team would losing season went minnesota every time mccord threw incompletion thousands college students grownass adults yelling fuck touchdown celebrations shoe lame year everyone way high expectation team id legitimately fine went 39 next year meant osu fans could shut enjoy 102 season like rest college fans,"['ohiostate', 'westvirginia2']","['texas', 'lyon']",dont stay stay long
16q6oqs,k1voui7,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'lyon']",tf calling timeout 50 seconds left
16q6oqs,k1w3srq,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'lyon']",holding edge holding edge holding edge holy fucking shit
16q6oqs,k1w44b5,auburn 1200,amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'lyon']",tv execs salivate theres injury additional 330 ad time
168fxcn,jywntbm,tech wyoming 730,tech location wyomingfwyoming jonah war memorial time 730 watch tv cbslcbs odds spread ttu 14 overunder 520 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texastech2', 'saddle']","['texasam', 'lyon']",tech dark horse big 12 fucking lol
17t729f,k8vsur6,mississippi 730,mississippi amftexasamtexas location amftexasam kyle time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'lyon']",really sucks offense inept year waste good defensive showing
1625rls,jxwfibb,utep jacksonville 530,utepfuteputep jacksonville location jacksonville burgesssnow time 530 watch tv cbs sports networklcbssn odds spread utep 2 overunder 540 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['georgia', 'georgiastate']","['texas', 'lyon']",play call fine tbh execution rub route awful
15iderk,jutzbxf,brett arizona arizona 2time defending pac12 champion utah joining big 12 2024 pending big 12 formal approval next 24 hours sources told actionnetworkhq big 12 3rd league wat least 16 schools pac12 4 schools,,['texastech'],"['arkansas', 'lyon']",happens playoff didnt approve p5 winners automatic bid better yet whats gonna happen bowl bids especially rose bowl today weird
189cl2c,kbqrdhk,postgame defeats 4921,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['arkansas', 'lyon']",looking cfb scenarios see likely id going get fucked one hand fuck got something special going extremely deserving cfb fan
15i4lvq,jutg8q2,whatever heck going today,even sure anymore location everywhere time odds spread pac12lpac12 14 made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'lyon']",espn reporting utah arizona big 12 wtf going pac 12
183wpji,kask73n,tech 730,tech location bobby dodd time 730 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'lyon']",sure gone two probably need try win regulation
16gyrch,k0astkm,much college apparel,brands seem best college apparel,['olemiss'],"['texasam', 'lyon']",love anything 47 brand apparel
16k9n3l,k0vb49u,kansas missouri 1200,kansas location memorial stadiumfaurot time 1200 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'lyon']",took kstate scoring 3 touchdowns score one refs fucking awful
17nng9r,k7t776p,ole miss 1200,amftexasamtexas ole missfolemissole miss location ole missfolemiss vaughthemingway time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'lyon']",hope lose 45 fire jimbos ass tonight
177rgpb,k4voltd,arkansas 1200,location alabamafalabama bryantdenny time 1200 watch tv espnlespn odds spread ala 195 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'lyon']",arkansas fan feels like youre toddler never touched hot stove never realizes stove hot inevitably burn death
16kfuan,k0vplo7,postgame missouri defeats kansas 3027,box score provided team 1 2 3 4 kansas made rcfb,['rcfb'],"['arkansas', 'lyon']",holy shit messy chaotic college back baby
16kk42t,k0xbgnm,byu arkansas 730,byufbyubyu location razorback time 730 watch tv espn2lespn2 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['arkansas', 'lyon']",bruh wtf catch like im pissed im even mad
