post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16e7uwk,jzu3znd,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'manchester']",nc fan hilariously grotesque mullet calling literally every nd player bitch walked tunnel thats something chance backfiring lol
16ktcfe,k0y2ca9,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['notredame', 'manchester']",redhead flashed crowd storming great thing tonight
1621ag8,jxuzdty,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'manchester']",guinnesses opened fiance town wings en route puppy playing ice cube go irish
1621ag8,jxvhghc,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'manchester']",ill song song row town
1621ag8,jxvoahl,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['notredame', 'manchester']",im 11th guinness im gonna drive thats drinking responsibly
17sd1ye,k8p3vmw,sources big ten expected discipline inperson scouting ongoing sign stealing investigation prohibit jim harbaugh sideline conclusion regular season allowed coach week,,"['georgia', 'cfp']","['notredame', 'manchester']",cant wait see conflicting post flair
169aftq,jz0tgq5,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",brian kelly calling first quarter timeouts tale old time
17sxef4,k8txdw1,penn 1200,penn location penn statefpennstate beaver time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate', 'manchester']",big ten wanted punish suspended franklin instead harbaugh
188qre7,kbmx0el,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",im watch party consensus seems black
16qh8h1,k1x852o,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",emotional investment cannot possibly healthy go irish
17bn2b8,k5khy1f,dellenger ncaa opened investigation 2 possible rulebreaking around inperson scouting opponents,nan,['texasam'],"['notredame', 'manchester']",without reading facts say true university lose accreditation
16keh8t,k0vr0rd,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",hope fans enjoying tommy reestyler buchner experience much
16keh8t,k0w3xws,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",call regardless score moment
16keh8t,k0w4acm,usf 330,usffusfusf location usffusf raymond james time 330 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",60 ou means vegas never saw buchner play qb
17g8n8r,k6f0l4q,michigans connor stalions texted stole opponent signals tvand vision wolverines,nan,['nagoya'],"['notredame', 'manchester']",one cousins married guy officer marines regularly see outsmarted 5 year old completely tracks
17nng54,k7tacc4,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",told wife would another irish coffee im compromising drinking buffalo trace rocks 1030
17nng54,k7toiwu,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",getting point defense cant give points idk offense 2 scoring drives
17nng54,k7towok,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",drive could worth hundred thousand dollars hartman
17nng54,k7tqa80,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",wouldnt call wr screen 3rd 10 blackout drunk
17nng54,k7try0s,notre dame clemson 1200,notre dame location clemsonfclemson memorial clemson sc time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",ones hartman dogshit gerad parker
166pzdt,jym411x,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['notredame', 'manchester']",think ive seen two gay themed fast food commercials two ive ever seen
1627fk8,jxvqmt1,postgame notre dame defeats navy 423,box score provided team 1 2 3 4 navyfnavy00033 notre made rcfb,['usc'],"['notredame', 'manchester']",king dublin actually dude drinking contest
1780tdz,k4wmouh,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",fiance getting married exactly one week shes orange county family usc fans mishawaka family nd fans stakes never higher
1780tdz,k4xf77e,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'manchester']",wonder caleb williams painted nails one
16e7v1g,jzu87sd,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['notredame', 'manchester']",new colorado games named prison johnny cash song
