post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ptc9b,k1t1jk0,postgame nc defeats virginia 2421,box score provided team 1 2 3 4 nc made rcfb,['rcfb'],"['marquette', 'virginia']",lack discipline end coaching staff horrible head butting score tying td taunting youre one worst teams college tying knowing rules winking goal tony elliot terrorist
18wbuu4,kfxerjx,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",scientists would never fight tooth nail iss ever slso decommissioned like 2027
18wbuu4,kfxfv9f,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",hate entire body rule look like part behind line
18wbuu4,kfxrxpr,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",needed spy penicillin somebody could go left pocket
18wbuu4,kfxs5v9,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",course actually makes sense run bleed time throw
18wbuu4,kfxurtl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'wisconsin']",penix 2nd qb board rate hes unreal
18wbuu4,kfxusqd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",well refs kinda robbed one chance stop washington tuff
18wbuu4,kfxuy2l,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'wisconsin']",sense throwing ball run make burn 2nd timeout play prevent even give 7 youre staring onside recovery win
18wbuu4,kfxv4a1,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'wisconsin']",braindead play call youre going pass hell go 5 wide without blocking help fucking moronic
18wbuu4,kfxwwsd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'wisconsin']",college qb feasibly rank penix williams imo jayden daniels nice penix better nfl prospect
16e7uwk,jzu0lmm,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",never seen flea flicker work stop tommy rees ahh calls
16e7uwk,jzu0pd6,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",impressive robert kennedy play college ball running president
16e7uwk,jzu21yb,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",new clock rules could probably get halftime weather hits new commercial rules probably wont even get second quarter
16e7uwk,jzu629q,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",fox appears less greedy espnabc comes commercials
16e7uwk,jzutman,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",nc mad mad refs roles reversed im always happy take refs giving
16e7uwk,jzuzfap,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",nope sam hartman farted stepping pass 15 yard penalty point emphasis year
16e7uwk,jzv0r61,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",catch maybe refs turn traitor call incomplete
16e7uwk,jzv2myx,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",good stop lets try something first besides dive play
16e7uwk,jzv460a,notre dame nc 1200,notre dame nc statefncstatenc location nc statefncstate carterfinley time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['notredame', 'karlsruhe']","['notredame', 'marquette']",ive gotta feel nc youve got everything receivers
183w2cz,karubjq,notre dame stanford 700,notre dame location stanford time 700 watch tv pac12 networklp12n rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['notredame', 'marquette']",studying law exams 10 hours day past week need make nd break time wheres conditionally sell soul god damn fubo free trial oh need extra sports package watch pac12 network spend 10 outright sports package notre dame losing please make end
1728e91,k3vwv9e,maryland ohio 1200,ohio location ohio statefohiostate ohio time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",getting lucky god thank defense everything make mccords lack accurate deep ball
18uo86j,kfm1rx8,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'marquette']",te addicted hurdles like crack
16k9n25,k0vlht4,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'westvirginia']",tough throw make seemed like travis checkdown get first
17nng69,k7txq62,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'westvirginia']",howard puts chest falls backwards end zone
17nng69,k7ty1ea,kansas 1200,kansas location texasftexas dkrtexas memorial time 1200 watch tv foxlfox odds spread tex 4 overunder 505 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'westvirginia']",three downs 4 pass three plays
18w6kt1,kfwcrvw,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['marquette', 'wisconsin']",everyone rightfully bitches commercials staring away ncaa espn printing
18w6kt1,kfwr6t9,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",fuck weve gotta sit 15 minutes commercials
18w6kt1,kfwwnyl,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['ohiostate2', 'marquette']",gets go 2 throw lineman
