post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18sx6e0,kfa9nav,ever one favorite college players end least favorite nfl team conversely ever college player couldnt stand end favorite nfl team go,fan kansas jayhawks kansas city chiefs ive seen missouri tigers kstate wildcats end chiefs roster cant say dramatic way chiefs draft kstate player felix anudikeuzomah first round earlier year cant say stood player disliked college nick bolton mizzou drafted chiefs second round back 2021,['kansas'],"['florida', 'maryville']",packers fan recently spent 3 1st round picks players mostly worked id ok live draft spot kid learning leroy butler went fsu devastating chicago drafting grossman equally tough blow
17ydyp4,k9t6m3h,tennessee 330,location neyland time 330 watch tv cbslcbs odds spread uga 10 overunder 585 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",shit happening us season nothing new
17d92g6,k5w4ezq,tennessee 330,location alabamafalabama bryantdenny time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",dont care way goes point rigged
172p8o7,k3y1i2w,postgame tech defeats miami 2320,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['tennessee', 'maryville']",one worst coaching decisions time congrats gt casing miamis mistake
16nlzuk,k1ivjek,suddenly soft,nan,"['alabama2', 'ecu']","['texasam', 'maryville']",transfer portal saban longer trap 5 stars end ride bench 2 years
183rfxy,kar6n5j,vanderbilt tennessee 330,location neyland time 330 watch tv sec networklsecn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",get worst officials available week games
16we4hf,k2x8iw3,auburn 330,location auburnfauburn jordanhare time 330 watch tv cbslcbs rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam', 'maryville']",clearly auburn amazing team quality win top 10 team
1781eub,k4xhlig,ucla 800,uclafuclaucla location reser time 800 watch tv foxlfox odds spread orst 4 overunder 545 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",someone needs check refs bank account extra transfers money
16kjdlb,k0wlda9,tennessee florida 700,location floridafflorida ben hill griffin time 700 watch tv espnlespn odds spread tenn 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",looks like commercials espn 4k stream
16kjdlb,k0x2pf3,tennessee florida 700,location floridafflorida ben hill griffin time 700 watch tv espnlespn odds spread tenn 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",play calling scared literally nothing lose point
18pldyo,keppclh,hawaii bowl san jos coastal carolina 1030,san jos jos coastal carolina location clarence tc ching athletics complex time 1030 watch tv espnlespn espnlespn odds spread sjsu 95 overunder 485 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",get away facemask yes yes
1780tdz,k4x1wub,usc notre dame 730,uscfuscusc notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc peacocklpeacock odds spread nd 3 overunder 630 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['tennessee', 'maryville']",williams usually try force ball much interceptions incredibly poor decisions
16e7v1g,jzu4m2l,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['tennessee', 'maryville']",tcus defense must really suck team scored 45 points
16e7v1g,jzu92sp,nebraska colorado 1200,location folsom time 1200 watch tv foxlfox odds spread neb 95 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['nebraska2', 'santamonica']","['tennessee', 'maryville']",way allowed take another snap
16qht7n,k1y02pu,postgame defeats colorado 426,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['texasam', 'maryville']",theres whole lot people need ask selves hate cu much dislike deon much whole lot white people hating man unapologeticly black
17xjwqz,k9od4eo,sources ncaas evidence included booster involvement scouting scheme attempted destruction evidence,nan,"['georgia2', 'awardfestival']","['tennessee', 'maryville']",whose computer computer try destroy person connor stallions computer cs resigned means left evidence work computer really dumb ok maybe guess find
17h1htm,k6lmz6e,congratulations director cheating team strategies implementing,removed,"['lsu', 'cfp']","['tennessee', 'maryville']",steal cellphones players girlfriends send texts breaking player right starts leaving another player team
