post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxv9wl,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",bet washington win natty detroit cleveland superbowl still alive win 10k
18w6kt1,kfw6uef,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",acc disbands bring back big east penn allowing pitt conference bc penn pittsburgh syracuse rutgers vt wvu virginia maryland notre dame
18w6kt1,kfwf6p1,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",reading late incorporate flossing drinking water daily habits
18w6kt1,kfwrfqr,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",sec adding ou supporting d1 d2 hockey
18w6kt1,kfwuj9a,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",recruit id play rutgers northwestern city lifestyle
18w6kt1,kfwwnxg,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",feels like rams scored superbowl 36 patriots hit winning fg
18w6kt1,kfx1b2i,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",call qb draw slant option fade yeesh
1621ag8,jxv874v,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['florida', 'massachusettsboston']",ncaa one step away allowing students phd programs play
1621ag8,jxv8wtp,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['florida', 'massachusettsboston']",dont understand pac schools cant join mountain west wcc non
1621ag8,jxv8zsl,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['florida', 'massachusettsboston']",baker mayfield wasnt shitty detroit lions would made playoffs last year
169aftq,jz1aiop,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'massachusettsboston']",someone cfb please give tommy tubberville hc job get away us senate
169aftq,jz1amv7,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'massachusettsboston']",brian kelly could built umass powerhouse chose cajuan food instead
169aftq,jz1aul4,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'massachusettsboston']",brian kelly fake southern accent hes embarrassed boston one
169aftq,jz1bcy5,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['florida', 'massachusettsboston']",dont know much seminole tribe theyre pretty rad people
169aftq,jz1c5do,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",feeling generous tonight consider small donation boys girls clubs seminole tribe florida postgame
16knfug,k0xvavu,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bostoncollege', 'massachusettsboston']",whole lot csu players made money tonight
16knfug,k0xvm8a,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bostoncollege', 'massachusettsboston']",colorado losing drag routebased offense offense screen pass inshallah
16knfug,k0xw49q,colorado colorado 1000,colorado location folsom time 1000 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['bostoncollege', 'massachusettsboston']",played drinking took shot every time colorado ran screen pass play youd dead alcohol poisoning
1684osx,jyu43bh,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['florida', 'massachusettsboston']",sanders student trying emulate belichick shocked pikachu face
1684osx,jyu4fsp,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['florida', 'massachusettsboston']",would hilariously great colorado unthinkable runs table team unseat title
1684osx,jyucwt1,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['bostoncollege', 'massachusettsboston']",biggest nightmare world travis hunter lands new england cbwr legitimately belichicks wet dream cb coached prime belichick would fucking nuts
1684osx,jyuhxm7,colorado tcu 1200,tcuftcutcu location tcuftcu amon g carter time 1200 watch tv foxlfox odds spread tcu 205 overunder 645 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texasam', 'ucla']","['florida', 'massachusettsboston']",every dad america sending kid mannings qb academy camp
191zla4,kgzusx3,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['massachusettsboston', 'bostonuniversity']",burger king review burger melt would good bread didnt suck
1689xwn,jyunl0e,rice 330,ricefricerice location texasftexas dkrtexas memorial time 330 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['texas', 'harvard']","['florida', 'massachusettsboston']",totally forgot smarty pants school rice team
166pzdt,jylgnbb,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['florida', 'massachusettsboston']",thinking papa whose 93 effected hurricane maybe gator alum first sports memory watching danny 96
166pzdt,jylh08e,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['florida', 'massachusettsboston']",utah break top 25 loudest stadiums ncaa
166pzdt,jylh4fw,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['florida', 'massachusettsboston']",ah yes reminder aussie punters 30 years old
