post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18wbuu4,kfxs5ts,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['mcgill', 'sickos']",ok huskies score one td run cute plays
18wbuu4,kfxv73p,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'mcgill']",one last rose bowl one live pac
16ktcfe,k0y24s1,postgame colorado defeats colorado 4335 2ot,box score provided team 1 2 3 4 ot colorado made rcfb,['rcfb'],"['vanderbilt', 'mcgill']",doesnt matter still embarrassing enough unrank love god please stop talking deion
16w91xa,k2vgp9d,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'mcgill']",wish could today work free suite tickets couldnt go gig em ags
16w91xa,k2vt3hi,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'mcgill']",cant wait softest pi call possible defense next drive 3rd
16w91xa,k2weys7,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'mcgill']",think saw looked like intubation hate speculate though
16w91xa,k2wi6aj,arkansas 1200,amftexasamtexas location att time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texasam2', 'mcgill']",good win dumb mistakes refs jerrys pocket didnt help clean mistakes bama
18uo86j,kfmm2li,orange bowl florida 400,florida location hard rock time 400 watch tv espnlespn espnlespn odds spread uga 20 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'mcgill']",im actually somewhat convinced best team college year legitimate complaint missing playoff anyone
16ekx7v,jzvxc50,postgame miami defeats 4833,box score provided team 1 2 3 4 made rcfb,"['texasam', 'alabama']","['texasam2', 'mcgill']",least season early year enjoy saturdays
18w6kt1,kfwtnxn,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['vanderbilt', 'mcgill']",build submarines ads really hope accomplish private citizen supposed build navy submarine like buy one seems wanted submarines theyre people order
