post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18w6kt1,kfvyzhk,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'mckendree']",roses shoulder pad logo remember wisconsin utah adding roses jerseys last decade last time team added roses
169aftq,jz1ijcy,florida lsu 730,florida lsuflsulsu location camping world time 730 watch tv abclabc odds spread lsu 25 overunder 580 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'mckendree']",didnt time grow together time last year brian kellys first west air conditioned helmets money mike care lfg noles
170w8yo,k3ng3oe,wku louisiana tech 800,wkufwkuwku louisiana tech location louisiana joe aillet time 800 watch tv espnulespnu rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'mckendree']",anyone elses guide screwed games espn
16w91zf,k2vvbys,florida kentucky 1200,location kroger time 1200 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'mckendree']",shame beating tennessee looked beating 11 losing kentucky losing kentucky judging teams preseason expectations dumb
16qh8h1,k1xbmzh,ohio notre dame 730,ohio notre dame location notre damefnotredame notre dame time 730 watch tv nbclnbc odds spread osu 75 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'mckendree']",osu team would even get review much less overturn fuck shove throats nd
174ugz0,k4c0p38,terms cfb fans overusing need unlearned,discourse get redundant fast community tends become echo chamber top head sleeping giant riding coattails bulletin board material,"['missouri', 'big8']","['floridastate', 'mckendree']",awful play call like yeah im sure youre elite play caller chose work 95 instead
166pzdt,jylnqkw,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['floridastate', 'mckendree']",two 3s amount points takes gators start celebrating
166pzdt,jylt0ts,florida utah 800,utahfutahutah location utahfutah riceeccles time 800 watch tv espnlespn odds spread utah 65 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['medal', 'oklahomastate2']","['floridastate', 'mckendree']",uf averaging 1 point per quarter last 2 games pac hey least werent shut
17zyhsl,ka3hycv,nonosuum flairs rooting,cfbs top drama reach crescendo week 2 osu 3 um country want see ohio win americas team pulling even youre holding nose,['ohiostate'],"['floridastate', 'mckendree']",osu 3rd base um twitter fans talking sign stealing legal drive nuts
177rgq6,k4v1fa4,syracuse florida 1200,florida location florida doak campbell time 1200 watch tv abclabc odds spread fsu 175 overunder 560 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'mckendree']",az getting better better damn shame pick taken away last week
