post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
1621ag8,jxv15r0,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['michigan', 'mcmaster']",success could see trinity college joining b1g
1621ag8,jxvjfo1,notre dame navy 230,notre dame navyfnavynavy location aviva time 230 watch tv nbclnbc odds spread nd 205 overunder 490 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['usc'],"['michigan', 'mcmaster']",worst ive seen navy squad fare europe since battle trafalgar
188qre7,kbna8qm,washington 800,location allegiant time 800 watch tv abclabc odds spread ore 95 overunder 655 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'mcmaster']",panic id like talk rose bowl initiative
16ci214,jzjgbdv,trash talk thursday,know meteor ballbmeteorball order ballborderball within reasonable bounds rules still nbsp troll ballbtrollball enough talk nbsp chaos ballbchaosball rock caps lock,['rcfb'],"['jamesmadison', 'mcmaster']",imagine writing federalist papers couldnt founding father
191zla4,kgzr6wb,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'mcmaster']",told would okay making final
183mtar,kaqo4p5,ohio 1200,ohio location time 1200 watch tv foxlfox rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'mcmaster']",may see pass thrown rest
18pd1qz,keo21el,armed forces bowl air force james madison 330,air force james madison location amon g carter time 330 watch tv abclabc espnlespn odds spread jmu 15 overunder 405 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['jamesmadison', 'mcmaster']",air force yall pitch every time youre golden
1684oqg,jytoty5,ecu 1200,ecufecuecu location time 1200 watch tv peacocklpeacock odds spread mich 36 overunder 515 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['westernmichigan', 'michigan']","['michigan', 'mcmaster']",pay get us networks canada primarily cfb first season usonly streaming service
189go22,kbrws4g,florida louisville 800,florida location bank america time 800 watch tv abclabc odds spread fsu 15 overunder 465 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'mcmaster']",committee might leave fsu dont put louisville team ny6 bowl
17yc1eh,k9tg7qw,appalachian james madison 200,appalachian james madison location james bridgeforth stadiumzane showker time 200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['jamesmadison', 'mcmaster']",checking ot either way hell neers
