post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
15wqekf,jx4jilw,top 5 popular college teams cityarea,1 north carolina 2 nc 3 appalachian 4 wake forest 5 duke x200b,"['floridastate', 'northcarolinaat']","['tulane', 'metro']",im atlanta 1 massive gap followed 2 5 particular order auburn tech lsu rest sec acc also large alumni fan bases ohio also solid support transplants
16k9n25,k0uzofe,florida boston college 1200,florida boston college location boston alumni chestnut hill time 1200 watch tv abclabc rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'metro']",adam fuller certified bum leave bald ass chestnut hill
168bu91,jyun7vv,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['floridastate', 'metro']",someone make downfall video historic occasion
168bu91,jyv64u6,postgame colorado defeats tcu 4542,box score provided team 1 2 3 4 made rcfb,"['texasam', 'ucla']","['louisville', 'metro']",okay admit wrong colorado pretty solid year good ya
17tlq6f,k8xsclo,thamel early list potential names knowing money object lane kiffin mike elko mike norvell dan lanning jeff traylor chris klieman kliff kingsbury kalen deboer,,"['georgia2', 'awardfestival']","['louisville', 'metro']",watch keep petrino run school straight ground
18w6kt1,kfw6hd8,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['louisville', 'metro']",cmon dorn get front damn ball dont give ole bullshit
171e59y,k3q8vhj,since im sucker nostalgia schools team played,nebraska 1st place long time year kstate take 1 currently 1a 1b nebraska kstate 106 meetings 2 mizzou 104 meetings 3 kansas 102 meetings 4 89 meetings 5 70 meetings 6 colorado 65 meetings 7 58 meetings,"['iowastate', 'big8']","['tulane', 'metro']",lsu 90 20637 mississippi 64 23410 mississippi 56 25301 tech 50 1337 vanderbilt 48 28173 38 8273 auburn 38 17156 memphis 38 14240
17ydyrl,k9tfddx,north carolina clemson 330,north carolina location clemsonfclemson memorial clemson sc time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'metro']",acc refs roll fucking dogshit last two weeks
17ydyrl,k9tg31s,north carolina clemson 330,north carolina location clemsonfclemson memorial clemson sc time 330 watch tv rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['floridastate', 'metro']",acc refs shit even tobacco road teams escape fuckery
176y85a,k4q0fkq,team performed expected far take get back track,reaching around halfway mark im curious see everyones feeling team much hate say ams season gone mostly ive expected expect fully settled season expect us drop games route bowl eligibility traditional 8 5 think real measure team overcome mississippi teams south carolina im still convinced well overcome lsu im sure lsu convinced kind team yet,"['texasam2', 'southwest']","['tulane', 'metro']",record yes got especially pratt two games one could argue outperformed expectations
