post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
16ei5hq,jzwcem2,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'mexicoteam']",almost thought refs gonna get wrong like non safety last year
16ei5hq,jzwlqrz,700,location alabamafalabama bryantdenny time 700 watch tv espnlespn odds spread ala 7 overunder na rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'mexicoteam']",alabamas 2 wins qb injured
18wbuu4,kfxzbz8,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'mexicoteam']",fuck close penix good end ggs still pretty cool season
16kktkx,k0xde64,wyoming 800,location texasftexas dkrtexas memorial time 800 watch tv longhorn networkllhn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['houston', 'mexicoteam']",honestly im surprised score didnt think would keep giants mountain west conference
177ix9d,k4t7mcj,postgame stanford defeats colorado 4643 2ot,box score provided team 1 2 3 4 ot made rcfb,['rcfb'],"['stanford', 'mexicoteam']",colorado legend kevin hogan started time another run boys
15rxzeo,jwbctb7,whats goto name referring favorite school conversation,go abbreviation mascot full name maybe something else keep simple wvu curious fanbases say,"['westvirginia2', 'hateful8']","['stanford', 'mexicoteam']",vast majority time stanford sometimes shake farm cardinal almost never opposed lsju almost never opposed card chouse
16eokoj,jzwm02q,postgame defeats 3424,box score provided team 1 2 3 4 made rcfb,['rcfb'],"['texas', 'mexicoteam']",alabamas 2 wins time qb injured
16pnp44,k1s6a2i,university former high school copy fight song,live swear old gods new hear ohio states fight song least three times year going sons games,['army'],"['stanford', 'mexicoteam']",ucla course means music originally came cal sheet music said sons westwood
1896p8u,kbpxu5h,1200,location att time 1200 watch tv abclabc odds spread tex 15 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'mexicoteam']",never forget bowman horns tech went 220 run win
15ny6b2,jvos5cj,fall team,curious guys became fans teams man first ever big house renovations hooked ever since,[],"['stanford', 'mexicoteam']",got big envelope one really cool december day got see tail end willingham years including rose bowl followed really lean times one heck rebuild golden era incredibly fun watch didnt think ended would potentially also kill stanford sports
18hqgx6,kd8q0ir,herbstreit better period washington watch 1015 games week live septemberearly december think im allowed opinion think better,nan,['minnesota'],"['stanford', 'mexicoteam']",annoyed fsu peeps went bakonydraco want unleash everything kirk ruin
189it1b,kbu4t7u,special edition ccg weekend cfp rankingscenario discussion,hot takes hypotheticals sos comparisons h2h arguments place home usergenerated cfp discussion wild conference championship week,['rcfb'],"['texas', 'mexicoteam']",injury players criteria booger fsu would contest lets real
15ktyz3,jv7u46t,thamel sources next 24 hours theres two calls acc vet early exploratory discussions potential addition cal stanford one acc athletic directors leagues presidents chancellors,nan,"['stanford', 'wichitastate']","['stanford', 'mexicoteam']",im really glad stanford cal mentioned together one
16nnrmg,k1h5fq3,team happy see succeed,team see winning games think know like theyre winning washington theyre brand good fans top25 makes sense,['miami'],"['stanford', 'mexicoteam']",utah really bought everything pac12 fell apart
15k6ztw,jv48h94,scheer hearing san diego preliminary talks big 12 last 48 hours key word preliminary would discounted rates,link,"['ucf', 'usf']","['stanford', 'mexicoteam']",wouldnt easier bigxii take boise let pac4 rest mwc merge
15ylphq,jxcbflg,straw thatll break cfb camels back,something already happened recent round conference realignment nil wild west college playoffs etc something hasnt happened yet like big 10 sec eventually creating micronfl continued lack oversite niltoo much governing something else x200b specificully feels like im tipping point interest college nearly hit rock bottom love additions byu houston cincinati ucf big 12 coming cost leaving stings theyre programs felt belonged larger conference minus ucf success relatively recent enjoy colorado returning big 12 feels odd seing arizonas utah joining ride course usc ucla washington going big 10 shift away regionlism tradition bothering viewer fan continue watching truly yet get enough sport drama trigger pulled fbs dividing already p5 g5 feel love going perpetually dwindly x200b swear god take away el assico away going riot least midly upset yet decide final nail coffin college fandom,"['iowa', 'floydofrosedale']","['stanford', 'mexicoteam']",im already longer interested used breaking point ucla separating bay area schools viewing height used watch four games per tv window except whenever stanford played id keep eye one commercial breaks pretty much watch stanford even much less actively sucks used favorite thing world
167pwk2,jyryibx,stanford hawaii 1100,location hawaiifhawaii clarence tc ching athletics complex time 1100 watch tv cbs sports networklcbssn odds spread stan 35 overunder 605 rcfb made rcfb please keep trash talk civil report comments violate lets talk,"['stanford', 'medal']","['stanford', 'mexicoteam']",thank goodness right like hawaii bring us acc
18n9cn8,keagv04,guys ever feel like weird,like emotionally invested played essentially kids follow schools commit like trading stocks keep drama religiously end day kids paying feels weird sometimes eh,['oregon'],"['stanford', 'mexicoteam']",ive never much recruiting transfer portal stuff loved tiny tribalism cheering alma mater wanting team represent school well professional sports make lot less sense dont get invested wanting make billionaires richer even seeing players coaches get paid particularly hate owners part trophy ceremony
16754si,jyocmen,thamel sources acc presidents chancellors voted morning extend invitations stanford california smu push league 18 teams,,"['collegecharleston', 'southcarolina']","['stanford', 'mexicoteam']",many mixed feelings among certainly relief appreciation new conference home
16754si,jyoiuhm,thamel sources acc presidents chancellors voted morning extend invitations stanford california smu push league 18 teams,,"['collegecharleston', 'southcarolina']","['stanford', 'mexicoteam']",dying conference liked style conference champions due record number ncaa titles member schools wont bringing enough trophies us overtake b1g heres accs three new members bring trophy case stanford 134 ncaa team championships division cal 42 ncaa team championships tied 10thmost florida smu 4 ncaa team championships add 182 ncaa team titles current members acc new conference total 362 slightly ahead secs new total 345 ou join new bigxii fourth 233 total ncaa team titles
17ifk70,k6u3t8e,south carolina 1200,south carolina amftexasamtexas location amftexasam kyle time 1200 watch tv espnlespn rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['texas', 'mexicoteam']",welp chant ruined streak sports teams since last night
