post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
17fdg9z,k6a4pux,arent enough instate played college,opinion every school least one instate division 1 school play every year west virginia play marshall msu play one directional schools ohio play one ohio mac teams cincy every year uga gt need schedule either southern kennesaw year understand cmu isnt going terms revenue ohio regional games make college special,"['georgiasouthern', 'sunbelt']","['cincinnati', 'miamioh']",cincy want play osu every year would get killed ruin chance bowl undefeated season like 2021 miami cincy play every year year uc 16 17 row ohio mac schools want play osu unless pay play would slaughter doesnt help smaller schools unless get paid instant l schedule one smaller schools wants instant l get paid someone lol
172dawp,k3w6k99,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'miamioh']",suppose already watched 1 sickos might well watch next one
172dawp,k3wavyh,purdue 330,iowafiowaiowa location iowafiowa kinnick time 330 watch tv peacocklpeacock rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['wisconsin', 'miamioh']",dude much time tuck run smh
18wbuu4,kfx9lvk,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'miamioh']",god washington pass offense fun watch maybe entertaining unit ive ever seen cfb
18wbuu4,kfxbl4p,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miamioh', 'michigan']",since start delayed im thinking hold going back work tomorrow
18wbuu4,kfxhncd,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miamioh', 'michigan']",today solemnly swear never buy allstate insurance product
18wbuu4,kfxs4tn,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['paperbag', 'miamioh']",8 pissing pants pi flag fuckin mugged man ball
18wbuu4,kfxsawn,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['pennstate', 'miamioh']",yet gotta get 7 fumble killer
18wbuu4,kfxy5wy,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['nebraska2', 'miamioh']",deboer done everything possible blow couldnt help rolling dice every chance quarter
18wbuu4,kfxz6t3,sugar bowl washington 845,location caesars superdome time 845 watch tv espnlespn odds spread tex 35 overunder 625 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['miamioh', 'duke']",woulda kneeled three times
