post_id,comment_id,post_title,post_selftext,post_author_flairs,comment_author_flairs,comment_body
18w6kt1,kfwgp5y,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['michiganbandwagon'],weird watching sports better experience audio
18w6kt1,kfwii6v,rose bowl 500,location rose bowl time 500 watch tv espnlespn odds spread mich 2 overunder 455 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['michigan', 'michiganbandwagon']",pretty crazy 3 point offense needs keep scoring
193kpui,kh9w4ok,chris low clowespn x nick saban retiring sources tell espn six national titles,nan,"['rutgers', 'oregon']","['michigan', 'michiganbandwagon']",athletic feldman tweeted real respect saban ton bit keeping players team screw really changed perspective particular topic
191zla4,kgzb1bu,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'michiganbandwagon']",guys think matter wins letter wins
191zla4,kgzbm47,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'michiganbandwagon']",like decision use black score graphic
191zla4,kgzf1az,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'michiganbandwagon']",know johnson ready offseason heal
191zla4,kh02i1j,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['michiganbandwagon'],feet tripped show slow motion wash defender trip qb
191zla4,kh05rdd,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],['michiganbandwagon'],mean thats nfl throw big nfl wr could make plan db cant
191zla4,kh075dh,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'michiganbandwagon']",crazy think may well harbaughs final
191zla4,kh07bub,cfp final washington 730,location nrg time 730 watch tv espnlespn odds spread mich 55 overunder 555 rcfb made rcfb please keep trash talk civil report comments violate lets talk,['rcfb'],"['alabama', 'michiganbandwagon']",impressed penix able stay
